#id: 2364477897
#name: Mus musculus - B cell (Integrated)
#score: 13.0
#coverage: 10
#description: integrated dataset: weighted average of all Mus musculus B_CELL: 13.0, Coverage: 10
#organ: B_CELL
#integrated: true
#weights: PXD003263_Gomez-Cabrero_Sci_Data_2019_mouse_pre_BII_STATegra:0.909;PXD003263_Gomez-Cabrero_Sci_Data_2019_mouse_pre_BI_STATegra:0.091;
#publication_year: 2023
#filename: 10090-B_CELL-integrated.txt
#
#internal_id	string_external_id	abundance
5028673	10090.ENSMUSP00000085006	63199
5022374	10090.ENSMUSP00000042457	28180
5016399	10090.ENSMUSP00000015800	26561
5025479	10090.ENSMUSP00000062030	22949
5018551	10090.ENSMUSP00000026459	20374
5015572	10090.ENSMUSP00000002790	17391
5027974	10090.ENSMUSP00000079356	16088
5027346	10090.ENSMUSP00000075513	15765
5018565	10090.ENSMUSP00000026495	14594
5033670	10090.ENSMUSP00000113942	13207
5018045	10090.ENSMUSP00000024739	12938
5018714	10090.ENSMUSP00000027123	12564
5027274	10090.ENSMUSP00000075067	11719
5028425	10090.ENSMUSP00000082682	10981
5018808	10090.ENSMUSP00000027438	10569
5024768	10090.ENSMUSP00000057308	8743
5033969	10090.ENSMUSP00000117987	8714
5022607	10090.ENSMUSP00000043926	8487
5020862	10090.ENSMUSP00000034453	8351
5030604	10090.ENSMUSP00000097747	8213
5032577	10090.ENSMUSP00000107595	7945
5033031	10090.ENSMUSP00000110103	7632
5022976	10090.ENSMUSP00000046101	7311
5027550	10090.ENSMUSP00000076777	7200
5025992	10090.ENSMUSP00000065940	7028
5018269	10090.ENSMUSP00000025486	6939
5016855	10090.ENSMUSP00000020238	6186
5022934	10090.ENSMUSP00000045816	6147
5023231	10090.ENSMUSP00000047571	6132
5029432	10090.ENSMUSP00000091921	5718
5027709	10090.ENSMUSP00000077814	5641
5021832	10090.ENSMUSP00000039269	5545
5015428	10090.ENSMUSP00000001566	5537
5034115	10090.ENSMUSP00000120115	5121
5023961	10090.ENSMUSP00000052086	5102
5032189	10090.ENSMUSP00000105359	5054
5019720	10090.ENSMUSP00000030623	5006
5016470	10090.ENSMUSP00000016771	4705
5033346	10090.ENSMUSP00000112259	4647
5017527	10090.ENSMUSP00000022529	4473
5019139	10090.ENSMUSP00000028683	4463
5020988	10090.ENSMUSP00000034834	4192
5028122	10090.ENSMUSP00000080302	4122
5034839	10090.ENSMUSP00000127034	3891
5031905	10090.ENSMUSP00000103903	3882
5018181	10090.ENSMUSP00000025217	3835
5031793	10090.ENSMUSP00000103365	3720
5016971	10090.ENSMUSP00000020637	3652
5016701	10090.ENSMUSP00000019323	3608
5016424	10090.ENSMUSP00000016081	3565
5028656	10090.ENSMUSP00000084846	3507
5016454	10090.ENSMUSP00000016463	3444
5034679	10090.ENSMUSP00000126192	3418
5026693	10090.ENSMUSP00000071616	3256
5031165	10090.ENSMUSP00000099962	3183
5035377	10090.ENSMUSP00000130023	3176
5021039	10090.ENSMUSP00000034966	3159
5020043	10090.ENSMUSP00000031617	3132
5022656	10090.ENSMUSP00000044188	3070
5021080	10090.ENSMUSP00000035105	3019
5028126	10090.ENSMUSP00000080354	2943
5020600	10090.ENSMUSP00000033683	2923
5019973	10090.ENSMUSP00000031383	2908
5031065	10090.ENSMUSP00000099757	2888
5021623	10090.ENSMUSP00000038135	2739
5017091	10090.ENSMUSP00000021062	2729
5022759	10090.ENSMUSP00000044827	2655
5019597	10090.ENSMUSP00000030164	2619
5019171	10090.ENSMUSP00000028817	2619
5020408	10090.ENSMUSP00000032998	2598
5023403	10090.ENSMUSP00000048469	2594
5022396	10090.ENSMUSP00000042658	2594
5034077	10090.ENSMUSP00000119603	2555
5031095	10090.ENSMUSP00000099819	2519
5015714	10090.ENSMUSP00000004072	2499
5015742	10090.ENSMUSP00000004375	2495
5028239	10090.ENSMUSP00000080994	2466
5015324	10090.ENSMUSP00000000756	2424
5019462	10090.ENSMUSP00000029722	2352
5031780	10090.ENSMUSP00000103267	2346
5033716	10090.ENSMUSP00000114159	2300
5028544	10090.ENSMUSP00000083705	2243
5022688	10090.ENSMUSP00000044395	2212
5021310	10090.ENSMUSP00000036288	2181
5018277	10090.ENSMUSP00000025511	2128
5028293	10090.ENSMUSP00000081474	2122
5027947	10090.ENSMUSP00000079180	2118
5033847	10090.ENSMUSP00000116108	2115
5017468	10090.ENSMUSP00000022293	2100
5018538	10090.ENSMUSP00000026425	2074
5015940	10090.ENSMUSP00000006496	2067
5018539	10090.ENSMUSP00000026427	2067
5026619	10090.ENSMUSP00000071163	2060
5015799	10090.ENSMUSP00000005003	2049
5035620	10090.ENSMUSP00000131489	2033
5019985	10090.ENSMUSP00000031411	2021
5016094	10090.ENSMUSP00000008812	2012
5020800	10090.ENSMUSP00000034276	2008
5029538	10090.ENSMUSP00000092502	1981
5029779	10090.ENSMUSP00000093955	1968
5032516	10090.ENSMUSP00000107237	1953
5020598	10090.ENSMUSP00000033673	1948
5016582	10090.ENSMUSP00000018437	1928
5028222	10090.ENSMUSP00000080854	1915
5029225	10090.ENSMUSP00000090305	1914
5034139	10090.ENSMUSP00000120528	1904
5031593	10090.ENSMUSP00000102147	1880
5022682	10090.ENSMUSP00000044361	1857
5015863	10090.ENSMUSP00000005705	1817
5016972	10090.ENSMUSP00000020640	1807
5015459	10090.ENSMUSP00000001809	1787
5015702	10090.ENSMUSP00000003912	1770
5021701	10090.ENSMUSP00000038555	1750
5035407	10090.ENSMUSP00000130194	1739
5015408	10090.ENSMUSP00000001452	1734
5027943	10090.ENSMUSP00000079163	1734
5015876	10090.ENSMUSP00000005826	1725
5030979	10090.ENSMUSP00000099595	1700
5025452	10090.ENSMUSP00000061851	1692
5027211	10090.ENSMUSP00000074724	1690
5022360	10090.ENSMUSP00000042342	1687
5035826	10090.ENSMUSP00000132735	1686
5017883	10090.ENSMUSP00000023677	1670
5020121	10090.ENSMUSP00000031862	1654
5017394	10090.ENSMUSP00000022062	1652
5027024	10090.ENSMUSP00000073581	1644
5019982	10090.ENSMUSP00000031402	1638
5016095	10090.ENSMUSP00000008826	1622
5034171	10090.ENSMUSP00000120976	1620
5028024	10090.ENSMUSP00000079672	1618
5023125	10090.ENSMUSP00000047008	1618
5022401	10090.ENSMUSP00000042691	1587
5030951	10090.ENSMUSP00000099541	1582
5031125	10090.ENSMUSP00000099878	1580
5025465	10090.ENSMUSP00000061923	1577
5026327	10090.ENSMUSP00000068896	1576
5020742	10090.ENSMUSP00000034097	1562
5020176	10090.ENSMUSP00000032143	1551
5018627	10090.ENSMUSP00000026704	1533
5015302	10090.ENSMUSP00000000505	1524
5034698	10090.ENSMUSP00000126294	1515
5016512	10090.ENSMUSP00000017548	1510
5015656	10090.ENSMUSP00000003521	1503
5020466	10090.ENSMUSP00000033176	1502
5028631	10090.ENSMUSP00000084572	1488
5031918	10090.ENSMUSP00000103940	1484
5015412	10090.ENSMUSP00000001479	1472
5016064	10090.ENSMUSP00000008036	1470
5025726	10090.ENSMUSP00000063744	1466
5020898	10090.ENSMUSP00000034547	1464
5017242	10090.ENSMUSP00000021559	1461
5033461	10090.ENSMUSP00000112897	1457
