#id: 437464211
#name: Mus musculus - Brown adipose tissue,  protein intensity (Geiger,mcp,2013)
#score: 15.1
#description: abundance based on MAPPED_BY_AUTHORS,  Protein_Intensity, Interaction consistency score: 15.1, Coverage: 34
#organ: BROWN_ADIPOSE_TISSUE
#integrated: false
#coverage: 34
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M112.024919
#publication_year: 2013
#filename: 10090-Brown_fat_geiger_2013.txt
#
#string_external_id	abundance
10090.ENSMUSP00000023116	30155
10090.ENSMUSP00000052872	26509
10090.ENSMUSP00000023760	16611
10090.ENSMUSP00000120976	14817
10090.ENSMUSP00000031314	13949
10090.ENSMUSP00000022529	12618
10090.ENSMUSP00000034866	12270
10090.ENSMUSP00000110434	11749
10090.ENSMUSP00000079727	11634
10090.ENSMUSP00000025217	11344
10090.ENSMUSP00000027153	10765
10090.ENSMUSP00000072483	10418
10090.ENSMUSP00000027123	9839
10090.ENSMUSP00000029610	9434
10090.ENSMUSP00000099634	9319
10090.ENSMUSP00000004729	9029
10090.ENSMUSP00000123765	8913
10090.ENSMUSP00000037348	8566
10090.ENSMUSP00000029076	8045
10090.ENSMUSP00000005826	7698
10090.ENSMUSP00000033176	7640
10090.ENSMUSP00000027810	7293
10090.ENSMUSP00000103012	7177
10090.ENSMUSP00000108237	6888
10090.ENSMUSP00000034046	6598
10090.ENSMUSP00000019323	6598
10090.ENSMUSP00000029034	6454
10090.ENSMUSP00000029041	6454
10090.ENSMUSP00000022062	6309
10090.ENSMUSP00000117569	6309
10090.ENSMUSP00000034172	6193
10090.ENSMUSP00000029386	6077
10090.ENSMUSP00000082288	6077
10090.ENSMUSP00000099490	5788
10090.ENSMUSP00000007012	5672
10090.ENSMUSP00000103267	5539
10090.ENSMUSP00000106481	4902
10090.ENSMUSP00000063825	4885
10090.ENSMUSP00000027111	4885
10090.ENSMUSP00000028062	4746
10090.ENSMUSP00000022268	4729
10090.ENSMUSP00000034547	4619
10090.ENSMUSP00000034834	4451
10090.ENSMUSP00000024946	4434
10090.ENSMUSP00000015800	4353
10090.ENSMUSP00000028892	4341
10090.ENSMUSP00000034146	4254
10090.ENSMUSP00000066181	4218
10090.ENSMUSP00000127526	4167
10090.ENSMUSP00000095656	4104
10090.ENSMUSP00000136544	4080
10090.ENSMUSP00000026538	4075
10090.ENSMUSP00000042457	4017
10090.ENSMUSP00000021993	4017
10090.ENSMUSP00000095794	3996
10090.ENSMUSP00000023934	3994
10090.ENSMUSP00000066092	3924
10090.ENSMUSP00000090897	3849
10090.ENSMUSP00000090895	3849
10090.ENSMUSP00000097797	3844
10090.ENSMUSP00000026576	3832
10090.ENSMUSP00000034276	3785
10090.ENSMUSP00000030345	3733
10090.ENSMUSP00000029877	3693
10090.ENSMUSP00000038763	3617
10090.ENSMUSP00000010007	3571
10090.ENSMUSP00000103007	3513
10090.ENSMUSP00000099938	3282
10090.ENSMUSP00000032373	3264
10090.ENSMUSP00000034989	3218
10090.ENSMUSP00000031524	3079
10090.ENSMUSP00000034567	3056
10090.ENSMUSP00000033662	3004
10090.ENSMUSP00000000090	2975
10090.ENSMUSP00000027478	2969
10090.ENSMUSP00000031411	2917
10090.ENSMUSP00000127885	2749
10090.ENSMUSP00000049355	2749
10090.ENSMUSP00000130858	2691
10090.ENSMUSP00000025961	2616
10090.ENSMUSP00000045606	2599
10090.ENSMUSP00000026743	2518
10090.ENSMUSP00000028207	2495
10090.ENSMUSP00000011896	2495
10090.ENSMUSP00000001242	2466
10090.ENSMUSP00000074724	2460
10090.ENSMUSP00000090633	2454
10090.ENSMUSP00000048218	2390
10090.ENSMUSP00000025904	2327
10090.ENSMUSP00000056502	2275
10090.ENSMUSP00000028807	2257
10090.ENSMUSP00000071231	2246
10090.ENSMUSP00000027766	2240
10090.ENSMUSP00000083375	2240
10090.ENSMUSP00000026459	2176
10090.ENSMUSP00000091921	2176
10090.ENSMUSP00000051223	2170
10090.ENSMUSP00000075150	2165
10090.ENSMUSP00000065113	2159
10090.ENSMUSP00000024739	2147
10090.ENSMUSP00000113942	2127
10090.ENSMUSP00000092698	2127
10090.ENSMUSP00000026495	2014
10090.ENSMUSP00000030583	2008
10090.ENSMUSP00000104511	2003
10090.ENSMUSP00000042967	1985
10090.ENSMUSP00000061227	1974
10090.ENSMUSP00000058321	1945
10090.ENSMUSP00000081141	1893
10090.ENSMUSP00000045284	1893
10090.ENSMUSP00000029259	1864
10090.ENSMUSP00000041104	1852
10090.ENSMUSP00000107927	1841
10090.ENSMUSP00000070709	1823
10090.ENSMUSP00000097747	1817
10090.ENSMUSP00000060346	1771
10090.ENSMUSP00000018632	1771
10090.ENSMUSP00000000349	1760
10090.ENSMUSP00000031788	1742
10090.ENSMUSP00000070993	1742
10090.ENSMUSP00000099819	1725
10090.ENSMUSP00000065352	1707
10090.ENSMUSP00000121203	1702
10090.ENSMUSP00000013737	1678
10090.ENSMUSP00000030401	1655
10090.ENSMUSP00000016771	1650
10090.ENSMUSP00000043543	1621
10090.ENSMUSP00000026625	1603
10090.ENSMUSP00000084846	1602
10090.ENSMUSP00000079022	1584
10090.ENSMUSP00000077687	1584
10090.ENSMUSP00000124223	1574
10090.ENSMUSP00000023210	1540
10090.ENSMUSP00000114159	1534
10090.ENSMUSP00000035116	1516
10090.ENSMUSP00000032762	1516
10090.ENSMUSP00000029017	1511
10090.ENSMUSP00000095316	1505
10090.ENSMUSP00000048925	1493
10090.ENSMUSP00000003912	1476
10090.ENSMUSP00000028683	1470
10090.ENSMUSP00000006900	1441
10090.ENSMUSP00000023085	1441
10090.ENSMUSP00000114705	1435
10090.ENSMUSP00000109337	1429
10090.ENSMUSP00000033157	1424
10090.ENSMUSP00000078774	1412
10090.ENSMUSP00000110103	1395
10090.ENSMUSP00000006235	1372
10090.ENSMUSP00000011895	1337
10090.ENSMUSP00000069209	1337
10090.ENSMUSP00000099902	1337
10090.ENSMUSP00000020886	1337
10090.ENSMUSP00000085523	1331
10090.ENSMUSP00000104936	1325
10090.ENSMUSP00000022148	1320
10090.ENSMUSP00000034049	1311
10090.ENSMUSP00000088723	1311
10090.ENSMUSP00000014457	1308
10090.ENSMUSP00000034588	1308
10090.ENSMUSP00000020286	1302
10090.ENSMUSP00000022322	1268
10090.ENSMUSP00000035222	1262
10090.ENSMUSP00000003643	1256
10090.ENSMUSP00000020640	1256
10090.ENSMUSP00000117987	1239
10090.ENSMUSP00000094334	1239
10090.ENSMUSP00000027151	1231
10090.ENSMUSP00000006137	1227
10090.ENSMUSP00000081233	1215
10090.ENSMUSP00000079944	1210
10090.ENSMUSP00000039692	1210
10090.ENSMUSP00000030164	1204
10090.ENSMUSP00000029266	1192
10090.ENSMUSP00000046101	1192
10090.ENSMUSP00000016463	1129
10090.ENSMUSP00000043821	1117
10090.ENSMUSP00000062996	1111
10090.ENSMUSP00000025696	1105
10090.ENSMUSP00000014438	1100
10090.ENSMUSP00000022369	1100
10090.ENSMUSP00000034756	1071
10090.ENSMUSP00000119603	1065
10090.ENSMUSP00000087756	1065
10090.ENSMUSP00000132590	1060
10090.ENSMUSP00000028610	1059
10090.ENSMUSP00000025656	1059
10090.ENSMUSP00000099475	1036
10090.ENSMUSP00000125995	1036
10090.ENSMUSP00000011058	1024
10090.ENSMUSP00000023707	1019
10090.ENSMUSP00000018470	1013
10090.ENSMUSP00000022286	1007
10090.ENSMUSP00000020238	996
10090.ENSMUSP00000031637	990
10090.ENSMUSP00000106318	990
10090.ENSMUSP00000073695	987
10090.ENSMUSP00000082132	987
10090.ENSMUSP00000023952	978
10090.ENSMUSP00000000642	967
10090.ENSMUSP00000030742	955
10090.ENSMUSP00000030187	949
10090.ENSMUSP00000100924	949
10090.ENSMUSP00000070149	932
10090.ENSMUSP00000126390	932
10090.ENSMUSP00000099642	926
10090.ENSMUSP00000007708	920
10090.ENSMUSP00000022980	914
10090.ENSMUSP00000003029	914
10090.ENSMUSP00000035158	906
10090.ENSMUSP00000025918	903
10090.ENSMUSP00000053540	903
10090.ENSMUSP00000121557	897
10090.ENSMUSP00000132065	897
10090.ENSMUSP00000032882	897
10090.ENSMUSP00000072829	897
10090.ENSMUSP00000124523	897
10090.ENSMUSP00000029699	891
10090.ENSMUSP00000030184	882
10090.ENSMUSP00000136717	862
10090.ENSMUSP00000117022	858
10090.ENSMUSP00000104957	856
10090.ENSMUSP00000032910	851
10090.ENSMUSP00000022293	845
10090.ENSMUSP00000066068	845
10090.ENSMUSP00000134735	845
10090.ENSMUSP00000030078	839
10090.ENSMUSP00000048425	833
10090.ENSMUSP00000007005	828
10090.ENSMUSP00000121038	828
10090.ENSMUSP00000127808	826
10090.ENSMUSP00000035157	826
10090.ENSMUSP00000099939	822
10090.ENSMUSP00000099909	822
10090.ENSMUSP00000020034	816
10090.ENSMUSP00000082682	816
10090.ENSMUSP00000023851	810
10090.ENSMUSP00000100038	805
10090.ENSMUSP00000111269	805
10090.ENSMUSP00000033098	793
10090.ENSMUSP00000021018	793
10090.ENSMUSP00000136357	787
10090.ENSMUSP00000129930	787
10090.ENSMUSP00000004327	781
10090.ENSMUSP00000099453	781
10090.ENSMUSP00000029888	776
10090.ENSMUSP00000030805	776
10090.ENSMUSP00000032510	776
10090.ENSMUSP00000044417	776
10090.ENSMUSP00000093101	770
10090.ENSMUSP00000136313	752
10090.ENSMUSP00000040877	752
10090.ENSMUSP00000039797	741
