#id: 746818681
#name: M.musculus - Cell line (Integrated)
#score: 19.7
#description: integrated dataset: weighted average of all M.musculus CELL_LINE, Interaction consistency score: 19.7, Coverage: 59
#organ: CELL_LINE
#integrated: true
#coverage: 59
#publication_year: 2022
#filename: 10090-CELL_LINE-integrated.txt
#
#internal_id	string_external_id	abundance
5015428	10090.ENSMUSP00000001566	27779
5022360	10090.ENSMUSP00000042342	13701
5024348	10090.ENSMUSP00000054499	11864
5015396	10090.ENSMUSP00000001304	9665
5020862	10090.ENSMUSP00000034453	9095
5026670	10090.ENSMUSP00000071486	8850
5030561	10090.ENSMUSP00000097561	8375
5022656	10090.ENSMUSP00000044188	8321
5033670	10090.ENSMUSP00000113942	8173
5028735	10090.ENSMUSP00000085580	8090
5029259	10090.ENSMUSP00000090633	6819
5016470	10090.ENSMUSP00000016771	6734
5027391	10090.ENSMUSP00000075772	6720
5018975	10090.ENSMUSP00000028062	6616
5028293	10090.ENSMUSP00000081474	6293
5031999	10090.ENSMUSP00000104329	5703
5020988	10090.ENSMUSP00000034834	5521
5022374	10090.ENSMUSP00000042457	5520
5020606	10090.ENSMUSP00000033699	5453
5035592	10090.ENSMUSP00000131316	5233
5016399	10090.ENSMUSP00000015800	5202
5032253	10090.ENSMUSP00000105709	5020
5018045	10090.ENSMUSP00000024739	4833
5025776	10090.ENSMUSP00000064163	4721
5023125	10090.ENSMUSP00000047008	4556
5029869	10090.ENSMUSP00000094778	4352
5022976	10090.ENSMUSP00000046101	4298
5030665	10090.ENSMUSP00000098066	4203
5016582	10090.ENSMUSP00000018437	4119
5019455	10090.ENSMUSP00000029699	4094
5020965	10090.ENSMUSP00000034756	3928
5028673	10090.ENSMUSP00000085006	3735
5026704	10090.ENSMUSP00000071662	3650
5023392	10090.ENSMUSP00000048425	3572
5016639	10090.ENSMUSP00000018851	3342
5033969	10090.ENSMUSP00000117987	3324
5028656	10090.ENSMUSP00000084846	3292
5033346	10090.ENSMUSP00000112259	3167
5027295	10090.ENSMUSP00000075178	3152
5030921	10090.ENSMUSP00000099475	3038
5016608	10090.ENSMUSP00000018632	3009
5016855	10090.ENSMUSP00000020238	2932
5018714	10090.ENSMUSP00000027123	2932
5017489	10090.ENSMUSP00000022369	2911
5019606	10090.ENSMUSP00000030187	2853
5019597	10090.ENSMUSP00000030164	2799
5027346	10090.ENSMUSP00000075513	2793
5034717	10090.ENSMUSP00000126390	2734
5037175	10090.ENSMUSP00000140657	2718
5028122	10090.ENSMUSP00000080302	2671
5018458	10090.ENSMUSP00000026122	2616
5018551	10090.ENSMUSP00000026459	2521
5031150	10090.ENSMUSP00000099930	2435
5035797	10090.ENSMUSP00000132590	2428
5019139	10090.ENSMUSP00000028683	2420
5031780	10090.ENSMUSP00000103267	2392
5030604	10090.ENSMUSP00000097747	2354
5028694	10090.ENSMUSP00000085192	2305
5027620	10090.ENSMUSP00000077290	2284
5023951	10090.ENSMUSP00000052020	2254
5017651	10090.ENSMUSP00000022894	2251
5030617	10090.ENSMUSP00000097797	2235
5028013	10090.ENSMUSP00000079628	2201
5024357	10090.ENSMUSP00000054556	2193
5018565	10090.ENSMUSP00000026495	2190
5015702	10090.ENSMUSP00000003912	2125
5015423	10090.ENSMUSP00000001547	2074
5034839	10090.ENSMUSP00000127034	2008
5031140	10090.ENSMUSP00000099902	1991
5031012	10090.ENSMUSP00000099658	1983
