#id: 3935187213
#name: M.musculus - Cerebellum (Integrated)
#score: 17.0
#description: integrated dataset: weighted average of all M.musculus CEREBELLUM, Interaction consistency score: 17.0, Coverage: 54
#organ: CEREBELLUM
#integrated: true
#coverage: 54
#publication_year: 2022
#filename: 10090-CEREBELLUM-integrated.txt
#
#internal_id	string_external_id	abundance
5030617	10090.ENSMUSP00000097797	6649
5015396	10090.ENSMUSP00000001304	5307
5018551	10090.ENSMUSP00000026459	4691
5022360	10090.ENSMUSP00000042342	4679
5018565	10090.ENSMUSP00000026495	3821
5016399	10090.ENSMUSP00000015800	3702
5029101	10090.ENSMUSP00000089051	3652
5030921	10090.ENSMUSP00000099475	3507
5026599	10090.ENSMUSP00000070993	3323
5017724	10090.ENSMUSP00000023116	3149
5028673	10090.ENSMUSP00000085006	3117
5017574	10090.ENSMUSP00000022639	3112
5020242	10090.ENSMUSP00000032373	3042
5026670	10090.ENSMUSP00000071486	3042
5017968	10090.ENSMUSP00000023934	2834
5016701	10090.ENSMUSP00000019323	2822
5033670	10090.ENSMUSP00000113942	2818
5017573	10090.ENSMUSP00000022638	2785
5029869	10090.ENSMUSP00000094778	2751
5033969	10090.ENSMUSP00000117987	2534
5017570	10090.ENSMUSP00000022629	2521
5029432	10090.ENSMUSP00000091921	2519
5023829	10090.ENSMUSP00000051223	2511
5031153	10090.ENSMUSP00000099938	2367
5017651	10090.ENSMUSP00000022894	2291
5035514	10090.ENSMUSP00000130858	2245
5030865	10090.ENSMUSP00000099364	2178
5018714	10090.ENSMUSP00000027123	2170
5025240	10090.ENSMUSP00000060246	2134
5019943	10090.ENSMUSP00000031314	2126
5020637	10090.ENSMUSP00000033800	2087
5026617	10090.ENSMUSP00000071135	2057
5028036	10090.ENSMUSP00000079727	2036
5033346	10090.ENSMUSP00000112259	2020
5031147	10090.ENSMUSP00000099922	1995
5020988	10090.ENSMUSP00000034834	1948
5016566	10090.ENSMUSP00000018246	1929
5027261	10090.ENSMUSP00000074994	1913
5015743	10090.ENSMUSP00000004378	1905
5030890	10090.ENSMUSP00000099409	1902
5018045	10090.ENSMUSP00000024739	1873
5030949	10090.ENSMUSP00000099536	1833
5016806	10090.ENSMUSP00000020024	1823
5020742	10090.ENSMUSP00000034097	1818
5028239	10090.ENSMUSP00000080994	1789
5019825	10090.ENSMUSP00000030940	1774
5026796	10090.ENSMUSP00000072145	1764
5016363	10090.ENSMUSP00000015435	1735
5031140	10090.ENSMUSP00000099902	1732
5018398	10090.ENSMUSP00000025904	1732
5019888	10090.ENSMUSP00000031131	1728
5031095	10090.ENSMUSP00000099819	1682
5022374	10090.ENSMUSP00000042457	1679
5016228	10090.ENSMUSP00000011896	1628
5030061	10090.ENSMUSP00000095794	1616
5023392	10090.ENSMUSP00000048425	1599
5025564	10090.ENSMUSP00000062539	1589
5029289	10090.ENSMUSP00000090895	1586
5029290	10090.ENSMUSP00000090897	1586
5018481	10090.ENSMUSP00000026196	1585
5019511	10090.ENSMUSP00000029876	1576
5033715	10090.ENSMUSP00000114144	1570
5025013	10090.ENSMUSP00000058789	1554
5018926	10090.ENSMUSP00000027863	1551
5033211	10090.ENSMUSP00000111002	1510
5031780	10090.ENSMUSP00000103267	1505
5016674	10090.ENSMUSP00000019109	1499
5016723	10090.ENSMUSP00000019514	1491
5033098	10090.ENSMUSP00000110489	1483
5016042	10090.ENSMUSP00000007708	1474
5036365	10090.ENSMUSP00000136544	1465
5033031	10090.ENSMUSP00000110103	1429
5027211	10090.ENSMUSP00000074724	1405
5033066	10090.ENSMUSP00000110314	1392
5029066	10090.ENSMUSP00000088618	1380
5016227	10090.ENSMUSP00000011895	1379
5028656	10090.ENSMUSP00000084846	1360
5036483	10090.ENSMUSP00000136922	1346
5017475	10090.ENSMUSP00000022322	1346
5026616	10090.ENSMUSP00000071134	1339
5020722	10090.ENSMUSP00000034049	1337
5022151	10090.ENSMUSP00000041149	1317
5023545	10090.ENSMUSP00000049355	1310
5028474	10090.ENSMUSP00000083077	1289
5023314	10090.ENSMUSP00000047968	1284
5020466	10090.ENSMUSP00000033176	1280
5018269	10090.ENSMUSP00000025486	1242
5019779	10090.ENSMUSP00000030805	1232
5015686	10090.ENSMUSP00000003754	1216
