#id: 2560252702
#name: Mus musculus - Diaphragm,  protein intensity (Geiger,mcp,2013)
#score: 11.7
#description: abundance based on MAPPED_BY_AUTHORS,  Protein_Intensity, Interaction consistency score: 11.7, Coverage: 34
#organ: DIAPHRAGM
#integrated: false
#coverage: 34
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M112.024919
#publication_year: 2013
#filename: 10090-Diaphragm_geiger_2013.txt
#
#string_external_id	abundance
10090.ENSMUSP00000117569	149688
10090.ENSMUSP00000125995	39917
10090.ENSMUSP00000097561	29394
10090.ENSMUSP00000109337	28693
10090.ENSMUSP00000129544	26771
10090.ENSMUSP00000003643	24372
10090.ENSMUSP00000048218	21206
10090.ENSMUSP00000032910	17560
10090.ENSMUSP00000027151	16272
10090.ENSMUSP00000023116	13050
10090.ENSMUSP00000030184	12441
10090.ENSMUSP00000031314	10939
10090.ENSMUSP00000103007	10939
10090.ENSMUSP00000034453	10651
10090.ENSMUSP00000099867	10555
10090.ENSMUSP00000026459	10459
10090.ENSMUSP00000080538	10171
10090.ENSMUSP00000112615	9269
10090.ENSMUSP00000026495	8703
10090.ENSMUSP00000067708	8262
10090.ENSMUSP00000072620	7830
10090.ENSMUSP00000068479	7667
10090.ENSMUSP00000099938	6813
10090.ENSMUSP00000122733	6381
10090.ENSMUSP00000032373	6266
10090.ENSMUSP00000014080	6112
10090.ENSMUSP00000070709	6055
10090.ENSMUSP00000034562	5364
10090.ENSMUSP00000120976	5316
10090.ENSMUSP00000023161	5249
10090.ENSMUSP00000047763	5076
10090.ENSMUSP00000034097	5057
10090.ENSMUSP00000027153	4884
10090.ENSMUSP00000019323	4865
10090.ENSMUSP00000072945	4558
10090.ENSMUSP00000090897	4524
10090.ENSMUSP00000090895	4524
10090.ENSMUSP00000110434	4510
10090.ENSMUSP00000034866	4510
10090.ENSMUSP00000099819	4491
10090.ENSMUSP00000113978	4446
10090.ENSMUSP00000072197	4443
10090.ENSMUSP00000007012	4318
10090.ENSMUSP00000026196	4299
10090.ENSMUSP00000034049	4251
10090.ENSMUSP00000088723	4251
10090.ENSMUSP00000075772	4126
10090.ENSMUSP00000034276	4107
10090.ENSMUSP00000047564	3771
10090.ENSMUSP00000004729	3742
10090.ENSMUSP00000022122	3685
10090.ENSMUSP00000078715	3656
10090.ENSMUSP00000022327	3617
10090.ENSMUSP00000136544	3397
10090.ENSMUSP00000003554	3349
10090.ENSMUSP00000021993	3330
10090.ENSMUSP00000103267	3330
10090.ENSMUSP00000015800	3301
10090.ENSMUSP00000034834	3301
10090.ENSMUSP00000025217	3291
10090.ENSMUSP00000095794	3200
10090.ENSMUSP00000023934	3200
10090.ENSMUSP00000051222	3186
10090.ENSMUSP00000027409	3109
10090.ENSMUSP00000099634	3042
10090.ENSMUSP00000033176	3042
10090.ENSMUSP00000029076	2946
10090.ENSMUSP00000027111	2859
10090.ENSMUSP00000020768	2811
10090.ENSMUSP00000123765	2744
10090.ENSMUSP00000130858	2716
10090.ENSMUSP00000022062	2706
10090.ENSMUSP00000113942	2567
10090.ENSMUSP00000092698	2567
10090.ENSMUSP00000034046	2514
10090.ENSMUSP00000029454	2504
10090.ENSMUSP00000010007	2504
10090.ENSMUSP00000027123	2447
10090.ENSMUSP00000079022	2389
