#id: 2959266528
#name: M.musculus - Whole organism, SC (Gpm,oct,2012)
#score: 18.3
#weight:  1%
#description: abundance based on Spectral counting, Interaction consistency score: 18.3, Coverage: 79
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 79
#link: http://www.thegpm.org/
#publication_year: 2012
#filename: 10090-GPM_2012_09_Mus_musculus.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
5032614	10090.ENSMUSP00000107795	57850	320
5033187	10090.ENSMUSP00000110886	13697	24
5033969	10090.ENSMUSP00000117987	11285	4093
5026876	10090.ENSMUSP00000072620	10085	8429
5036892	10090.ENSMUSP00000138955	8805	2265
5019383	10090.ENSMUSP00000029515	8596	1326
5028293	10090.ENSMUSP00000081474	7403	1200
5034438	10090.ENSMUSP00000124509	6743	4226
5031582	10090.ENSMUSP00000102062	6743	4226
5017651	10090.ENSMUSP00000022894	6287	2771
5016399	10090.ENSMUSP00000015800	5296	8188
5030665	10090.ENSMUSP00000098066	5102	9790
5026670	10090.ENSMUSP00000071486	5100	9785
5016512	10090.ENSMUSP00000017548	4799	539
5023470	10090.ENSMUSP00000048857	4675	3092
5032253	10090.ENSMUSP00000105709	4675	3092
5016723	10090.ENSMUSP00000019514	4675	3092
5032437	10090.ENSMUSP00000106861	4538	2101
5037117	10090.ENSMUSP00000140394	4166	4129
5036995	10090.ENSMUSP00000139663	4166	4129
5028022	10090.ENSMUSP00000079670	4166	4129
5029119	10090.ENSMUSP00000089293	4166	4129
5028013	10090.ENSMUSP00000079628	4122	723
5036085	10090.ENSMUSP00000135215	3845	4175
5031320	10090.ENSMUSP00000100737	3845	4175
5031322	10090.ENSMUSP00000100739	3845	4175
5036052	10090.ENSMUSP00000134751	3845	4175
5027261	10090.ENSMUSP00000074994	3845	4175
5030230	10090.ENSMUSP00000096442	3845	4175
5029120	10090.ENSMUSP00000089295	3845	4175
5029141	10090.ENSMUSP00000089346	3845	4175
5031153	10090.ENSMUSP00000099938	3829	1609
5016228	10090.ENSMUSP00000011896	3746	2364
5017892	10090.ENSMUSP00000023707	3705	975
5032371	10090.ENSMUSP00000106318	3549	2844
5036365	10090.ENSMUSP00000136544	3544	5127
5028122	10090.ENSMUSP00000080302	3544	5127
5016447	10090.ENSMUSP00000016396	2982	24
5031780	10090.ENSMUSP00000103267	2742	1701
5018714	10090.ENSMUSP00000027123	2733	2720
5033346	10090.ENSMUSP00000112259	2696	1092
5018072	10090.ENSMUSP00000024823	2631	611
5021778	10090.ENSMUSP00000038964	2629	356
5027947	10090.ENSMUSP00000079180	2509	342
5027274	10090.ENSMUSP00000075067	2464	1379
5017771	10090.ENSMUSP00000023269	2359	313
5036727	10090.ENSMUSP00000137631	2353	360
5033670	10090.ENSMUSP00000113942	2350	2793
5036848	10090.ENSMUSP00000138396	2305	2605
5030874	10090.ENSMUSP00000099384	2288	810
5017138	10090.ENSMUSP00000021217	2188	1115
5022232	10090.ENSMUSP00000041652	2091	463
5026918	10090.ENSMUSP00000072858	2063	3033
5034020	10090.ENSMUSP00000118787	2054	312
5028126	10090.ENSMUSP00000080354	2032	1002
5033019	10090.ENSMUSP00000110013	2011	237
5034103	10090.ENSMUSP00000119975	2004	438
5022374	10090.ENSMUSP00000042457	1983	1297
5029042	10090.ENSMUSP00000088372	1968	1303
5029444	10090.ENSMUSP00000092002	1968	1303
5031011	10090.ENSMUSP00000099657	1949	3144
5034839	10090.ENSMUSP00000127034	1935	1404
5029572	10090.ENSMUSP00000092698	1929	2334
5031918	10090.ENSMUSP00000103940	1887	353
5020988	10090.ENSMUSP00000034834	1851	1783
5031271	10090.ENSMUSP00000100581	1748	3594
5027709	10090.ENSMUSP00000077814	1748	3594
5029122	10090.ENSMUSP00000089300	1748	3594
5034113	10090.ENSMUSP00000120096	1746	1287
5028875	10090.ENSMUSP00000086852	1746	1287
5029029	10090.ENSMUSP00000088288	1742	3586
5018975	10090.ENSMUSP00000028062	1738	1846
5034139	10090.ENSMUSP00000120528	1717	310
5031943	10090.ENSMUSP00000104067	1708	371
5027550	10090.ENSMUSP00000076777	1693	6930
5030904	10090.ENSMUSP00000099435	1686	385
5031065	10090.ENSMUSP00000099757	1661	591
5020965	10090.ENSMUSP00000034756	1658	1125
5020911	10090.ENSMUSP00000034588	1658	494
5027346	10090.ENSMUSP00000075513	1646	4398
5028036	10090.ENSMUSP00000079727	1646	4398
5033716	10090.ENSMUSP00000114159	1632	723
5031605	10090.ENSMUSP00000102213	1580	98
5020205	10090.ENSMUSP00000032228	1562	5868
5029869	10090.ENSMUSP00000094778	1529	6457
5022976	10090.ENSMUSP00000046101	1476	2056
5031249	10090.ENSMUSP00000100528	1465	539
5030951	10090.ENSMUSP00000099541	1465	539
5021039	10090.ENSMUSP00000034966	1458	702
5023860	10090.ENSMUSP00000051432	1440	3399
5023800	10090.ENSMUSP00000051033	1404	6283
5026344	10090.ENSMUSP00000069004	1398	299
