#id: 3080056256
#name: Mus musculus - Heart (Integrated)
#score: 27.2
#coverage: 44
#description: integrated dataset: weighted average of all Mus musculus HEART: 27.2, Coverage: 44
#organ: HEART
#integrated: true
#weights: PXD002870_Lau_Sci_Data_2016_mouse_heart_6strains_combined:0.429;Heart_geiger_2013:0.18;mouse_heart_kislinger2006_cell:0.18;Mouse_heart_Huttlin_cell2010.csv:0.172;Mouse_heart_Kruger2008_cell:0.039;
#publication_year: 2023
#filename: 10090-HEART-integrated.txt
#
#string_external_id	abundance
10090.ENSMUSP00000125995	22666
10090.ENSMUSP00000026459	19611
10090.ENSMUSP00000080538	17985
10090.ENSMUSP00000070709	14453
10090.ENSMUSP00000023934	12753
10090.ENSMUSP00000014080	12596
10090.ENSMUSP00000026495	11229
10090.ENSMUSP00000090895	10848
10090.ENSMUSP00000109337	10721
10090.ENSMUSP00000023116	10451
10090.ENSMUSP00000078715	10068
10090.ENSMUSP00000048218	9179
10090.ENSMUSP00000031314	9170
10090.ENSMUSP00000031423	9087
10090.ENSMUSP00000034049	8318
10090.ENSMUSP00000095794	8114
10090.ENSMUSP00000003643	7730
10090.ENSMUSP00000022122	7654
10090.ENSMUSP00000090897	7085
10090.ENSMUSP00000037348	6931
10090.ENSMUSP00000120976	6668
10090.ENSMUSP00000019323	6236
10090.ENSMUSP00000027123	6184
10090.ENSMUSP00000034866	5684
10090.ENSMUSP00000110434	5234
10090.ENSMUSP00000087736	5050
10090.ENSMUSP00000107717	4705
10090.ENSMUSP00000004729	4562
10090.ENSMUSP00000103007	4528
10090.ENSMUSP00000034453	4463
10090.ENSMUSP00000026743	4417
10090.ENSMUSP00000027810	4413
10090.ENSMUSP00000072620	4300
10090.ENSMUSP00000015800	4267
10090.ENSMUSP00000099819	4264
10090.ENSMUSP00000099938	4030
10090.ENSMUSP00000003461	4011
10090.ENSMUSP00000027153	4010
10090.ENSMUSP00000034097	3930
10090.ENSMUSP00000007012	3832
10090.ENSMUSP00000033176	3753
10090.ENSMUSP00000072483	3750
10090.ENSMUSP00000131991	3682
10090.ENSMUSP00000102147	3512
10090.ENSMUSP00000034562	3492
10090.ENSMUSP00000099634	3468
10090.ENSMUSP00000034547	3409
10090.ENSMUSP00000113942	3388
10090.ENSMUSP00000096458	3246
10090.ENSMUSP00000000090	3169
10090.ENSMUSP00000022062	3165
10090.ENSMUSP00000022268	3069
10090.ENSMUSP00000110547	3038
10090.ENSMUSP00000005826	2990
10090.ENSMUSP00000027111	2935
10090.ENSMUSP00000084846	2920
10090.ENSMUSP00000023851	2911
10090.ENSMUSP00000016463	2870
10090.ENSMUSP00000025217	2861
10090.ENSMUSP00000075150	2848
10090.ENSMUSP00000072829	2814
10090.ENSMUSP00000068479	2788
10090.ENSMUSP00000031637	2733
10090.ENSMUSP00000123765	2720
10090.ENSMUSP00000023161	2673
10090.ENSMUSP00000096753	2666
10090.ENSMUSP00000034276	2650
10090.ENSMUSP00000032373	2597
10090.ENSMUSP00000020768	2569
10090.ENSMUSP00000071486	2542
10090.ENSMUSP00000099867	2436
10090.ENSMUSP00000021993	2434
10090.ENSMUSP00000034834	2394
10090.ENSMUSP00000045284	2372
10090.ENSMUSP00000029610	2334
10090.ENSMUSP00000047564	2330
10090.ENSMUSP00000098066	2308
10090.ENSMUSP00000106318	2307
10090.ENSMUSP00000033662	2304
10090.ENSMUSP00000023677	2202
10090.ENSMUSP00000075987	2153
10090.ENSMUSP00000129378	2106
10090.ENSMUSP00000018851	2077
10090.ENSMUSP00000025961	2037
10090.ENSMUSP00000029877	2010
10090.ENSMUSP00000014457	1981
10090.ENSMUSP00000024739	1979
10090.ENSMUSP00000054556	1960
10090.ENSMUSP00000096193	1957
10090.ENSMUSP00000117569	1932
10090.ENSMUSP00000130858	1910
10090.ENSMUSP00000042967	1897
10090.ENSMUSP00000127070	1894
10090.ENSMUSP00000080994	1855
10090.ENSMUSP00000065113	1822
10090.ENSMUSP00000010007	1819
10090.ENSMUSP00000029454	1811
10090.ENSMUSP00000051222	1803
10090.ENSMUSP00000027409	1799
10090.ENSMUSP00000113022	1796
10090.ENSMUSP00000026196	1776
10090.ENSMUSP00000034588	1760
10090.ENSMUSP00000026538	1760
10090.ENSMUSP00000046101	1739
10090.ENSMUSP00000095656	1727
10090.ENSMUSP00000024946	1716
10090.ENSMUSP00000080302	1705
10090.ENSMUSP00000106481	1671
10090.ENSMUSP00000021750	1669
10090.ENSMUSP00000001242	1650
10090.ENSMUSP00000034046	1649
10090.ENSMUSP00000028807	1647
10090.ENSMUSP00000127526	1647
10090.ENSMUSP00000042457	1644
10090.ENSMUSP00000067708	1607
10090.ENSMUSP00000066092	1607
10090.ENSMUSP00000042342	1593
10090.ENSMUSP00000136313	1592
10090.ENSMUSP00000065352	1578
10090.ENSMUSP00000090633	1573
10090.ENSMUSP00000049355	1571
10090.ENSMUSP00000006900	1568
10090.ENSMUSP00000029041	1568
10090.ENSMUSP00000043543	1561
10090.ENSMUSP00000104936	1559
10090.ENSMUSP00000075513	1552
10090.ENSMUSP00000013737	1536
10090.ENSMUSP00000027478	1531
10090.ENSMUSP00000028062	1522
10090.ENSMUSP00000034567	1517
10090.ENSMUSP00000023085	1515
10090.ENSMUSP00000022327	1508
10090.ENSMUSP00000018800	1507
10090.ENSMUSP00000074724	1504
10090.ENSMUSP00000023608	1499
10090.ENSMUSP00000025904	1492
10090.ENSMUSP00000035158	1489
10090.ENSMUSP00000037341	1487
10090.ENSMUSP00000082132	1486
10090.ENSMUSP00000029386	1480
10090.ENSMUSP00000070993	1451
10090.ENSMUSP00000035743	1446
10090.ENSMUSP00000023210	1435
10090.ENSMUSP00000022369	1414
10090.ENSMUSP00000099985	1411
10090.ENSMUSP00000052086	1403
10090.ENSMUSP00000022097	1388
10090.ENSMUSP00000097747	1387
10090.ENSMUSP00000121557	1384
10090.ENSMUSP00000028892	1380
10090.ENSMUSP00000031411	1379
10090.ENSMUSP00000039657	1377
10090.ENSMUSP00000101006	1374
10090.ENSMUSP00000099475	1355
10090.ENSMUSP00000030164	1332
10090.ENSMUSP00000022293	1317
10090.ENSMUSP00000103267	1309
10090.ENSMUSP00000066181	1305
10090.ENSMUSP00000089680	1304
10090.ENSMUSP00000056502	1283
10090.ENSMUSP00000140657	1277
10090.ENSMUSP00000005647	1271
10090.ENSMUSP00000060346	1261
10090.ENSMUSP00000113978	1245
10090.ENSMUSP00000059801	1228
10090.ENSMUSP00000005292	1210
10090.ENSMUSP00000033049	1207
10090.ENSMUSP00000029078	1197
10090.ENSMUSP00000079727	1196
10090.ENSMUSP00000047960	1195
10090.ENSMUSP00000097797	1191
10090.ENSMUSP00000016771	1190
10090.ENSMUSP00000031524	1179
10090.ENSMUSP00000083211	1165
10090.ENSMUSP00000085006	1146
10090.ENSMUSP00000085523	1129
10090.ENSMUSP00000030187	1116
10090.ENSMUSP00000097561	1087
10090.ENSMUSP00000030401	1081
10090.ENSMUSP00000110103	1072
10090.ENSMUSP00000001304	1060
10090.ENSMUSP00000114159	1055
10090.ENSMUSP00000005077	1044
10090.ENSMUSP00000014438	1043
10090.ENSMUSP00000030345	1034
10090.ENSMUSP00000038961	1033
10090.ENSMUSP00000069209	1027
10090.ENSMUSP00000021217	1018
10090.ENSMUSP00000107955	1015
10090.ENSMUSP00000119603	1011
10090.ENSMUSP00000105796	1006
10090.ENSMUSP00000014750	1003
10090.ENSMUSP00000104957	986
10090.ENSMUSP00000016396	979
10090.ENSMUSP00000113071	973
10090.ENSMUSP00000033699	969
10090.ENSMUSP00000136544	957
10090.ENSMUSP00000039692	957
10090.ENSMUSP00000027853	953
10090.ENSMUSP00000034756	939
10090.ENSMUSP00000004673	938
10090.ENSMUSP00000107927	935
10090.ENSMUSP00000109633	928
10090.ENSMUSP00000033842	925
10090.ENSMUSP00000099520	916
10090.ENSMUSP00000081943	912
10090.ENSMUSP00000033157	911
10090.ENSMUSP00000023583	911
10090.ENSMUSP00000032228	911
10090.ENSMUSP00000011896	909
10090.ENSMUSP00000020238	909
10090.ENSMUSP00000048425	906
10090.ENSMUSP00000099902	903
10090.ENSMUSP00000104511	898
10090.ENSMUSP00000082288	894
10090.ENSMUSP00000053145	891
10090.ENSMUSP00000026122	879
10090.ENSMUSP00000028207	871
10090.ENSMUSP00000077744	870
10090.ENSMUSP00000100045	854
10090.ENSMUSP00000030184	853
10090.ENSMUSP00000023514	850
10090.ENSMUSP00000099909	846
10090.ENSMUSP00000022419	845
10090.ENSMUSP00000042095	843
10090.ENSMUSP00000136273	842
10090.ENSMUSP00000030805	838
10090.ENSMUSP00000029699	831
10090.ENSMUSP00000029761	809
10090.ENSMUSP00000018632	809
10090.ENSMUSP00000045606	809
10090.ENSMUSP00000117987	800
10090.ENSMUSP00000023707	798
10090.ENSMUSP00000072945	797
10090.ENSMUSP00000027438	794
10090.ENSMUSP00000028683	790
10090.ENSMUSP00000091921	783
10090.ENSMUSP00000034234	772
10090.ENSMUSP00000131832	771
10090.ENSMUSP00000020504	769
10090.ENSMUSP00000058321	768
10090.ENSMUSP00000032510	765
10090.ENSMUSP00000004375	762
10090.ENSMUSP00000125504	761
10090.ENSMUSP00000022286	761
10090.ENSMUSP00000022980	756
10090.ENSMUSP00000018437	751
10090.ENSMUSP00000132743	748
10090.ENSMUSP00000122103	746
10090.ENSMUSP00000026289	742
10090.ENSMUSP00000097282	741
10090.ENSMUSP00000078774	740
10090.ENSMUSP00000093101	735
10090.ENSMUSP00000043559	731
10090.ENSMUSP00000028944	725
10090.ENSMUSP00000079832	721
10090.ENSMUSP00000088723	717
10090.ENSMUSP00000038763	715
10090.ENSMUSP00000077262	713
10090.ENSMUSP00000064163	711
