#id: 3796875176
#name: Mus musculus - Kidney (Integrated)
#score: 19.2
#coverage: 26
#description: integrated dataset: weighted average of all Mus musculus KIDNEY: 19.2, Coverage: 26
#organ: KIDNEY
#integrated: true
#weights: Mouse_kidney_Huttlin_cell2010.csv:0.531;mouse_kidney_kislinger2006_cell:0.31;mouse_glomeruli_kidney_F.Waanders2009_PNAs:0.159;
#publication_year: 2023
#filename: 10090-KIDNEY-integrated.txt
#
#internal_id	string_external_id	abundance
5018551	10090.ENSMUSP00000026459	26264
5016399	10090.ENSMUSP00000015800	12585
5019943	10090.ENSMUSP00000031314	12448
5017968	10090.ENSMUSP00000023934	11075
5030061	10090.ENSMUSP00000095794	11075
5019545	10090.ENSMUSP00000029987	9651
5016639	10090.ENSMUSP00000018851	8862
5033031	10090.ENSMUSP00000110103	7820
5029289	10090.ENSMUSP00000090895	7718
5029290	10090.ENSMUSP00000090897	7718
5017724	10090.ENSMUSP00000023116	6961
5018714	10090.ENSMUSP00000027123	6741
5030604	10090.ENSMUSP00000097747	6509
5017851	10090.ENSMUSP00000023559	6441
5028039	10090.ENSMUSP00000079752	6439
5018458	10090.ENSMUSP00000026122	6183
5016470	10090.ENSMUSP00000016771	6020
5026851	10090.ENSMUSP00000072483	5486
5034171	10090.ENSMUSP00000120976	5472
5015428	10090.ENSMUSP00000001566	5268
5018031	10090.ENSMUSP00000024707	5238
5017394	10090.ENSMUSP00000022062	5004
5018565	10090.ENSMUSP00000026495	4989
5025733	10090.ENSMUSP00000063825	4874
5031140	10090.ENSMUSP00000099902	4802
5033503	10090.ENSMUSP00000113071	4685
5030921	10090.ENSMUSP00000099475	4682
5020898	10090.ENSMUSP00000034547	4318
5017527	10090.ENSMUSP00000022529	4272
5030617	10090.ENSMUSP00000097797	4245
5019415	10090.ENSMUSP00000029610	4065
5018926	10090.ENSMUSP00000027863	3857
5028401	10090.ENSMUSP00000082288	3743
5018181	10090.ENSMUSP00000025217	3711
5029250	10090.ENSMUSP00000090564	3710
5033066	10090.ENSMUSP00000110314	3669
