#id: 2718262976
#name: Mus musculus - Cortex of kidney,  protein intensity (Geiger,mcp,2013)
#score: 16.1
#description: abundance based on MAPPED_BY_AUTHORS,  Protein_Intensity, Interaction consistency score: 16.1, Coverage: 34
#organ: CORTEX_OF_KIDNEY
#integrated: false
#coverage: 34
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M112.024919
#publication_year: 2013
#filename: 10090-Kidney_cortex_geiger_2013.txt
#
#string_external_id	abundance
10090.ENSMUSP00000026459	11452
10090.ENSMUSP00000027123	10662
10090.ENSMUSP00000099904	9534
10090.ENSMUSP00000082288	8067
10090.ENSMUSP00000029987	7559
10090.ENSMUSP00000102685	7390
10090.ENSMUSP00000026495	7333
10090.ENSMUSP00000030455	7221
10090.ENSMUSP00000079727	6713
10090.ENSMUSP00000097797	6688
10090.ENSMUSP00000103007	6262
10090.ENSMUSP00000025217	6149
10090.ENSMUSP00000023116	6036
10090.ENSMUSP00000007012	5867
10090.ENSMUSP00000025904	5810
10090.ENSMUSP00000015800	5579
10090.ENSMUSP00000032373	5421
10090.ENSMUSP00000031314	5258
10090.ENSMUSP00000016771	5235
10090.ENSMUSP00000090564	5133
10090.ENSMUSP00000063734	4857
10090.ENSMUSP00000099938	4846
10090.ENSMUSP00000028610	4818
10090.ENSMUSP00000029876	4648
10090.ENSMUSP00000130858	4552
10090.ENSMUSP00000019323	4552
10090.ENSMUSP00000029610	4530
10090.ENSMUSP00000099475	4276
10090.ENSMUSP00000034866	4248
10090.ENSMUSP00000136544	4174
10090.ENSMUSP00000027810	4118
10090.ENSMUSP00000027366	4079
10090.ENSMUSP00000025598	4033
10090.ENSMUSP00000031411	4000
10090.ENSMUSP00000034547	3983
10090.ENSMUSP00000081697	3898
10090.ENSMUSP00000106180	3887
10090.ENSMUSP00000042457	3864
10090.ENSMUSP00000022062	3780
10090.ENSMUSP00000072483	3661
10090.ENSMUSP00000097747	3593
10090.ENSMUSP00000095316	3588
10090.ENSMUSP00000022322	3531
10090.ENSMUSP00000114159	3514
10090.ENSMUSP00000028683	3481
10090.ENSMUSP00000106318	3441
10090.ENSMUSP00000091921	3435
10090.ENSMUSP00000066068	3432
10090.ENSMUSP00000074724	3407
