#id: 1518388706
#name: M.musculus - Lung (Integrated)
#score: 18.2
#description: integrated dataset: weighted average of all M.musculus LUNG, Interaction consistency score: 18.2, Coverage: 41
#organ: LUNG
#integrated: true
#coverage: 41
#publication_year: 2022
#filename: 10090-LUNG-integrated.txt
#
#internal_id	string_external_id	abundance
5019943	10090.ENSMUSP00000031314	28702
5029259	10090.ENSMUSP00000090633	21064
5017968	10090.ENSMUSP00000023934	14463
5029289	10090.ENSMUSP00000090895	13141
5029290	10090.ENSMUSP00000090897	13141
5030061	10090.ENSMUSP00000095794	12791
5016639	10090.ENSMUSP00000018851	10109
5018468	10090.ENSMUSP00000026148	9293
5016470	10090.ENSMUSP00000016771	9026
5020606	10090.ENSMUSP00000033699	9002
5017489	10090.ENSMUSP00000022369	8718
5019606	10090.ENSMUSP00000030187	7620
5033503	10090.ENSMUSP00000113071	6614
5034076	10090.ENSMUSP00000119600	6043
5030921	10090.ENSMUSP00000099475	5656
5024098	10090.ENSMUSP00000052872	5335
5015664	10090.ENSMUSP00000003569	4951
5030617	10090.ENSMUSP00000097797	4786
5018045	10090.ENSMUSP00000024739	4781
5035041	10090.ENSMUSP00000128278	4435
5016399	10090.ENSMUSP00000015800	4272
5021232	10090.ENSMUSP00000035829	4205
5019306	10090.ENSMUSP00000029266	4190
5022976	10090.ENSMUSP00000046101	4093
5016855	10090.ENSMUSP00000020238	4016
5022374	10090.ENSMUSP00000042457	3813
5032028	10090.ENSMUSP00000104511	3522
5022716	10090.ENSMUSP00000044554	3510
5029432	10090.ENSMUSP00000091921	3485
5017527	10090.ENSMUSP00000022529	3385
5017570	10090.ENSMUSP00000022629	3137
5018551	10090.ENSMUSP00000026459	2986
5030182	10090.ENSMUSP00000096241	2965
5020965	10090.ENSMUSP00000034756	2944
5030604	10090.ENSMUSP00000097747	2859
5018458	10090.ENSMUSP00000026122	2842
5026599	10090.ENSMUSP00000070993	2758
5018975	10090.ENSMUSP00000028062	2750
5030217	10090.ENSMUSP00000096397	2634
5015702	10090.ENSMUSP00000003912	2618
5031140	10090.ENSMUSP00000099902	2616
5025893	10090.ENSMUSP00000065084	2612
5015667	10090.ENSMUSP00000003575	2593
5019597	10090.ENSMUSP00000030164	2574
5028964	10090.ENSMUSP00000087756	2549
5028665	10090.ENSMUSP00000084918	2523
5030665	10090.ENSMUSP00000098066	2499
5019260	10090.ENSMUSP00000029078	2459
5019139	10090.ENSMUSP00000028683	2450
5022794	10090.ENSMUSP00000045036	2432
5025724	10090.ENSMUSP00000063734	2426
5023951	10090.ENSMUSP00000052020	2418
5032894	10090.ENSMUSP00000109337	2406
5020912	10090.ENSMUSP00000034590	2402
5020288	10090.ENSMUSP00000032510	2374
5018565	10090.ENSMUSP00000026495	2332
5019996	10090.ENSMUSP00000031447	2313
5027391	10090.ENSMUSP00000075772	2274
5023354	10090.ENSMUSP00000048218	2224
5021094	10090.ENSMUSP00000035158	2219
5020911	10090.ENSMUSP00000034588	2203
5033716	10090.ENSMUSP00000114159	2127
5018122	10090.ENSMUSP00000024988	2127
5020762	10090.ENSMUSP00000034172	2110
5019985	10090.ENSMUSP00000031411	2100
5033969	10090.ENSMUSP00000117987	2054
