#id: 1883110011
#name: M.musculus - Muscle (Integrated)
#score: 16.0
#description: integrated dataset: weighted average of all M.musculus MUSCLE, Interaction consistency score: 16.0, Coverage: 45
#organ: MUSCLE
#integrated: true
#coverage: 45
#publication_year: 2022
#filename: 10090-MUSCLE-integrated.txt
#
#internal_id	string_external_id	abundance
5016608	10090.ENSMUSP00000018632	88731
5030561	10090.ENSMUSP00000097561	64067
5020862	10090.ENSMUSP00000034453	62883
5020378	10090.ENSMUSP00000032910	55547
5018723	10090.ENSMUSP00000027151	37805
5032894	10090.ENSMUSP00000109337	29638
5020400	10090.ENSMUSP00000032974	26085
5036261	10090.ENSMUSP00000136278	26069
5034286	10090.ENSMUSP00000122733	24791
5033399	10090.ENSMUSP00000112598	24705
5033945	10090.ENSMUSP00000117569	20460
5015676	10090.ENSMUSP00000003643	19826
5023269	10090.ENSMUSP00000047763	18765
5030874	10090.ENSMUSP00000099384	18150
5027868	10090.ENSMUSP00000078715	14231
5035283	10090.ENSMUSP00000129544	10968
5015955	10090.ENSMUSP00000006626	9759
5016701	10090.ENSMUSP00000019323	8836
5020722	10090.ENSMUSP00000034049	8249
5018551	10090.ENSMUSP00000026459	8196
5023227	10090.ENSMUSP00000047564	7618
5028656	10090.ENSMUSP00000084846	7505
5015661	10090.ENSMUSP00000003554	7343
5018565	10090.ENSMUSP00000026495	7193
5033681	10090.ENSMUSP00000113978	7059
5026876	10090.ENSMUSP00000072620	6438
5020651	10090.ENSMUSP00000033842	6340
5035394	10090.ENSMUSP00000130127	6135
5033670	10090.ENSMUSP00000113942	5882
5033403	10090.ENSMUSP00000112615	5777
5028122	10090.ENSMUSP00000080302	5518
5026203	10090.ENSMUSP00000067708	5433
5016288	10090.ENSMUSP00000014080	5365
5031116	10090.ENSMUSP00000099867	4941
5019943	10090.ENSMUSP00000031314	4699
5017724	10090.ENSMUSP00000023116	4610
5019605	10090.ENSMUSP00000030184	4581
5035514	10090.ENSMUSP00000130858	4479
5033841	10090.ENSMUSP00000116028	4371
5017477	10090.ENSMUSP00000022327	4331
5031780	10090.ENSMUSP00000103267	4253
5022991	10090.ENSMUSP00000046185	4120
5034103	10090.ENSMUSP00000119975	4116
5017416	10090.ENSMUSP00000022122	4004
5017743	10090.ENSMUSP00000023161	3884
5019259	10090.ENSMUSP00000029076	3476
5026277	10090.ENSMUSP00000068479	3469
5028983	10090.ENSMUSP00000087955	3260
5031143	10090.ENSMUSP00000099909	3242
5020988	10090.ENSMUSP00000034834	3170
5017005	10090.ENSMUSP00000020768	2738
5023354	10090.ENSMUSP00000048218	2607
5021580	10090.ENSMUSP00000037854	2549
5034651	10090.ENSMUSP00000125995	2538
5025363	10090.ENSMUSP00000061227	2418
5016399	10090.ENSMUSP00000015800	2257
5031095	10090.ENSMUSP00000099819	2212
5036539	10090.ENSMUSP00000137123	2137
5026911	10090.ENSMUSP00000072829	2124
5025776	10090.ENSMUSP00000064163	2117
5035699	10090.ENSMUSP00000131991	2033
5027391	10090.ENSMUSP00000075772	1990
5020742	10090.ENSMUSP00000034097	1954
5018800	10090.ENSMUSP00000027409	1931
5025183	10090.ENSMUSP00000059801	1881
5017869	10090.ENSMUSP00000023608	1862
5020466	10090.ENSMUSP00000033176	1855
5017968	10090.ENSMUSP00000023934	1629
5020052	10090.ENSMUSP00000031637	1560
5024357	10090.ENSMUSP00000054556	1549
5018631	10090.ENSMUSP00000026743	1533
5015876	10090.ENSMUSP00000005826	1491
5021001	10090.ENSMUSP00000034866	1462
5017883	10090.ENSMUSP00000023677	1443
5026803	10090.ENSMUSP00000072197	1442
5031593	10090.ENSMUSP00000102147	1429
5030858	10090.ENSMUSP00000099334	1381
5020800	10090.ENSMUSP00000034276	1369
5029289	10090.ENSMUSP00000090895	1366
5019535	10090.ENSMUSP00000029941	1344
5016734	10090.ENSMUSP00000019625	1337
5016303	10090.ENSMUSP00000014457	1325
5034171	10090.ENSMUSP00000120976	1309
5020297	10090.ENSMUSP00000032559	1304
5023312	10090.ENSMUSP00000047960	1303
5021777	10090.ENSMUSP00000038961	1296
5015244	10090.ENSMUSP00000000090	1188
5028901	10090.ENSMUSP00000087110	1186
5018223	10090.ENSMUSP00000025349	1172
5026933	10090.ENSMUSP00000072945	1163
5034921	10090.ENSMUSP00000127526	1158
5033117	10090.ENSMUSP00000110547	1130
5021647	10090.ENSMUSP00000038264	1118
5023545	10090.ENSMUSP00000049355	1110
5029019	10090.ENSMUSP00000088217	1104
5015775	10090.ENSMUSP00000004729	1083
5034299	10090.ENSMUSP00000122925	1080
5030168	10090.ENSMUSP00000096193	1075
5027346	10090.ENSMUSP00000075513	1073
5017375	10090.ENSMUSP00000021993	1050
5022622	10090.ENSMUSP00000044012	1047
5031153	10090.ENSMUSP00000099938	992
5018481	10090.ENSMUSP00000026196	985
5031734	10090.ENSMUSP00000103007	979
5018724	10090.ENSMUSP00000027153	956
5015650	10090.ENSMUSP00000003461	932
5030998	10090.ENSMUSP00000099634	930
5024747	10090.ENSMUSP00000057131	909
5020903	10090.ENSMUSP00000034562	908
5017915	10090.ENSMUSP00000023760	904
5020898	10090.ENSMUSP00000034547	901
5029869	10090.ENSMUSP00000094778	884
5018714	10090.ENSMUSP00000027123	877
5017394	10090.ENSMUSP00000022062	848
5034349	10090.ENSMUSP00000123765	831
5033090	10090.ENSMUSP00000110434	823
5017876	10090.ENSMUSP00000023629	813
5017460	10090.ENSMUSP00000022268	802
5034250	10090.ENSMUSP00000122103	796
5025896	10090.ENSMUSP00000065113	791
5027918	10090.ENSMUSP00000079022	780
5027690	10090.ENSMUSP00000077687	780
5022838	10090.ENSMUSP00000045284	767
5021492	10090.ENSMUSP00000037348	762
5031383	10090.ENSMUSP00000101006	761
5020594	10090.ENSMUSP00000033662	752
5016447	10090.ENSMUSP00000016396	747
5018711	10090.ENSMUSP00000027111	746
5031582	10090.ENSMUSP00000102062	745
5026710	10090.ENSMUSP00000071704	738
5031154	10090.ENSMUSP00000099939	735
5019197	10090.ENSMUSP00000028892	730
5032391	10090.ENSMUSP00000106481	723
5018444	10090.ENSMUSP00000026050	721
5020906	10090.ENSMUSP00000034567	693
5018975	10090.ENSMUSP00000028062	692
5036259	10090.ENSMUSP00000136273	689
5025925	10090.ENSMUSP00000065352	683
5022360	10090.ENSMUSP00000042342	680
5016064	10090.ENSMUSP00000008036	680
5018045	10090.ENSMUSP00000024739	672
5024055	10090.ENSMUSP00000052592	670
5017404	10090.ENSMUSP00000022097	663
5030579	10090.ENSMUSP00000097627	659
5027289	10090.ENSMUSP00000075150	656
5031209	10090.ENSMUSP00000100045	652
5028474	10090.ENSMUSP00000083077	643
5022537	10090.ENSMUSP00000043559	639
5016007	10090.ENSMUSP00000007012	626
5016406	10090.ENSMUSP00000015877	626
5019779	10090.ENSMUSP00000030805	626
5027618	10090.ENSMUSP00000077273	618
5020721	10090.ENSMUSP00000034046	615
5036365	10090.ENSMUSP00000136544	613
5029170	10090.ENSMUSP00000089680	606
5017957	10090.ENSMUSP00000023882	604
5026599	10090.ENSMUSP00000070993	604
