#id: 2945002870
#name: Mus musculus - Brain, SC (Huttlin,cell,2010)
#score: 19.1
#description: abundance based on Spectral counting, Interaction consistency score: 19.1, Coverage: 25
#organ: BRAIN
#integrated: false
#coverage: 25
#link: http://www.sciencedirect.com/science/article/pii/S0092867410013796
#publication_year: 2010
#filename: 10090-Mouse_brain_Huttlin_cell2010.csv.txt
#
#string_external_id	abundance	raw_spectral_count
10090.ENSMUSP00000018851	14617	341045
10090.ENSMUSP00000001304	11449	17153
10090.ENSMUSP00000099475	11127	92511
10090.ENSMUSP00000076577	8522	13172
10090.ENSMUSP00000070993	7948	9903
10090.ENSMUSP00000022894	7496	8365
10090.ENSMUSP00000130668	7220	23556
10090.ENSMUSP00000099922	7030	40142
10090.ENSMUSP00000068374	6528	60640
10090.ENSMUSP00000092223	6453	71540
10090.ENSMUSP00000097797	6438	71030
10090.ENSMUSP00000024739	6060	20990
10090.ENSMUSP00000099902	5959	61012
10090.ENSMUSP00000089051	5959	13042
10090.ENSMUSP00000022629	5648	16213
10090.ENSMUSP00000091921	5191	17194
10090.ENSMUSP00000088618	5089	17166
10090.ENSMUSP00000052872	4705	56000
10090.ENSMUSP00000039633	4685	49005
10090.ENSMUSP00000094778	4538	41563
10090.ENSMUSP00000099364	4447	15838
10090.ENSMUSP00000015800	4342	12535
10090.ENSMUSP00000064787	4153	12311
10090.ENSMUSP00000110314	4133	11157
10090.ENSMUSP00000023116	4106	12683
10090.ENSMUSP00000075178	4089	29221
10090.ENSMUSP00000076777	4073	37777
10090.ENSMUSP00000026459	3944	9961
10090.ENSMUSP00000060246	3925	28327
10090.ENSMUSP00000027123	3786	9080
10090.ENSMUSP00000099536	3640	5717
10090.ENSMUSP00000113705	3550	43922
10090.ENSMUSP00000026495	3539	7643
10090.ENSMUSP00000085580	3350	35067
10090.ENSMUSP00000084713	3350	35067
10090.ENSMUSP00000083077	3320	24117
10090.ENSMUSP00000051033	3295	31441
10090.ENSMUSP00000046101	3290	10497
10090.ENSMUSP00000031314	3232	8629
10090.ENSMUSP00000111002	3210	9509
10090.ENSMUSP00000032192	3199	42613
10090.ENSMUSP00000101874	3192	4834
10090.ENSMUSP00000099409	3163	4413
10090.ENSMUSP00000109795	3085	8427
10090.ENSMUSP00000034834	3045	7145
10090.ENSMUSP00000028727	3040	2624
10090.ENSMUSP00000084846	3034	6678
10090.ENSMUSP00000018875	2975	12979
10090.ENSMUSP00000071135	2962	22206
10090.ENSMUSP00000011896	2928	3558
10090.ENSMUSP00000030164	2896	10643
10090.ENSMUSP00000086398	2887	20436
10090.ENSMUSP00000064706	2830	16291
10090.ENSMUSP00000054556	2799	4746
10090.ENSMUSP00000001989	2768	17145
10090.ENSMUSP00000140657	2741	29106
10090.ENSMUSP00000099671	2675	24057
10090.ENSMUSP00000043765	2636	12830
10090.ENSMUSP00000031423	2609	9789
10090.ENSMUSP00000096096	2589	5604
10090.ENSMUSP00000109552	2579	13813
10090.ENSMUSP00000042342	2560	24555
10090.ENSMUSP00000108237	2558	8184
10090.ENSMUSP00000119600	2557	4895
10090.ENSMUSP00000109907	2556	1305
10090.ENSMUSP00000032373	2547	4135
10090.ENSMUSP00000029046	2523	1326
10090.ENSMUSP00000028386	2488	12001
10090.ENSMUSP00000020238	2465	7642
10090.ENSMUSP00000117987	2413	1888
10090.ENSMUSP00000110882	2404	3552
10090.ENSMUSP00000099907	2373	9478
10090.ENSMUSP00000034097	2312	4992
10090.ENSMUSP00000099938	2286	2475
10090.ENSMUSP00000039657	2265	19108
10090.ENSMUSP00000005826	2246	3267
10090.ENSMUSP00000019323	2216	3380
10090.ENSMUSP00000100067	2215	3054
10090.ENSMUSP00000009538	2182	5593
10090.ENSMUSP00000022529	2160	5522
10090.ENSMUSP00000029374	2143	29454
10090.ENSMUSP00000083375	2139	2598
10090.ENSMUSP00000001566	2138	22599
10090.ENSMUSP00000072145	2126	1799
10090.ENSMUSP00000059801	2126	7382
10090.ENSMUSP00000063714	2122	1601
10090.ENSMUSP00000115723	2111	1489
10090.ENSMUSP00000071134	2052	13315
10090.ENSMUSP00000016396	2046	15
