#id: 1266671979
#name: Mus musculus - Liver, SC (Wang,proteomicsc.a.,2009)
#score: 8.0
#description: abundance based on Spectral counting, Interaction consistency score: 8.0, Coverage: 3
#organ: LIVER
#integrated: false
#coverage: 3
#link: http://onlinelibrary.wiley.com/doi/10.1002/prca.200800145/abstract
#publication_year: 2009
#filename: 10090-Mouse_liver_Wang2009_Proteomics_ClinApp.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
5018703	10090.ENSMUSP00000027067	22253	90
5023392	10090.ENSMUSP00000048425	16842	35
5016007	10090.ENSMUSP00000007012	16788	50
5020777	10090.ENSMUSP00000034214	11740	17
5016701	10090.ENSMUSP00000019323	11672	103
5015890	10090.ENSMUSP00000005964	11249	41
5029290	10090.ENSMUSP00000090897	9607	67
5029289	10090.ENSMUSP00000090895	9607	67
5026918	10090.ENSMUSP00000072858	9318	240
5033716	10090.ENSMUSP00000114159	8816	114
5019779	10090.ENSMUSP00000030805	8539	24
5017929	10090.ENSMUSP00000023803	8457	264
5028293	10090.ENSMUSP00000081474	8145	17
5016228	10090.ENSMUSP00000011896	7564	45
5016835	10090.ENSMUSP00000020161	7375	70
5023837	10090.ENSMUSP00000051268	7240	29
5029122	10090.ENSMUSP00000089300	7190	240
5029136	10090.ENSMUSP00000089335	7190	240
5029137	10090.ENSMUSP00000089336	7190	240
5029138	10090.ENSMUSP00000089339	7190	240
5027654	10090.ENSMUSP00000077477	7190	240
5027109	10090.ENSMUSP00000074142	7190	240
5026942	10090.ENSMUSP00000072989	7190	240
5029140	10090.ENSMUSP00000089345	7190	240
5034949	10090.ENSMUSP00000127684	7190	240
5029027	10090.ENSMUSP00000088285	7190	240
5029026	10090.ENSMUSP00000088281	7190	240
5029029	10090.ENSMUSP00000088288	7190	240
5028086	10090.ENSMUSP00000080088	7190	240
5032011	10090.ENSMUSP00000104445	7190	240
5031200	10090.ENSMUSP00000100034	7190	240
5027709	10090.ENSMUSP00000077814	7190	240
5031271	10090.ENSMUSP00000100581	7190	240
5027141	10090.ENSMUSP00000074310	7190	240
5016414	10090.ENSMUSP00000015941	7002	191
5022673	10090.ENSMUSP00000044288	6967	31
5027491	10090.ENSMUSP00000076397	6628	103
5029028	10090.ENSMUSP00000088287	6628	103
5026812	10090.ENSMUSP00000072227	6517	240
5030328	10090.ENSMUSP00000096912	6099	191
5036157	10090.ENSMUSP00000135956	6099	191
5018714	10090.ENSMUSP00000027123	5943	54
5019730	10090.ENSMUSP00000030651	5815	13
5019683	10090.ENSMUSP00000030455	5451	42
5022374	10090.ENSMUSP00000042457	5359	105
5024357	10090.ENSMUSP00000054556	5359	105
5016585	10090.ENSMUSP00000018470	5001	67
5019985	10090.ENSMUSP00000031411	4908	70
5036085	10090.ENSMUSP00000135215	4861	83
5031320	10090.ENSMUSP00000100737	4861	83
5031322	10090.ENSMUSP00000100739	4861	83
5029119	10090.ENSMUSP00000089293	4861	83
5029120	10090.ENSMUSP00000089295	4861	83
5029141	10090.ENSMUSP00000089346	4861	83
5036995	10090.ENSMUSP00000139663	4861	83
5028022	10090.ENSMUSP00000079670	4861	83
5031582	10090.ENSMUSP00000102062	4861	83
5027261	10090.ENSMUSP00000074994	4861	83
5037117	10090.ENSMUSP00000140394	4861	83
5036052	10090.ENSMUSP00000134751	4861	83
5030230	10090.ENSMUSP00000096442	4861	83
5034438	10090.ENSMUSP00000124509	4861	83
5033019	10090.ENSMUSP00000110013	4690	11
5023860	10090.ENSMUSP00000051432	4686	240
5016878	10090.ENSMUSP00000020298	4653	23
5020992	10090.ENSMUSP00000034848	4564	14
5015583	10090.ENSMUSP00000002846	4543	50
5016905	10090.ENSMUSP00000020397	4482	10
5031918	10090.ENSMUSP00000103940	4183	22
5017809	10090.ENSMUSP00000023432	4129	25
5035328	10090.ENSMUSP00000129767	4033	21
5031150	10090.ENSMUSP00000099930	3998	13
5020242	10090.ENSMUSP00000032373	3993	91
5019726	10090.ENSMUSP00000030642	3891	15
5032069	10090.ENSMUSP00000104731	3869	15
5034579	10090.ENSMUSP00000125548	3831	27
5021406	10090.ENSMUSP00000036907	3797	240
5032189	10090.ENSMUSP00000105359	3797	240
5018573	10090.ENSMUSP00000026538	3786	39
5031380	10090.ENSMUSP00000101002	3771	12
5016415	10090.ENSMUSP00000015950	3705	22
5019415	10090.ENSMUSP00000029610	3670	21
5033872	10090.ENSMUSP00000116492	3614	14
5023125	10090.ENSMUSP00000047008	3404	17
5023678	10090.ENSMUSP00000050289	3404	17
5031221	10090.ENSMUSP00000100067	3346	61
5021032	10090.ENSMUSP00000034947	3335	16
5019260	10090.ENSMUSP00000029078	3293	14
5018721	10090.ENSMUSP00000027144	3257	109
5035826	10090.ENSMUSP00000132735	3210	17
5029957	10090.ENSMUSP00000095316	3117	39
5018518	10090.ENSMUSP00000026328	3082	79
5031780	10090.ENSMUSP00000103267	3035	91
