#id: 3599600349
#name: Mus musculus - Lung, SC (Huttlin,cell,2010)
#score: 16.7
#description: abundance based on Spectral counting, Interaction consistency score: 16.7, Coverage: 26
#organ: LUNG
#integrated: false
#coverage: 26
#link: http://www.sciencedirect.com/science/article/pii/S0092867410013796
#publication_year: 2010
#filename: 10090-Mouse_lung_Huttlin_cell2010.csv.txt
#
#string_external_id	abundance	raw_spectral_count
10090.ENSMUSP00000031314	30231	69763
10090.ENSMUSP00000090633	23558	549423
10090.ENSMUSP00000018851	14996	300464
10090.ENSMUSP00000033699	11831	120061
10090.ENSMUSP00000090897	10654	10908
10090.ENSMUSP00000090895	10654	10908
10090.ENSMUSP00000022369	10444	38191
10090.ENSMUSP00000030187	9412	87643
10090.ENSMUSP00000023934	9393	13726
10090.ENSMUSP00000095794	9393	13726
10090.ENSMUSP00000016771	9240	72726
10090.ENSMUSP00000119600	9153	15292
10090.ENSMUSP00000099475	7481	56204
10090.ENSMUSP00000052872	7260	75589
10090.ENSMUSP00000026148	7052	6822
10090.ENSMUSP00000128278	6699	42513
10090.ENSMUSP00000035829	6239	28956
10090.ENSMUSP00000024739	5570	16409
10090.ENSMUSP00000046101	5514	16320
10090.ENSMUSP00000113071	5497	11598
10090.ENSMUSP00000044554	4986	10656
10090.ENSMUSP00000003569	4654	4081
10090.ENSMUSP00000029266	4551	4564
10090.ENSMUSP00000104511	4535	10187
10090.ENSMUSP00000020238	4358	12219
10090.ENSMUSP00000096241	4123	15428
10090.ENSMUSP00000022529	4055	8786
10090.ENSMUSP00000045036	3658	32571
10090.ENSMUSP00000022629	3552	8890
10090.ENSMUSP00000042457	3519	4820
10090.ENSMUSP00000091921	3371	10370
10090.ENSMUSP00000052020	3280	38284
10090.ENSMUSP00000026459	3254	7333
10090.ENSMUSP00000096397	3236	6743
10090.ENSMUSP00000030164	3165	10745
10090.ENSMUSP00000003643	3015	2863
10090.ENSMUSP00000015800	2982	7884
10090.ENSMUSP00000034756	2966	3816
10090.ENSMUSP00000070993	2949	3467
10090.ENSMUSP00000026122	2861	5162
10090.ENSMUSP00000026495	2735	5490
10090.ENSMUSP00000034590	2711	1871
10090.ENSMUSP00000065084	2699	5426
10090.ENSMUSP00000103012	2616	13586
10090.ENSMUSP00000097797	2602	26369
10090.ENSMUSP00000032228	2597	18655
10090.ENSMUSP00000005651	2586	5796
10090.ENSMUSP00000118179	2562	14238
10090.ENSMUSP00000003912	2511	3007
10090.ENSMUSP00000025955	2499	7505
10090.ENSMUSP00000035158	2496	13424
10090.ENSMUSP00000032510	2485	13465
10090.ENSMUSP00000097747	2475	6425
10090.ENSMUSP00000106519	2421	558
10090.ENSMUSP00000024988	2353	18528
10090.ENSMUSP00000087756	2281	19232
10090.ENSMUSP00000099902	2262	20524
10090.ENSMUSP00000099461	2138	1471
10090.ENSMUSP00000001963	2112	10623
10090.ENSMUSP00000029046	2099	1092
