#id: 3022864394
#name: Mus musculus - Pancreas, SC (Huttlin,cell,2010)
#score: 18.7
#description: abundance based on Spectral counting, Interaction consistency score: 18.7, Coverage: 20
#organ: PANCREAS
#integrated: false
#coverage: 20
#link: http://www.sciencedirect.com/science/article/pii/S0092867410013796
#publication_year: 2010
#filename: 10090-Mouse_pancreas_Huttlin_cell2010.csv.txt
#
#string_external_id	abundance	raw_spectral_count
10090.ENSMUSP00000127903	18122	49890
10090.ENSMUSP00000046101	15078	28336
10090.ENSMUSP00000026122	15054	17758
10090.ENSMUSP00000031314	13361	21269
10090.ENSMUSP00000020238	10275	17916
10090.ENSMUSP00000034435	9980	6205
10090.ENSMUSP00000035584	9441	15479
10090.ENSMUSP00000042457	9127	7823
10090.ENSMUSP00000016072	8721	23280
10090.ENSMUSP00000118179	8225	28816
10090.ENSMUSP00000016771	7807	40088
10090.ENSMUSP00000097747	7684	12421
10090.ENSMUSP00000001460	7670	16421
10090.ENSMUSP00000025955	7605	16370
10090.ENSMUSP00000106519	7537	1244
10090.ENSMUSP00000052872	7110	47175
10090.ENSMUSP00000068594	6639	17575
10090.ENSMUSP00000069432	6497	53115
10090.ENSMUSP00000018851	6379	96744
10090.ENSMUSP00000013773	6306	37047
10090.ENSMUSP00000006496	6270	1253
10090.ENSMUSP00000045841	6067	25480
10090.ENSMUSP00000081556	6065	15063
10090.ENSMUSP00000099435	5971	1991
10090.ENSMUSP00000028161	5678	5974
10090.ENSMUSP00000045465	5670	6690
10090.ENSMUSP00000099475	5272	26150
10090.ENSMUSP00000076521	4596	6506
10090.ENSMUSP00000003912	4589	3883
10090.ENSMUSP00000032998	4486	2938
10090.ENSMUSP00000026459	4460	6407
10090.ENSMUSP00000080354	4144	2459
10090.ENSMUSP00000037930	4139	18470
10090.ENSMUSP00000004072	4008	1584
10090.ENSMUSP00000099539	3920	3703
10090.ENSMUSP00000084572	3845	12040
10090.ENSMUSP00000047678	3817	9777
10090.ENSMUSP00000093955	3774	4786
10090.ENSMUSP00000030187	3766	24045
10090.ENSMUSP00000095197	3719	10316
10090.ENSMUSP00000047008	3711	1689
10090.ENSMUSP00000052020	3650	27339
10090.ENSMUSP00000071616	3576	1500
10090.ENSMUSP00000024739	3560	7392
10090.ENSMUSP00000034966	3547	2256
10090.ENSMUSP00000011607	3546	4670
10090.ENSMUSP00000128278	3516	15742
10090.ENSMUSP00000054490	3507	544
10090.ENSMUSP00000092157	3502	8662
10090.ENSMUSP00000112081	3469	5416
10090.ENSMUSP00000031806	3435	3667
10090.ENSMUSP00000034947	3420	1782
10090.ENSMUSP00000132082	3382	11232
10090.ENSMUSP00000021605	3322	16339
10090.ENSMUSP00000137025	3151	18383
10090.ENSMUSP00000096270	3151	18383
10090.ENSMUSP00000096264	3151	18383
10090.ENSMUSP00000136894	3151	18383
10090.ENSMUSP00000038781	3021	346
10090.ENSMUSP00000033699	2953	20825
10090.ENSMUSP00000006544	2910	2789
10090.ENSMUSP00000026495	2907	3473
10090.ENSMUSP00000056377	2901	3512
10090.ENSMUSP00000028683	2878	4429
10090.ENSMUSP00000030164	2872	6497
10090.ENSMUSP00000021217	2825	1570
10090.ENSMUSP00000003445	2723	1022
10090.ENSMUSP00000020640	2717	2028
10090.ENSMUSP00000022529	2673	3530
10090.ENSMUSP00000027252	2628	6707
10090.ENSMUSP00000136673	2624	6652
10090.ENSMUSP00000114159	2543	1111
10090.ENSMUSP00000052912	2496	2899
10090.ENSMUSP00000081474	2467	702
10090.ENSMUSP00000103940	2464	410
10090.ENSMUSP00000118962	2457	8390
10090.ENSMUSP00000027123	2455	3806
10090.ENSMUSP00000061851	2452	6614
10090.ENSMUSP00000127198	2452	6614
10090.ENSMUSP00000031766	2424	3951
10090.ENSMUSP00000001989	2350	8980
10090.ENSMUSP00000035033	2307	6214
10090.ENSMUSP00000104067	2298	381
10090.ENSMUSP00000063825	2250	6498
10090.ENSMUSP00000120528	2218	407
10090.ENSMUSP00000033012	2218	6177
10090.ENSMUSP00000097797	2140	15299
10090.ENSMUSP00000032143	2071	3807
10090.ENSMUSP00000110731	2039	99
10090.ENSMUSP00000033683	2038	1645
10090.ENSMUSP00000067685	2036	9638
10090.ENSMUSP00000031617	1999	1437
10090.ENSMUSP00000023952	1989	1853
10090.ENSMUSP00000102213	1981	107
10090.ENSMUSP00000075690	1973	1546
10090.ENSMUSP00000091921	1963	4170
10090.ENSMUSP00000003521	1956	391
10090.ENSMUSP00000022734	1955	1868
10090.ENSMUSP00000064755	1953	2261
10090.ENSMUSP00000132590	1932	1800
10090.ENSMUSP00000099902	1929	12376
10090.ENSMUSP00000027438	1909	1855
10090.ENSMUSP00000117987	1895	860
10090.ENSMUSP00000115722	1891	487
10090.ENSMUSP00000103007	1875	2001
10090.ENSMUSP00000020497	1859	4900
10090.ENSMUSP00000054556	1856	3809
10090.ENSMUSP00000078654	1831	563
10090.ENSMUSP00000103012	1799	6170
10090.ENSMUSP00000070993	1798	1408
10090.ENSMUSP00000017548	1790	294
10090.ENSMUSP00000023116	1790	3482
10090.ENSMUSP00000104511	1747	2719
10090.ENSMUSP00000025483	1741	2067
10090.ENSMUSP00000081880	1739	8859
10090.ENSMUSP00000037583	1738	883
10090.ENSMUSP00000023803	1736	1910
10090.ENSMUSP00000015800	1731	3339
10090.ENSMUSP00000133372	1719	1928
10090.ENSMUSP00000029722	1718	899
10090.ENSMUSP00000035823	1716	3570
10090.ENSMUSP00000090897	1710	1380
10090.ENSMUSP00000090895	1710	1380
10090.ENSMUSP00000034368	1658	1064
10090.ENSMUSP00000109237	1648	4146
10090.ENSMUSP00000080854	1648	1119
10090.ENSMUSP00000028624	1628	2021
10090.ENSMUSP00000100528	1603	577
10090.ENSMUSP00000099541	1603	577
10090.ENSMUSP00000101651	1599	2921
10090.ENSMUSP00000117022	1598	972
10090.ENSMUSP00000016463	1597	1738
10090.ENSMUSP00000131802	1595	1220
10090.ENSMUSP00000090633	1589	24219
10090.ENSMUSP00000046943	1587	1393
10090.ENSMUSP00000087466	1577	1840
10090.ENSMUSP00000022369	1558	3873
10090.ENSMUSP00000062996	1557	2175
10090.ENSMUSP00000124562	1556	601
10090.ENSMUSP00000056916	1555	664
10090.ENSMUSP00000096753	1542	3133
10090.ENSMUSP00000035105	1527	1840
10090.ENSMUSP00000093965	1525	3978
10090.ENSMUSP00000022849	1516	2898
10090.ENSMUSP00000023775	1515	1348
10090.ENSMUSP00000031423	1514	3266
10090.ENSMUSP00000127034	1481	2557
10090.ENSMUSP00000058368	1473	485
10090.ENSMUSP00000031355	1454	3350
10090.ENSMUSP00000109716	1420	6828
10090.ENSMUSP00000099581	1418	1178
10090.ENSMUSP00000023934	1417	1466
10090.ENSMUSP00000095794	1417	1466
10090.ENSMUSP00000005292	1348	635
10090.ENSMUSP00000030538	1343	1283
10090.ENSMUSP00000137631	1336	198
10090.ENSMUSP00000021993	1329	123
10090.ENSMUSP00000101669	1321	1919
10090.ENSMUSP00000034607	1317	1380
10090.ENSMUSP00000075089	1291	4106
10090.ENSMUSP00000125977	1275	229
10090.ENSMUSP00000021282	1270	3707
10090.ENSMUSP00000114304	1242	3861
10090.ENSMUSP00000127330	1239	764
10090.ENSMUSP00000035829	1227	3695
10090.ENSMUSP00000032898	1221	4632
10090.ENSMUSP00000035158	1220	4426
10090.ENSMUSP00000021443	1213	3675
10090.ENSMUSP00000034834	1200	1812
10090.ENSMUSP00000020630	1194	2772
10090.ENSMUSP00000109552	1191	4055
10090.ENSMUSP00000086795	1183	422
10090.ENSMUSP00000008036	1177	243
10090.ENSMUSP00000031931	1167	716
10090.ENSMUSP00000079628	1154	341
10090.ENSMUSP00000099950	1152	2340
10090.ENSMUSP00000103015	1152	3770
10090.ENSMUSP00000061493	1147	3400
10090.ENSMUSP00000119975	1132	304
10090.ENSMUSP00000027144	1121	3782
10090.ENSMUSP00000047665	1121	833
10090.ENSMUSP00000031477	1119	4971
10090.ENSMUSP00000086716	1117	9237
10090.ENSMUSP00000019999	1086	6645
10090.ENSMUSP00000103365	1084	244
10090.ENSMUSP00000012348	1077	730
10090.ENSMUSP00000058919	1074	169
10090.ENSMUSP00000040140	1072	1035
10090.ENSMUSP00000066878	1068	1267
10090.ENSMUSP00000109004	1057	1952
10090.ENSMUSP00000065393	1055	680
10090.ENSMUSP00000001304	1053	931
10090.ENSMUSP00000026328	1053	849
10090.ENSMUSP00000004554	1052	472
10090.ENSMUSP00000098041	1046	4518
10090.ENSMUSP00000126294	1035	267
10090.ENSMUSP00000069004	1025	261
10090.ENSMUSP00000020504	1025	303
10090.ENSMUSP00000044827	1020	4290
10090.ENSMUSP00000030028	1012	941
10090.ENSMUSP00000028517	1009	840
10090.ENSMUSP00000063714	1009	410
10090.ENSMUSP00000087974	1008	707
10090.ENSMUSP00000102147	1008	707
10090.ENSMUSP00000004729	1005	697
10090.ENSMUSP00000099962	1004	1447
10090.ENSMUSP00000034541	1004	1622
10090.ENSMUSP00000079180	996	121
10090.ENSMUSP00000106481	995	1026
10090.ENSMUSP00000087632	989	1442
10090.ENSMUSP00000034441	987	2834
10090.ENSMUSP00000100038	980	1738
10090.ENSMUSP00000093771	979	1073
10090.ENSMUSP00000073175	979	149
10090.ENSMUSP00000026576	974	763
10090.ENSMUSP00000025217	971	1743
