#id: 3814829434
#name: Mus musculus - Spleen, SC (Huttlin,cell,2010)
#score: 16.2
#description: abundance based on Spectral counting, Interaction consistency score: 16.2, Coverage: 28
#organ: SPLEEN
#integrated: false
#coverage: 28
#link: http://www.sciencedirect.com/science/article/pii/S0092867410013796
#publication_year: 2010
#filename: 10090-Mouse_spleen_Huttlin_cell2010.csv.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
5016639	10090.ENSMUSP00000018851	14404	283840
5029290	10090.ENSMUSP00000090897	9649	8984
5029289	10090.ENSMUSP00000090895	9649	8984
5019943	10090.ENSMUSP00000031314	9436	20023
5022976	10090.ENSMUSP00000046101	9092	23804
5019606	10090.ENSMUSP00000030187	8848	78990
5016470	10090.ENSMUSP00000016771	8814	67088
5018045	10090.ENSMUSP00000024739	7845	22869
5020606	10090.ENSMUSP00000033699	7781	83281
5017968	10090.ENSMUSP00000023934	7015	9479
5030061	10090.ENSMUSP00000095794	7015	9479
5030921	10090.ENSMUSP00000099475	6568	46462
5032396	10090.ENSMUSP00000106519	6470	1271
5035041	10090.ENSMUSP00000128278	6306	38584
5022374	10090.ENSMUSP00000042457	5955	6626
5029432	10090.ENSMUSP00000091921	5082	15406
5015702	10090.ENSMUSP00000003912	4979	5348
5018416	10090.ENSMUSP00000025955	4704	12877
5017489	10090.ENSMUSP00000022369	4641	15114
5033503	10090.ENSMUSP00000113071	4523	8889
5016855	10090.ENSMUSP00000020238	4281	11305
5017527	10090.ENSMUSP00000022529	4259	7806
5018551	10090.ENSMUSP00000026459	3922	8134
5016399	10090.ENSMUSP00000015800	3903	9623
5032614	10090.ENSMUSP00000107795	3542	15
5018912	10090.ENSMUSP00000027817	3279	36599
5033860	10090.ENSMUSP00000116271	3136	7968
5018714	10090.ENSMUSP00000027123	2999	5767
5018808	10090.ENSMUSP00000027438	2912	3538
5019597	10090.ENSMUSP00000030164	2908	8894
5015940	10090.ENSMUSP00000006496	2876	843
5034076	10090.ENSMUSP00000119600	2858	4900
5029259	10090.ENSMUSP00000090633	2845	62201
5023231	10090.ENSMUSP00000047571	2805	6014
5026670	10090.ENSMUSP00000071486	2786	11203
5030665	10090.ENSMUSP00000098066	2786	11203
5028964	10090.ENSMUSP00000087756	2751	21866
5020237	10090.ENSMUSP00000032344	2722	1487
5025635	10090.ENSMUSP00000062996	2639	5030
5033979	10090.ENSMUSP00000118179	2563	12855
5028631	10090.ENSMUSP00000084572	2553	11036
5033969	10090.ENSMUSP00000117987	2505	1432
5015827	10090.ENSMUSP00000005292	2502	1570
5029356	10090.ENSMUSP00000091429	2500	57944
5027274	10090.ENSMUSP00000075067	2451	1727
5033346	10090.ENSMUSP00000112259	2438	1449
5019573	10090.ENSMUSP00000030090	2432	2541
5030604	10090.ENSMUSP00000097747	2378	5705
5020912	10090.ENSMUSP00000034590	2319	1512
5019260	10090.ENSMUSP00000029078	2289	2208
5021232	10090.ENSMUSP00000035829	2284	10080
5033716	10090.ENSMUSP00000114159	2280	1393
5032028	10090.ENSMUSP00000104511	2255	4824
5022939	10090.ENSMUSP00000045841	2248	13475
5026693	10090.ENSMUSP00000071616	2242	1285
5020391	10090.ENSMUSP00000032949	2156	1996
5015937	10090.ENSMUSP00000006467	2151	1870
5033597	10090.ENSMUSP00000113571	2128	14788
5029973	10090.ENSMUSP00000095433	2100	41567
5025724	10090.ENSMUSP00000063734	2082	4799
5024098	10090.ENSMUSP00000052872	2077	21048
5018565	10090.ENSMUSP00000026495	2061	3653
5018458	10090.ENSMUSP00000026122	2054	3609
5028072	10090.ENSMUSP00000079991	2050	9516
5026599	10090.ENSMUSP00000070993	2007	2312
5016969	10090.ENSMUSP00000020630	1986	6494
5020408	10090.ENSMUSP00000032998	1983	1700
5020988	10090.ENSMUSP00000034834	1976	4050
5036841	10090.ENSMUSP00000138350	1964	9161
5018405	10090.ENSMUSP00000025918	1961	2769
5017212	10090.ENSMUSP00000021458	1925	19822
5022459	10090.ENSMUSP00000043092	1904	1413
5019139	10090.ENSMUSP00000028683	1880	4008
5015974	10090.ENSMUSP00000006749	1875	6392
5029869	10090.ENSMUSP00000094778	1873	13438
5016582	10090.ENSMUSP00000018437	1860	1425
5027550	10090.ENSMUSP00000076777	1840	13160
5029287	10090.ENSMUSP00000090884	1836	12430
5019462	10090.ENSMUSP00000029722	1826	1464
5017208	10090.ENSMUSP00000021443	1806	6095
5023125	10090.ENSMUSP00000047008	1795	1325
5025164	10090.ENSMUSP00000059717	1776	4610
5021591	10090.ENSMUSP00000037930	1767	11076
5034679	10090.ENSMUSP00000126192	1753	2551
5034839	10090.ENSMUSP00000127034	1745	3588
5027510	10090.ENSMUSP00000076521	1700	4042
5028126	10090.ENSMUSP00000080354	1695	1390
5016972	10090.ENSMUSP00000020640	1680	1870
5020413	10090.ENSMUSP00000033008	1642	1500
5033031	10090.ENSMUSP00000110103	1627	1785
5031780	10090.ENSMUSP00000103267	1616	2345
5016272	10090.ENSMUSP00000013773	1605	14638
5032069	10090.ENSMUSP00000104731	1589	727
5015481	10090.ENSMUSP00000001989	1578	7832
5035186	10090.ENSMUSP00000129124	1570	3878
5021832	10090.ENSMUSP00000039269	1551	3290
5015408	10090.ENSMUSP00000001452	1548	2691
5029779	10090.ENSMUSP00000093955	1548	2680
5023800	10090.ENSMUSP00000051033	1543	11840
5031172	10090.ENSMUSP00000099979	1514	5783
5028222	10090.ENSMUSP00000080854	1499	1292
5025992	10090.ENSMUSP00000065940	1498	768
5018289	10090.ENSMUSP00000025563	1487	1160
5015863	10090.ENSMUSP00000005705	1482	2676
5026389	10090.ENSMUSP00000069432	1469	16231
5021867	10090.ENSMUSP00000039472	1467	2734
5019985	10090.ENSMUSP00000031411	1460	2524
5036001	10090.ENSMUSP00000134169	1457	706
5017828	10090.ENSMUSP00000023486	1449	4060
5034671	10090.ENSMUSP00000126135	1441	3710
5035826	10090.ENSMUSP00000132735	1439	800
5021039	10090.ENSMUSP00000034966	1393	1247
5021310	10090.ENSMUSP00000036288	1380	3396
5018324	10090.ENSMUSP00000025684	1356	2959
5015822	10090.ENSMUSP00000005234	1349	2917
5017844	10090.ENSMUSP00000023531	1329	1413
5017155	10090.ENSMUSP00000021282	1328	5076
5029931	10090.ENSMUSP00000095197	1313	5180
5031150	10090.ENSMUSP00000099930	1304	716
5028239	10090.ENSMUSP00000080994	1304	826
5018181	10090.ENSMUSP00000025217	1297	3323
5021094	10090.ENSMUSP00000035158	1294	6827
5029785	10090.ENSMUSP00000093965	1286	4720
5020494	10090.ENSMUSP00000033283	1282	4080
5036677	10090.ENSMUSP00000137503	1278	1977
5025080	10090.ENSMUSP00000059192	1266	4072
5022771	10090.ENSMUSP00000044903	1265	6514
5018383	10090.ENSMUSP00000025851	1257	3315
5032637	10090.ENSMUSP00000107927	1247	7438
5016053	10090.ENSMUSP00000007814	1247	2415
5024498	10090.ENSMUSP00000055455	1246	2092
5034992	10090.ENSMUSP00000127941	1242	5266
5026292	10090.ENSMUSP00000068594	1241	4784
5031140	10090.ENSMUSP00000099902	1241	11529
5028425	10090.ENSMUSP00000082682	1237	741
5015302	10090.ENSMUSP00000000505	1234	3365
5021433	10090.ENSMUSP00000037018	1233	2367
5027589	10090.ENSMUSP00000077040	1231	18667
5034171	10090.ENSMUSP00000120976	1217	3093
5035714	10090.ENSMUSP00000132082	1216	5544
5018627	10090.ENSMUSP00000026704	1193	2841
5035107	10090.ENSMUSP00000128696	1190	2425
5019306	10090.ENSMUSP00000029266	1189	1386
5019779	10090.ENSMUSP00000030805	1182	887
5018596	10090.ENSMUSP00000026576	1181	1283
5018539	10090.ENSMUSP00000026427	1180	5195
5017651	10090.ENSMUSP00000022894	1178	1254
5015656	10090.ENSMUSP00000003521	1168	338
5020806	10090.ENSMUSP00000034285	1165	582
5024401	10090.ENSMUSP00000054863	1161	1536
5028698	10090.ENSMUSP00000085244	1160	5526
5017724	10090.ENSMUSP00000023116	1147	3238
5018172	10090.ENSMUSP00000025196	1146	1320
5020157	10090.ENSMUSP00000032078	1136	2044
5032875	10090.ENSMUSP00000109230	1136	951
5030617	10090.ENSMUSP00000097797	1134	10985
5015876	10090.ENSMUSP00000005826	1132	1335
5018313	10090.ENSMUSP00000025649	1121	4028
5029039	10090.ENSMUSP00000088365	1118	888
5016971	10090.ENSMUSP00000020637	1109	2241
5017791	10090.ENSMUSP00000023353	1108	3616
5034392	10090.ENSMUSP00000124093	1098	4827
5021581	10090.ENSMUSP00000037858	1096	3692
5018856	10090.ENSMUSP00000027601	1087	3657
5023289	10090.ENSMUSP00000047872	1081	4630
5034115	10090.ENSMUSP00000120115	1078	2384
5019763	10090.ENSMUSP00000030769	1070	1680
5020372	10090.ENSMUSP00000032898	1069	5353
5032437	10090.ENSMUSP00000106861	1065	1092
5033913	10090.ENSMUSP00000117068	1064	14518
5015803	10090.ENSMUSP00000005017	1060	628
5016454	10090.ENSMUSP00000016463	1054	1615
5020287	10090.ENSMUSP00000032508	1052	1877
5015411	10090.ENSMUSP00000001460	1051	3109
5028013	10090.ENSMUSP00000079628	1047	416
5015650	10090.ENSMUSP00000003461	1046	3947
5024944	10090.ENSMUSP00000058368	1044	508
5028735	10090.ENSMUSP00000085580	1043	10090
5028644	10090.ENSMUSP00000084713	1043	10090
5033326	10090.ENSMUSP00000112081	1039	2414
5019025	10090.ENSMUSP00000028239	1038	2196
5017427	10090.ENSMUSP00000022163	1037	644
5019335	10090.ENSMUSP00000029382	1030	1057
5028081	10090.ENSMUSP00000080058	1029	2411
5023951	10090.ENSMUSP00000052020	1021	12295
5028269	10090.ENSMUSP00000081142	1018	812
5015310	10090.ENSMUSP00000000590	1018	3328
5028036	10090.ENSMUSP00000079727	1018	3674
5027346	10090.ENSMUSP00000075513	1018	3674
5015428	10090.ENSMUSP00000001566	1012	7493
5027151	10090.ENSMUSP00000074392	1008	3515
5033817	10090.ENSMUSP00000115723	1003	595
5015667	10090.ENSMUSP00000003575	999	629
5031090	10090.ENSMUSP00000099807	997	1853
5030666	10090.ENSMUSP00000098076	993	2722
5024346	10090.ENSMUSP00000054490	990	209
5016500	10090.ENSMUSP00000017365	987	2035
5021032	10090.ENSMUSP00000034947	977	733
