#id: 2383348395
#name: M.musculus - Saliva, SC (Gundry,proteomics,2010)
#score: 11.1
#weight: 100%
#description: abundance based on Spectral counting, Interaction consistency score: 11.1, Coverage: 7
#organ: SALIVA
#integrated: false
#coverage: 7
#link: http://www.ncbi.nlm.nih.gov/pubmed/20512790
#publication_year: 2010
#filename: 10090-Mus_musculus_SC_biomart_11364_E__2reps.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
5026918	10090.ENSMUSP00000072858	39267	13281
5023860	10090.ENSMUSP00000051432	35869	13828
5022374	10090.ENSMUSP00000042457	21579	2945
5022151	10090.ENSMUSP00000041149	20072	1002
5016064	10090.ENSMUSP00000008036	19101	1128
5033187	10090.ENSMUSP00000110886	13985	14
5035315	10090.ENSMUSP00000129695	11036	993
5016399	10090.ENSMUSP00000015800	8270	2747
5028293	10090.ENSMUSP00000081474	7877	580
5015813	10090.ENSMUSP00000005077	7767	834
5030904	10090.ENSMUSP00000099435	7669	390
5034438	10090.ENSMUSP00000124509	7474	278
5031582	10090.ENSMUSP00000102062	7474	278
5029122	10090.ENSMUSP00000089300	7458	11743
5031271	10090.ENSMUSP00000100581	7458	11743
5027709	10090.ENSMUSP00000077814	7458	11743
5029029	10090.ENSMUSP00000088288	7458	11743
5031200	10090.ENSMUSP00000100034	7288	11715
5029027	10090.ENSMUSP00000088285	7288	11715
5029140	10090.ENSMUSP00000089345	7288	11715
5028086	10090.ENSMUSP00000080088	7288	11715
5032011	10090.ENSMUSP00000104445	7288	11715
5027109	10090.ENSMUSP00000074142	7288	11715
5029136	10090.ENSMUSP00000089335	7288	11715
5027141	10090.ENSMUSP00000074310	7288	11715
5029137	10090.ENSMUSP00000089336	7288	11715
5029138	10090.ENSMUSP00000089339	7288	11715
5034949	10090.ENSMUSP00000127684	7288	11715
5029026	10090.ENSMUSP00000088281	7288	11715
5026942	10090.ENSMUSP00000072989	7288	11715
5027654	10090.ENSMUSP00000077477	7288	11715
5026812	10090.ENSMUSP00000072227	7232	11701
5031793	10090.ENSMUSP00000103365	6585	236
5020988	10090.ENSMUSP00000034834	6495	1565
5016512	10090.ENSMUSP00000017548	6213	160
5031918	10090.ENSMUSP00000103940	6044	254
5021039	10090.ENSMUSP00000034966	5693	844
5016582	10090.ENSMUSP00000018437	5229	463
5025479	10090.ENSMUSP00000062030	5217	216
5036727	10090.ENSMUSP00000137631	5049	165
5015553	10090.ENSMUSP00000002551	4910	165
5015940	10090.ENSMUSP00000006496	4811	253
5016972	10090.ENSMUSP00000020640	4788	591
5027274	10090.ENSMUSP00000075067	4580	960
5026693	10090.ENSMUSP00000071616	4505	350
5033716	10090.ENSMUSP00000114159	4476	408
5031201	10090.ENSMUSP00000100036	4345	2022
5031196	10090.ENSMUSP00000100029	4345	2022
5035362	10090.ENSMUSP00000129930	4345	2022
5036294	10090.ENSMUSP00000136357	4345	2022
5031197	10090.ENSMUSP00000100030	4345	2022
5028673	10090.ENSMUSP00000085006	4345	2022
