#id: 3775274673
#name: M.musculus - Olfactory bulb,  protein intensity (Geiger,mcp,2013)
#score: 10.2
#weight: 100%
#description: abundance based on MAPPED_BY_AUTHORS,  Protein_Intensity, Interaction consistency score: 10.2, Coverage: 34
#organ: OLFACTORY_BULB
#integrated: false
#coverage: 34
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M112.024919
#publication_year: 2013
#filename: 10090-Olfactory_bulb_geiger_2013.txt
#
#internal_id	string_external_id	abundance
5030617	10090.ENSMUSP00000097797	14984
5016399	10090.ENSMUSP00000015800	13877
5022991	10090.ENSMUSP00000046185	12138
5028036	10090.ENSMUSP00000079727	11110
5030921	10090.ENSMUSP00000099475	9568
5029101	10090.ENSMUSP00000089051	9568
5035514	10090.ENSMUSP00000130858	9212
5036365	10090.ENSMUSP00000136544	9093
5020988	10090.ENSMUSP00000034834	8342
5036483	10090.ENSMUSP00000136922	8184
5022360	10090.ENSMUSP00000042342	8184
5031153	10090.ENSMUSP00000099938	8105
5029066	10090.ENSMUSP00000088618	8088
5020242	10090.ENSMUSP00000032373	7789
5029432	10090.ENSMUSP00000091921	7472
5030865	10090.ENSMUSP00000099364	7275
5020742	10090.ENSMUSP00000034097	7275
5016701	10090.ENSMUSP00000019323	7196
5017724	10090.ENSMUSP00000023116	6721
5015396	10090.ENSMUSP00000001304	6642
5031147	10090.ENSMUSP00000099922	6524
5032975	10090.ENSMUSP00000109795	6168
5017651	10090.ENSMUSP00000022894	5258
5033346	10090.ENSMUSP00000112259	5219
5031095	10090.ENSMUSP00000099819	4863
5020466	10090.ENSMUSP00000033176	4823
5019615	10090.ENSMUSP00000030212	4665
5031780	10090.ENSMUSP00000103267	4626
5033969	10090.ENSMUSP00000117987	4606
5029850	10090.ENSMUSP00000094334	4606
5025240	10090.ENSMUSP00000060246	4586
5018551	10090.ENSMUSP00000026459	4428
5033211	10090.ENSMUSP00000111002	4389
5017570	10090.ENSMUSP00000022629	4349
5023829	10090.ENSMUSP00000051223	4349
5026617	10090.ENSMUSP00000071135	4349
5022374	10090.ENSMUSP00000042457	4270
5018565	10090.ENSMUSP00000026495	4270
5030890	10090.ENSMUSP00000099409	4230
5029290	10090.ENSMUSP00000090897	4151
5029289	10090.ENSMUSP00000090895	4151
5016641	10090.ENSMUSP00000018875	4112
5018714	10090.ENSMUSP00000027123	4033
5016007	10090.ENSMUSP00000007012	3993
5028507	10090.ENSMUSP00000083375	3993
5034981	10090.ENSMUSP00000127885	3835
5023545	10090.ENSMUSP00000049355	3835
5016227	10090.ENSMUSP00000011895	3659
5027522	10090.ENSMUSP00000076577	3641
5031140	10090.ENSMUSP00000099902	3637
5025635	10090.ENSMUSP00000062996	3606
5016134	10090.ENSMUSP00000009538	3448
5017475	10090.ENSMUSP00000022322	3440
5019139	10090.ENSMUSP00000028683	3424
5030641	10090.ENSMUSP00000097919	3408
5031159	10090.ENSMUSP00000099952	3341
5023392	10090.ENSMUSP00000048425	3293
5030061	10090.ENSMUSP00000095794	3260
5019943	10090.ENSMUSP00000031314	3258
5017968	10090.ENSMUSP00000023934	3242
5018398	10090.ENSMUSP00000025904	3238
5031143	10090.ENSMUSP00000099909	3226
5018481	10090.ENSMUSP00000026196	3218
5019260	10090.ENSMUSP00000029078	3151
5030422	10090.ENSMUSP00000097282	3025
5018045	10090.ENSMUSP00000024739	3021
5017574	10090.ENSMUSP00000022639	2973
5027918	10090.ENSMUSP00000079022	2939
5028656	10090.ENSMUSP00000084846	2939
5027690	10090.ENSMUSP00000077687	2939
5033670	10090.ENSMUSP00000113942	2936
5029572	10090.ENSMUSP00000092698	2936
5016228	10090.ENSMUSP00000011896	2922
