#id: 2778588166
#name: Mus musculus - Pancreas (Integrated)
#score: 20.9
#coverage: 38
#description: integrated dataset: weighted average of all Mus musculus PANCREAS: 20.9, Coverage: 38
#organ: PANCREAS
#integrated: true
#weights: Mouse_pancreas_Huttlin_cell2010.csv:0.866;Pancreas_geiger_2013:0.087;mouse_pancreas_F.Waanders2009_PNAs_combine:0.048;
#publication_year: 2023
#filename: 10090-PANCREAS-integrated.txt
#
#string_external_id	abundance
10090.ENSMUSP00000127903	16076
10090.ENSMUSP00000026122	15615
10090.ENSMUSP00000046101	15299
10090.ENSMUSP00000035584	13696
10090.ENSMUSP00000031314	12410
10090.ENSMUSP00000097747	11715
10090.ENSMUSP00000034435	10612
10090.ENSMUSP00000020238	9471
10090.ENSMUSP00000042457	9439
10090.ENSMUSP00000001460	8118
10090.ENSMUSP00000016072	7635
10090.ENSMUSP00000028161	7203
10090.ENSMUSP00000118179	7178
10090.ENSMUSP00000025955	6842
10090.ENSMUSP00000016771	6811
10090.ENSMUSP00000068594	6724
10090.ENSMUSP00000106519	6655
10090.ENSMUSP00000052872	6247
10090.ENSMUSP00000045465	6041
10090.ENSMUSP00000011607	5686
10090.ENSMUSP00000069432	5641
10090.ENSMUSP00000018851	5554
10090.ENSMUSP00000006496	5515
10090.ENSMUSP00000013773	5473
10090.ENSMUSP00000045841	5301
10090.ENSMUSP00000081556	5268
10090.ENSMUSP00000099435	5258
10090.ENSMUSP00000026459	5154
10090.ENSMUSP00000003912	5060
10090.ENSMUSP00000099539	4910
10090.ENSMUSP00000076521	4872
10090.ENSMUSP00000034947	4648
10090.ENSMUSP00000099475	4610
10090.ENSMUSP00000031806	4336
10090.ENSMUSP00000096264	4302
10090.ENSMUSP00000137025	4255
10090.ENSMUSP00000032998	4070
10090.ENSMUSP00000034966	3889
10090.ENSMUSP00000004072	3699
10090.ENSMUSP00000080354	3660
10090.ENSMUSP00000084572	3651
10090.ENSMUSP00000047008	3624
10090.ENSMUSP00000037930	3611
10090.ENSMUSP00000047678	3447
10090.ENSMUSP00000093955	3400
10090.ENSMUSP00000023775	3338
10090.ENSMUSP00000095197	3330
10090.ENSMUSP00000052020	3292
10090.ENSMUSP00000030187	3289
10090.ENSMUSP00000028683	3218
10090.ENSMUSP00000024739	3170
10090.ENSMUSP00000071616	3105
10090.ENSMUSP00000054490	3078
10090.ENSMUSP00000092157	3064
10090.ENSMUSP00000132082	3057
10090.ENSMUSP00000128278	3054
10090.ENSMUSP00000112081	3041
10090.ENSMUSP00000006544	3017
10090.ENSMUSP00000023952	3013
10090.ENSMUSP00000020640	2977
10090.ENSMUSP00000081474	2974
10090.ENSMUSP00000056377	2903
10090.ENSMUSP00000021605	2885
10090.ENSMUSP00000030164	2814
10090.ENSMUSP00000096270	2781
10090.ENSMUSP00000026495	2779
10090.ENSMUSP00000136894	2733
10090.ENSMUSP00000038781	2632
10090.ENSMUSP00000022529	2605
10090.ENSMUSP00000033699	2572
10090.ENSMUSP00000027123	2552
10090.ENSMUSP00000032143	2495
10090.ENSMUSP00000021217	2454
10090.ENSMUSP00000052912	2393
10090.ENSMUSP00000027252	2368
10090.ENSMUSP00000003445	2363
10090.ENSMUSP00000120528	2328
10090.ENSMUSP00000114159	2326
10090.ENSMUSP00000061851	2309
10090.ENSMUSP00000127198	2309
10090.ENSMUSP00000136673	2304
10090.ENSMUSP00000103940	2274
10090.ENSMUSP00000031931	2274
10090.ENSMUSP00000046943	2273
10090.ENSMUSP00000104067	2239
10090.ENSMUSP00000035033	2207
10090.ENSMUSP00000031766	2191
10090.ENSMUSP00000023934	2185
10090.ENSMUSP00000095794	2185
10090.ENSMUSP00000033012	2174
10090.ENSMUSP00000118962	2132
10090.ENSMUSP00000063825	2102
10090.ENSMUSP00000001989	2071
10090.ENSMUSP00000091921	1942
10090.ENSMUSP00000080854	1941
10090.ENSMUSP00000033683	1932
10090.ENSMUSP00000075690	1927
10090.ENSMUSP00000132590	1922
10090.ENSMUSP00000097797	1917
10090.ENSMUSP00000103007	1901
10090.ENSMUSP00000064755	1893
10090.ENSMUSP00000067685	1865
10090.ENSMUSP00000003521	1853
10090.ENSMUSP00000027438	1838
10090.ENSMUSP00000117987	1832
10090.ENSMUSP00000015800	1831
10090.ENSMUSP00000022734	1825
10090.ENSMUSP00000101651	1821
10090.ENSMUSP00000023116	1815
10090.ENSMUSP00000104511	1802
10090.ENSMUSP00000110731	1769
10090.ENSMUSP00000124562	1745
10090.ENSMUSP00000102213	1744
10090.ENSMUSP00000031617	1744
10090.ENSMUSP00000028624	1720
10090.ENSMUSP00000020497	1708
10090.ENSMUSP00000070993	1694
10090.ENSMUSP00000090895	1691
10090.ENSMUSP00000090897	1691
10090.ENSMUSP00000025483	1687
10090.ENSMUSP00000029722	1685
10090.ENSMUSP00000099902	1679
10090.ENSMUSP00000115722	1644
10090.ENSMUSP00000117022	1630
10090.ENSMUSP00000065393	1623
10090.ENSMUSP00000054556	1612
10090.ENSMUSP00000078654	1608
10090.ENSMUSP00000037583	1605
10090.ENSMUSP00000103012	1591
10090.ENSMUSP00000056916	1578
10090.ENSMUSP00000017548	1575
10090.ENSMUSP00000133372	1567
10090.ENSMUSP00000035823	1561
10090.ENSMUSP00000093771	1548
10090.ENSMUSP00000099541	1531
10090.ENSMUSP00000100528	1531
10090.ENSMUSP00000081880	1514
10090.ENSMUSP00000090633	1507
10090.ENSMUSP00000023803	1506
10090.ENSMUSP00000087466	1495
10090.ENSMUSP00000109237	1454
10090.ENSMUSP00000035105	1452
10090.ENSMUSP00000016463	1452
10090.ENSMUSP00000022849	1450
10090.ENSMUSP00000034368	1439
10090.ENSMUSP00000127034	1432
10090.ENSMUSP00000062996	1417
10090.ENSMUSP00000131802	1394
10090.ENSMUSP00000022369	1373
10090.ENSMUSP00000086795	1371
10090.ENSMUSP00000101669	1350
10090.ENSMUSP00000096753	1347
10090.ENSMUSP00000034834	1340
10090.ENSMUSP00000025511	1336
10090.ENSMUSP00000093965	1336
10090.ENSMUSP00000031423	1319
10090.ENSMUSP00000099581	1318
10090.ENSMUSP00000137631	1304
10090.ENSMUSP00000079025	1304
10090.ENSMUSP00000079628	1293
10090.ENSMUSP00000031355	1282
10090.ENSMUSP00000047665	1281
10090.ENSMUSP00000058368	1278
10090.ENSMUSP00000125977	1272
10090.ENSMUSP00000021993	1266
10090.ENSMUSP00000078847	1257
10090.ENSMUSP00000109716	1236
10090.ENSMUSP00000034607	1232
10090.ENSMUSP00000005292	1216
10090.ENSMUSP00000008036	1214
10090.ENSMUSP00000030538	1195
10090.ENSMUSP00000074724	1183
10090.ENSMUSP00000021443	1181
10090.ENSMUSP00000073175	1175
10090.ENSMUSP00000073880	1166
10090.ENSMUSP00000040140	1150
10090.ENSMUSP00000031913	1146
10090.ENSMUSP00000100516	1143
10090.ENSMUSP00000025217	1138
10090.ENSMUSP00000019323	1138
10090.ENSMUSP00000114304	1126
10090.ENSMUSP00000075089	1121
10090.ENSMUSP00000033098	1113
10090.ENSMUSP00000020630	1108
10090.ENSMUSP00000127330	1105
10090.ENSMUSP00000021282	1103
10090.ENSMUSP00000069004	1098
10090.ENSMUSP00000012348	1097
10090.ENSMUSP00000032343	1093
10090.ENSMUSP00000035158	1092
10090.ENSMUSP00000026576	1073
10090.ENSMUSP00000035829	1068
10090.ENSMUSP00000032898	1067
10090.ENSMUSP00000079180	1059
10090.ENSMUSP00000033176	1058
10090.ENSMUSP00000119975	1051
10090.ENSMUSP00000103015	1044
10090.ENSMUSP00000109552	1037
10090.ENSMUSP00000058919	1030
10090.ENSMUSP00000082288	1027
10090.ENSMUSP00000020504	1021
10090.ENSMUSP00000099950	1015
10090.ENSMUSP00000034547	1011
10090.ENSMUSP00000027144	1006
10090.ENSMUSP00000116492	1005
10090.ENSMUSP00000061493	1005
10090.ENSMUSP00000004729	1002
10090.ENSMUSP00000066878	989
10090.ENSMUSP00000034541	974
10090.ENSMUSP00000031477	974
10090.ENSMUSP00000063714	972
10090.ENSMUSP00000106481	971
10090.ENSMUSP00000030028	971
10090.ENSMUSP00000086716	969
10090.ENSMUSP00000048469	960
10090.ENSMUSP00000019999	950
10090.ENSMUSP00000103365	947
10090.ENSMUSP00000029266	942
10090.ENSMUSP00000126294	937
10090.ENSMUSP00000028517	931
10090.ENSMUSP00000126828	930
10090.ENSMUSP00000026328	929
10090.ENSMUSP00000004554	927
10090.ENSMUSP00000098041	926
10090.ENSMUSP00000087974	921
10090.ENSMUSP00000102147	921
10090.ENSMUSP00000001304	919
10090.ENSMUSP00000109004	917
10090.ENSMUSP00000109399	907
10090.ENSMUSP00000034441	902
10090.ENSMUSP00000099461	901
10090.ENSMUSP00000022062	898
10090.ENSMUSP00000034049	890
10090.ENSMUSP00000033121	886
10090.ENSMUSP00000044827	885
10090.ENSMUSP00000000349	884
10090.ENSMUSP00000127859	882
10090.ENSMUSP00000005057	882
10090.ENSMUSP00000136544	879
10090.ENSMUSP00000080302	879
10090.ENSMUSP00000054863	874
10090.ENSMUSP00000099962	872
10090.ENSMUSP00000020637	871
10090.ENSMUSP00000099878	870
10090.ENSMUSP00000038763	867
10090.ENSMUSP00000100038	865
10090.ENSMUSP00000058432	864
10090.ENSMUSP00000087632	859
10090.ENSMUSP00000034097	854
10090.ENSMUSP00000018437	851
10090.ENSMUSP00000034276	847
10090.ENSMUSP00000025337	842
10090.ENSMUSP00000109230	840
10090.ENSMUSP00000098648	838
10090.ENSMUSP00000066839	836
10090.ENSMUSP00000030018	836
10090.ENSMUSP00000037446	828
10090.ENSMUSP00000109235	825
10090.ENSMUSP00000098076	817
10090.ENSMUSP00000086411	815
10090.ENSMUSP00000118478	812
10090.ENSMUSP00000131489	809
10090.ENSMUSP00000099909	805
10090.ENSMUSP00000020315	804
10090.ENSMUSP00000026425	798
10090.ENSMUSP00000021133	797
10090.ENSMUSP00000118787	787
10090.ENSMUSP00000110532	782
10090.ENSMUSP00000047571	782
10090.ENSMUSP00000045239	779
10090.ENSMUSP00000083928	773
10090.ENSMUSP00000029476	772
10090.ENSMUSP00000124625	770
10090.ENSMUSP00000021239	766
10090.ENSMUSP00000080994	763
10090.ENSMUSP00000115822	762
10090.ENSMUSP00000018992	758
10090.ENSMUSP00000099685	751
10090.ENSMUSP00000022322	751
10090.ENSMUSP00000120976	744
10090.ENSMUSP00000023453	744
10090.ENSMUSP00000127808	744
10090.ENSMUSP00000071214	739
10090.ENSMUSP00000006838	738
10090.ENSMUSP00000106014	737
10090.ENSMUSP00000022894	729
10090.ENSMUSP00000075067	728
10090.ENSMUSP00000029041	727
10090.ENSMUSP00000025542	726
10090.ENSMUSP00000023269	725
10090.ENSMUSP00000020420	720
10090.ENSMUSP00000071864	719
10090.ENSMUSP00000001566	718
10090.ENSMUSP00000030805	717
10090.ENSMUSP00000085244	717
10090.ENSMUSP00000020286	716
10090.ENSMUSP00000101002	710
10090.ENSMUSP00000030051	710
10090.ENSMUSP00000029663	709
10090.ENSMUSP00000025649	706
10090.ENSMUSP00000032228	704
10090.ENSMUSP00000023677	704
10090.ENSMUSP00000064801	702
10090.ENSMUSP00000003572	697
10090.ENSMUSP00000038839	695
10090.ENSMUSP00000015950	694
10090.ENSMUSP00000106180	693
10090.ENSMUSP00000051033	692
10090.ENSMUSP00000083705	691
10090.ENSMUSP00000043111	689
10090.ENSMUSP00000099938	681
10090.ENSMUSP00000079379	679
10090.ENSMUSP00000030642	679
10090.ENSMUSP00000045955	678
10090.ENSMUSP00000039269	677
10090.ENSMUSP00000034756	677
10090.ENSMUSP00000087110	676
10090.ENSMUSP00000079163	675
10090.ENSMUSP00000130678	675
10090.ENSMUSP00000027602	673
10090.ENSMUSP00000095316	673
10090.ENSMUSP00000090305	671
