#id: 1503101378
#name: M.musculus - Platelet (Integrated)
#score: 15.1
#description: integrated dataset: weighted average of all M.musculus PLATELET, Interaction consistency score: 15.1, Coverage: 18
#organ: PLATELET
#integrated: true
#coverage: 18
#publication_year: 2022
#filename: 10090-PLATELET-integrated.txt
#
#internal_id	string_external_id	abundance
5030665	10090.ENSMUSP00000098066	25892
5031947	10090.ENSMUSP00000104091	21701
5019947	10090.ENSMUSP00000031320	17883
5017968	10090.ENSMUSP00000023934	14339
5033969	10090.ENSMUSP00000117987	13897
5029290	10090.ENSMUSP00000090897	13505
5015667	10090.ENSMUSP00000003575	10684
5021433	10090.ENSMUSP00000037018	9370
5017651	10090.ENSMUSP00000022894	9204
5016582	10090.ENSMUSP00000018437	8886
5019606	10090.ENSMUSP00000030187	8808
5016470	10090.ENSMUSP00000016771	8777
5037175	10090.ENSMUSP00000140657	8665
5033346	10090.ENSMUSP00000112259	8490
5016399	10090.ENSMUSP00000015800	8256
5021867	10090.ENSMUSP00000039472	7825
5026023	10090.ENSMUSP00000066238	7711
5016449	10090.ENSMUSP00000016399	6811
5020988	10090.ENSMUSP00000034834	6448
5031780	10090.ENSMUSP00000103267	6379
5022360	10090.ENSMUSP00000042342	6278
5028766	10090.ENSMUSP00000085913	6266
5019025	10090.ENSMUSP00000028239	6217
5031542	10090.ENSMUSP00000101862	5790
5022771	10090.ENSMUSP00000044903	5679
5035888	10090.ENSMUSP00000133117	5672
5021032	10090.ENSMUSP00000034947	5662
5032437	10090.ENSMUSP00000106861	5641
5017489	10090.ENSMUSP00000022369	5572
5020606	10090.ENSMUSP00000033699	5490
5015822	10090.ENSMUSP00000005234	5444
5033670	10090.ENSMUSP00000113942	5303
5032085	10090.ENSMUSP00000104825	5280
5021581	10090.ENSMUSP00000037858	5222
5032894	10090.ENSMUSP00000109337	5058
5019946	10090.ENSMUSP00000031319	4874
5028036	10090.ENSMUSP00000079727	4599
5031156	10090.ENSMUSP00000099945	4546
5028656	10090.ENSMUSP00000084846	4437
5025090	10090.ENSMUSP00000059270	4356
5030604	10090.ENSMUSP00000097747	4310
5018064	10090.ENSMUSP00000024792	4278
5020470	10090.ENSMUSP00000033182	4181
5022374	10090.ENSMUSP00000042457	4093
5019985	10090.ENSMUSP00000031411	4076
5027378	10090.ENSMUSP00000075690	4037
5020911	10090.ENSMUSP00000034588	3812
5015780	10090.ENSMUSP00000004784	3795
5015702	10090.ENSMUSP00000003912	3741
5020283	10090.ENSMUSP00000032492	3734
5017240	10090.ENSMUSP00000021554	3674
5027979	10090.ENSMUSP00000079380	3639
5017077	10090.ENSMUSP00000021028	3494
5026670	10090.ENSMUSP00000071486	3452
5016854	10090.ENSMUSP00000020234	3432
5030913	10090.ENSMUSP00000099461	3319
5033139	10090.ENSMUSP00000110673	3293
5034755	10090.ENSMUSP00000126622	3264
5018873	10090.ENSMUSP00000027677	3225
5016674	10090.ENSMUSP00000019109	3219
5025721	10090.ENSMUSP00000063714	3067
5030871	10090.ENSMUSP00000099375	3062
5020391	10090.ENSMUSP00000032949	2971
5017707	10090.ENSMUSP00000023072	2910
5019139	10090.ENSMUSP00000028683	2901
5026007	10090.ENSMUSP00000066068	2894
5030948	10090.ENSMUSP00000099534	2890
