#id: 3223737855
#name: Mus musculus - B cell, iBAQ (Gomez-cabreroetal,scidata2019)
#score: 10.0
#description: abundance based on iBAQ, Interaction consistency score: 10.0, Coverage: 8
#organ: B_CELL
#integrated: false
#coverage: 8
#link: http://www.ncbi.nlm.nih.gov/pubmed/31672995
#publication_year: 2019
#filename: 10090-PXD003263_Gomez-Cabrero_Sci_Data_2019_mouse_pre_BI_STATegra.txt
#
#string_external_id	abundance
10090.ENSMUSP00000085006	53910
10090.ENSMUSP00000015800	28897
10090.ENSMUSP00000042457	24793
10090.ENSMUSP00000002790	22869
10090.ENSMUSP00000075513	17262
10090.ENSMUSP00000079356	16329
10090.ENSMUSP00000062030	11418
10090.ENSMUSP00000027123	11412
10090.ENSMUSP00000075067	10327
10090.ENSMUSP00000024739	10137
10090.ENSMUSP00000046101	10039
10090.ENSMUSP00000027438	9795
10090.ENSMUSP00000113942	9599
10090.ENSMUSP00000026459	9284
10090.ENSMUSP00000034834	7949
10090.ENSMUSP00000052086	7116
10090.ENSMUSP00000022529	7060
10090.ENSMUSP00000084846	6883
10090.ENSMUSP00000047571	6510
10090.ENSMUSP00000091921	6507
10090.ENSMUSP00000026495	6400
10090.ENSMUSP00000039269	6172
10090.ENSMUSP00000083705	5837
10090.ENSMUSP00000097747	5704
10090.ENSMUSP00000107595	5659
10090.ENSMUSP00000057308	5537
10090.ENSMUSP00000110103	5351
10090.ENSMUSP00000120528	5280
10090.ENSMUSP00000034966	5197
10090.ENSMUSP00000028683	4913
10090.ENSMUSP00000112259	4864
10090.ENSMUSP00000071616	4860
10090.ENSMUSP00000032998	4612
10090.ENSMUSP00000029722	4514
10090.ENSMUSP00000025486	4263
10090.ENSMUSP00000103903	4253
10090.ENSMUSP00000114159	4242
10090.ENSMUSP00000035105	4227
10090.ENSMUSP00000016771	4212
10090.ENSMUSP00000004072	4172
10090.ENSMUSP00000025511	4160
10090.ENSMUSP00000117987	4129
10090.ENSMUSP00000001566	4126
10090.ENSMUSP00000103365	4046
10090.ENSMUSP00000099962	4027
10090.ENSMUSP00000080302	3968
10090.ENSMUSP00000031617	3921
10090.ENSMUSP00000086795	3905
10090.ENSMUSP00000044827	3853
10090.ENSMUSP00000080854	3826
10090.ENSMUSP00000043926	3758
10090.ENSMUSP00000131489	3721
10090.ENSMUSP00000103267	3712
10090.ENSMUSP00000044188	3696
10090.ENSMUSP00000028612	3684
10090.ENSMUSP00000092502	3676
10090.ENSMUSP00000022894	3665
10090.ENSMUSP00000019323	3585
10090.ENSMUSP00000071163	3580
10090.ENSMUSP00000076777	3488
10090.ENSMUSP00000042691	3411
10090.ENSMUSP00000082682	3361
10090.ENSMUSP00000033683	3337
10090.ENSMUSP00000120115	3315
10090.ENSMUSP00000030623	3201
10090.ENSMUSP00000025217	3200
10090.ENSMUSP00000045816	3174
10090.ENSMUSP00000130023	3138
10090.ENSMUSP00000026425	3123
10090.ENSMUSP00000020238	3104
10090.ENSMUSP00000008812	3075
10090.ENSMUSP00000070993	3053
10090.ENSMUSP00000099930	3035
10090.ENSMUSP00000099435	3023
10090.ENSMUSP00000048469	3021
10090.ENSMUSP00000003521	3007
10090.ENSMUSP00000047008	2985
10090.ENSMUSP00000109399	2947
10090.ENSMUSP00000017548	2931
10090.ENSMUSP00000099541	2841
10090.ENSMUSP00000099878	2809
10090.ENSMUSP00000080354	2803
10090.ENSMUSP00000065940	2717
10090.ENSMUSP00000099757	2672
10090.ENSMUSP00000079672	2635
10090.ENSMUSP00000079180	2622
10090.ENSMUSP00000127034	2597
10090.ENSMUSP00000000756	2575
10090.ENSMUSP00000030164	2573
10090.ENSMUSP00000020637	2570
10090.ENSMUSP00000008826	2552
10090.ENSMUSP00000068896	2532
10090.ENSMUSP00000064755	2477
10090.ENSMUSP00000026420	2449
10090.ENSMUSP00000073581	2446
10090.ENSMUSP00000005003	2432
10090.ENSMUSP00000031383	2424
10090.ENSMUSP00000006496	2424
10090.ENSMUSP00000081474	2415
10090.ENSMUSP00000116108	2400
10090.ENSMUSP00000026704	2389
10090.ENSMUSP00000023486	2341
10090.ENSMUSP00000016081	2315
10090.ENSMUSP00000028817	2308
10090.ENSMUSP00000031402	2273
10090.ENSMUSP00000016463	2263
10090.ENSMUSP00000032597	2229
10090.ENSMUSP00000032949	2223
10090.ENSMUSP00000080523	2185
10090.ENSMUSP00000038135	2130
10090.ENSMUSP00000025918	2128
10090.ENSMUSP00000044395	2099
10090.ENSMUSP00000054863	2094
10090.ENSMUSP00000137631	2080
10090.ENSMUSP00000022293	2079
10090.ENSMUSP00000022062	1978
10090.ENSMUSP00000001452	1960
10090.ENSMUSP00000103940	1958
10090.ENSMUSP00000032078	1943
10090.ENSMUSP00000036288	1939
10090.ENSMUSP00000001989	1919
10090.ENSMUSP00000080994	1862
10090.ENSMUSP00000099819	1833
10090.ENSMUSP00000061851	1832
10090.ENSMUSP00000004375	1827
10090.ENSMUSP00000140250	1826
10090.ENSMUSP00000101006	1825
10090.ENSMUSP00000084572	1815
10090.ENSMUSP00000076607	1755
10090.ENSMUSP00000036384	1749
10090.ENSMUSP00000075987	1745
10090.ENSMUSP00000058368	1735
10090.ENSMUSP00000033176	1721
10090.ENSMUSP00000115722	1703
10090.ENSMUSP00000101858	1696
10090.ENSMUSP00000119603	1683
10090.ENSMUSP00000084807	1638
10090.ENSMUSP00000019514	1628
10090.ENSMUSP00000044361	1626
10090.ENSMUSP00000021062	1623
10090.ENSMUSP00000087110	1623
10090.ENSMUSP00000004202	1611
10090.ENSMUSP00000023269	1607
10090.ENSMUSP00000118787	1591
10090.ENSMUSP00000110547	1574
10090.ENSMUSP00000098066	1566
10090.ENSMUSP00000127941	1561
10090.ENSMUSP00000005705	1559
10090.ENSMUSP00000003912	1551
10090.ENSMUSP00000074724	1546
10090.ENSMUSP00000093955	1529
10090.ENSMUSP00000099487	1509
10090.ENSMUSP00000070751	1502
10090.ENSMUSP00000004554	1487
10090.ENSMUSP00000022842	1477
10090.ENSMUSP00000099658	1476
10090.ENSMUSP00000059192	1465
10090.ENSMUSP00000133523	1439
10090.ENSMUSP00000099595	1435
