#id: 4152051949
#name: M.musculus - Uterus,  protein intensity (Geiger,mcp,2013)
#score: 8.7
#weight: 100%
#description: abundance based on MAPPED_BY_AUTHORS,  Protein_Intensity, Interaction consistency score: 8.7, Coverage: 34
#organ: UTERUS
#integrated: false
#coverage: 34
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M112.024919
#publication_year: 2013
#filename: 10090-Uterus_geiger_2013.txt
#
#internal_id	string_external_id	abundance
5019943	10090.ENSMUSP00000031314	46015
5032894	10090.ENSMUSP00000109337	38061
5020912	10090.ENSMUSP00000034590	25988
5019605	10090.ENSMUSP00000030184	20804
5020911	10090.ENSMUSP00000034588	16915
5028964	10090.ENSMUSP00000087756	14064
5033139	10090.ENSMUSP00000110673	11698
5023354	10090.ENSMUSP00000048218	9495
5017969	10090.ENSMUSP00000023952	9365
5015702	10090.ENSMUSP00000003912	9235
5029259	10090.ENSMUSP00000090633	8911
5019455	10090.ENSMUSP00000029699	8134
5027223	10090.ENSMUSP00000074783	8101
5031143	10090.ENSMUSP00000099909	7842
5030604	10090.ENSMUSP00000097747	7810
5016399	10090.ENSMUSP00000015800	7388
5033346	10090.ENSMUSP00000112259	6675
5020606	10090.ENSMUSP00000033699	6611
5021032	10090.ENSMUSP00000034947	5800
5020909	10090.ENSMUSP00000034585	5800
5034717	10090.ENSMUSP00000126390	5638
5018975	10090.ENSMUSP00000028062	5638
5027041	10090.ENSMUSP00000073695	5347
5028385	10090.ENSMUSP00000082132	5347
5028293	10090.ENSMUSP00000081474	5250
5033031	10090.ENSMUSP00000110103	5152
5033681	10090.ENSMUSP00000113978	5143
5028036	10090.ENSMUSP00000079727	5120
5021094	10090.ENSMUSP00000035158	5017
5024936	10090.ENSMUSP00000058321	4861
5029432	10090.ENSMUSP00000091921	4731
5018800	10090.ENSMUSP00000027409	4666
5033716	10090.ENSMUSP00000114159	4666
5018551	10090.ENSMUSP00000026459	4634
5028425	10090.ENSMUSP00000082682	4504
5022374	10090.ENSMUSP00000042457	4472
5018714	10090.ENSMUSP00000027123	4439
5018808	10090.ENSMUSP00000027438	4407
5034968	10090.ENSMUSP00000127808	4321
5021093	10090.ENSMUSP00000035157	4321
5027211	10090.ENSMUSP00000074724	4148
5020768	10090.ENSMUSP00000034189	4083
5018269	10090.ENSMUSP00000025486	3986
5030913	10090.ENSMUSP00000099461	3921
5019139	10090.ENSMUSP00000028683	3856
5017489	10090.ENSMUSP00000022369	3856
5035514	10090.ENSMUSP00000130858	3694
5020965	10090.ENSMUSP00000034756	3694
5022656	10090.ENSMUSP00000044188	3662
5035131	10090.ENSMUSP00000128803	3662
5022102	10090.ENSMUSP00000040877	3629
5027510	10090.ENSMUSP00000076521	3629
5031780	10090.ENSMUSP00000103267	3597
5033969	10090.ENSMUSP00000117987	3419
5029850	10090.ENSMUSP00000094334	3419
5020288	10090.ENSMUSP00000032510	3402
5018458	10090.ENSMUSP00000026122	3338
5018045	10090.ENSMUSP00000024739	3273
5026803	10090.ENSMUSP00000072197	3176
5030061	10090.ENSMUSP00000095794	3159
