#id: 1029310712
#name: Mus musculus - Heart, Protein peptide count (Kislinger,cell,2006)
#score: 2.5
#description: abundance based on Protein peptide count, Interaction consistency score: 2.5, Coverage: 6
#organ: HEART
#integrated: false
#coverage: 6
#link: http://www.ncbi.nlm.nih.gov/pubmed/16615898
#publication_year: 2006
#filename: 10090-mouse_heart_kislinger2006_cell.txt
#
#string_external_id	abundance
10090.ENSMUSP00000070709	57325
10090.ENSMUSP00000080538	49851
10090.ENSMUSP00000026459	48662
10090.ENSMUSP00000125995	38824
10090.ENSMUSP00000023116	28530
10090.ENSMUSP00000022122	23024
10090.ENSMUSP00000023934	19214
10090.ENSMUSP00000095794	19214
10090.ENSMUSP00000090897	17107
10090.ENSMUSP00000090895	17107
10090.ENSMUSP00000031423	16504
10090.ENSMUSP00000026495	14845
10090.ENSMUSP00000027123	14669
10090.ENSMUSP00000031314	14229
10090.ENSMUSP00000015800	13773
10090.ENSMUSP00000048218	13186
10090.ENSMUSP00000120976	11644
10090.ENSMUSP00000003643	10367
10090.ENSMUSP00000037348	9016
10090.ENSMUSP00000034866	8561
10090.ENSMUSP00000019323	8208
10090.ENSMUSP00000003461	8003
10090.ENSMUSP00000004729	7048
10090.ENSMUSP00000072483	6799
10090.ENSMUSP00000026743	6681
10090.ENSMUSP00000099938	6652
10090.ENSMUSP00000027810	6255
10090.ENSMUSP00000106318	6241
10090.ENSMUSP00000014080	6050
10090.ENSMUSP00000113942	5893
10090.ENSMUSP00000099819	5829
10090.ENSMUSP00000027153	5785
10090.ENSMUSP00000078715	5066
10090.ENSMUSP00000001242	4963
10090.ENSMUSP00000109337	4963
10090.ENSMUSP00000084846	4816
10090.ENSMUSP00000007012	4787
10090.ENSMUSP00000034834	4787
10090.ENSMUSP00000072620	4743
10090.ENSMUSP00000082132	4684
10090.ENSMUSP00000042342	4596
10090.ENSMUSP00000049355	4449
10090.ENSMUSP00000023851	4376
10090.ENSMUSP00000065113	4317
10090.ENSMUSP00000033176	4288
10090.ENSMUSP00000034547	4170
10090.ENSMUSP00000047564	4126
10090.ENSMUSP00000110434	3965
10090.ENSMUSP00000110103	3715
10090.ENSMUSP00000025961	3686
10090.ENSMUSP00000022268	3686
10090.ENSMUSP00000068479	3539
10090.ENSMUSP00000032373	3495
10090.ENSMUSP00000034049	3465
10090.ENSMUSP00000097747	3451
10090.ENSMUSP00000075513	3338
10090.ENSMUSP00000079727	3338
10090.ENSMUSP00000027111	3289
10090.ENSMUSP00000023583	3186
10090.ENSMUSP00000099634	3128
10090.ENSMUSP00000140657	3098
10090.ENSMUSP00000059801	2995
10090.ENSMUSP00000024946	2951
10090.ENSMUSP00000080302	2937
10090.ENSMUSP00000029454	2907
10090.ENSMUSP00000045816	2863
10090.ENSMUSP00000023161	2834
10090.ENSMUSP00000034097	2834
10090.ENSMUSP00000026196	2761
10090.ENSMUSP00000020768	2716
10090.ENSMUSP00000102147	2658
10090.ENSMUSP00000016771	2570
10090.ENSMUSP00000034567	2555
10090.ENSMUSP00000026122	2511
10090.ENSMUSP00000022062	2452
10090.ENSMUSP00000046101	2408
10090.ENSMUSP00000024739	2349
10090.ENSMUSP00000028892	2349
10090.ENSMUSP00000004673	2335
10090.ENSMUSP00000110547	2173
10090.ENSMUSP00000107595	2159
10090.ENSMUSP00000062030	2144
10090.ENSMUSP00000104957	2085
10090.ENSMUSP00000069209	2085
10090.ENSMUSP00000087756	2026
10090.ENSMUSP00000042658	2012
10090.ENSMUSP00000025217	1953
10090.ENSMUSP00000035158	1953
10090.ENSMUSP00000033662	1909
10090.ENSMUSP00000052373	1850
10090.ENSMUSP00000099475	1806
10090.ENSMUSP00000031524	1747
10090.ENSMUSP00000045284	1733
10090.ENSMUSP00000065352	1718
10090.ENSMUSP00000035743	1718
10090.ENSMUSP00000031411	1718
10090.ENSMUSP00000097797	1718
10090.ENSMUSP00000042967	1703
10090.ENSMUSP00000011896	1674
10090.ENSMUSP00000072829	1674
10090.ENSMUSP00000047008	1659
10090.ENSMUSP00000021217	1645
10090.ENSMUSP00000029877	1630
10090.ENSMUSP00000039110	1615
10090.ENSMUSP00000006749	1601
10090.ENSMUSP00000030187	1586
10090.ENSMUSP00000029610	1571
10090.ENSMUSP00000023707	1556
10090.ENSMUSP00000030164	1498
10090.ENSMUSP00000001304	1498
10090.ENSMUSP00000013737	1483
10090.ENSMUSP00000029699	1439
10090.ENSMUSP00000028062	1439
10090.ENSMUSP00000029386	1410
10090.ENSMUSP00000034756	1395
10090.ENSMUSP00000020504	1395
10090.ENSMUSP00000085523	1380
10090.ENSMUSP00000005826	1380
10090.ENSMUSP00000032510	1380
10090.ENSMUSP00000039269	1380
10090.ENSMUSP00000067708	1366
10090.ENSMUSP00000088358	1366
10090.ENSMUSP00000103267	1336
10090.ENSMUSP00000005292	1336
10090.ENSMUSP00000030623	1307
10090.ENSMUSP00000095656	1307
10090.ENSMUSP00000029078	1277
10090.ENSMUSP00000073880	1277
10090.ENSMUSP00000027438	1204
10090.ENSMUSP00000082682	1204
10090.ENSMUSP00000028807	1189
10090.ENSMUSP00000033842	1145
10090.ENSMUSP00000034966	1145
10090.ENSMUSP00000114159	1145
10090.ENSMUSP00000022327	1116
10090.ENSMUSP00000028944	1116
10090.ENSMUSP00000034588	1101
10090.ENSMUSP00000079356	1072
10090.ENSMUSP00000082459	1072
10090.ENSMUSP00000099902	1057
10090.ENSMUSP00000070993	1043
10090.ENSMUSP00000023677	1028
10090.ENSMUSP00000129378	1013
10090.ENSMUSP00000056502	1013
10090.ENSMUSP00000016081	998
10090.ENSMUSP00000100924	998
10090.ENSMUSP00000005647	969
10090.ENSMUSP00000020238	969
10090.ENSMUSP00000096458	969
10090.ENSMUSP00000089680	969
10090.ENSMUSP00000043821	969
10090.ENSMUSP00000081544	940
10090.ENSMUSP00000024988	940
10090.ENSMUSP00000101453	940
10090.ENSMUSP00000011058	925
