#id: 3616836444
#name: M.musculus - Pancreas, MaxQuant intensity (F.waanders,pnas,2009)
#score: 10.0
#weight:  5%
#description: abundance based on MaxQuant intensity, Interaction consistency score: 10.0, Coverage: 9
#organ: PANCREAS
#integrated: false
#coverage: 9
#link: http://www.sciencedirect.com/science/article/pii/S0092867408006958
#publication_year: 2009
#filename: 10090-mouse_pancreas_F.Waanders2009_PNAs_combine.txt
#
#internal_id	string_external_id	abundance
5030604	10090.ENSMUSP00000097747	48122
5016223	10090.ENSMUSP00000011607	45269
5021191	10090.ENSMUSP00000035584	44316
5022976	10090.ENSMUSP00000046101	33970
5019004	10090.ENSMUSP00000028161	32232
5020858	10090.ENSMUSP00000034435	27582
5017920	10090.ENSMUSP00000023775	27507
5030950	10090.ENSMUSP00000099539	24760
5015411	10090.ENSMUSP00000001460	23701
5020137	10090.ENSMUSP00000031931	23487
5018551	10090.ENSMUSP00000026459	17339
5022876	10090.ENSMUSP00000045465	17248
5021039	10090.ENSMUSP00000034966	15891
5017968	10090.ENSMUSP00000023934	13462
5030061	10090.ENSMUSP00000095794	13462
5025930	10090.ENSMUSP00000065393	12547
5026292	10090.ENSMUSP00000068594	11707
5029752	10090.ENSMUSP00000093771	10777
5020176	10090.ENSMUSP00000032143	10141
5019139	10090.ENSMUSP00000028683	10054
5015943	10090.ENSMUSP00000006544	9036
5027892	10090.ENSMUSP00000078847	8005
5023403	10090.ENSMUSP00000048469	7306
5028401	10090.ENSMUSP00000082288	7198
5016701	10090.ENSMUSP00000019323	6988
5028631	10090.ENSMUSP00000084572	6521
5031501	10090.ENSMUSP00000101651	6496
5023800	10090.ENSMUSP00000051033	6371
5023115	10090.ENSMUSP00000046943	5731
5015428	10090.ENSMUSP00000001566	5723
5019123	10090.ENSMUSP00000028624	5353
5015583	10090.ENSMUSP00000002846	5076
5019597	10090.ENSMUSP00000030164	5076
5020988	10090.ENSMUSP00000034834	5043
5027510	10090.ENSMUSP00000076521	4821
5024720	10090.ENSMUSP00000056916	4816
5028122	10090.ENSMUSP00000080302	4610
5023247	10090.ENSMUSP00000047665	4579
5020416	10090.ENSMUSP00000033012	4467
5021979	10090.ENSMUSP00000040140	4409
5022964	10090.ENSMUSP00000046016	4397
5023033	10090.ENSMUSP00000046496	4382
5028869	10090.ENSMUSP00000086795	4219
5015714	10090.ENSMUSP00000004072	4206
5020466	10090.ENSMUSP00000033176	4118
5017724	10090.ENSMUSP00000023116	4052
5016971	10090.ENSMUSP00000020637	4042
5032028	10090.ENSMUSP00000104511	3923
5015285	10090.ENSMUSP00000000349	3840
5020441	10090.ENSMUSP00000033098	3823
5018416	10090.ENSMUSP00000025955	3681
5028239	10090.ENSMUSP00000080994	3639
5024953	10090.ENSMUSP00000058432	3401
5020898	10090.ENSMUSP00000034547	3341
5032607	10090.ENSMUSP00000107749	3221
5018181	10090.ENSMUSP00000025217	3217
5017527	10090.ENSMUSP00000022529	3207
5027978	10090.ENSMUSP00000079379	3089
5034001	10090.ENSMUSP00000118478	3067
5016415	10090.ENSMUSP00000015950	3065
5018267	10090.ENSMUSP00000025483	3060
5021057	10090.ENSMUSP00000035033	3053
5017394	10090.ENSMUSP00000022062	3000
5034171	10090.ENSMUSP00000120976	2926
5026628	10090.ENSMUSP00000071214	2887
5025733	10090.ENSMUSP00000063825	2792
5026767	10090.ENSMUSP00000071976	2764
5016878	10090.ENSMUSP00000020298	2533
5017638	10090.ENSMUSP00000022849	2434
5018808	10090.ENSMUSP00000027438	2407
5035714	10090.ENSMUSP00000132082	2375
5023951	10090.ENSMUSP00000052020	2347
5018315	10090.ENSMUSP00000025656	2336
5019167	10090.ENSMUSP00000028807	2326
5024401	10090.ENSMUSP00000054863	2261
5031508	10090.ENSMUSP00000101669	2223
5019306	10090.ENSMUSP00000029266	2185
5027723	10090.ENSMUSP00000077909	2165
5033872	10090.ENSMUSP00000116492	2161
5030752	10090.ENSMUSP00000098648	2079
5028961	10090.ENSMUSP00000087736	2042
5029931	10090.ENSMUSP00000095197	2006
5020669	10090.ENSMUSP00000033901	1989
5020896	10090.ENSMUSP00000034541	1981
5020005	10090.ENSMUSP00000031492	1970
5023961	10090.ENSMUSP00000052086	1962
5035407	10090.ENSMUSP00000130194	1948
5016654	10090.ENSMUSP00000018992	1934
5030913	10090.ENSMUSP00000099461	1917
5017817	10090.ENSMUSP00000023453	1910
5020800	10090.ENSMUSP00000034276	1892
5022902	10090.ENSMUSP00000045606	1888
5021093	10090.ENSMUSP00000035157	1843
5018363	10090.ENSMUSP00000025804	1759
5017208	10090.ENSMUSP00000021443	1759
5037175	10090.ENSMUSP00000140657	1753
5034794	10090.ENSMUSP00000126828	1724
5018182	10090.ENSMUSP00000025218	1668
5020844	10090.ENSMUSP00000034400	1629
5028665	10090.ENSMUSP00000084918	1626
5020742	10090.ENSMUSP00000034097	1597
5021086	10090.ENSMUSP00000035116	1573
5026104	10090.ENSMUSP00000066839	1553
5018241	10090.ENSMUSP00000025394	1548
5035347	10090.ENSMUSP00000129828	1509
5016338	10090.ENSMUSP00000015011	1495
5015464	10090.ENSMUSP00000001834	1480
5018750	10090.ENSMUSP00000027252	1469
5020817	10090.ENSMUSP00000034326	1441
5023231	10090.ENSMUSP00000047571	1414
5025721	10090.ENSMUSP00000063714	1412
5020371	10090.ENSMUSP00000032895	1404
5016033	10090.ENSMUSP00000007317	1389
5018965	10090.ENSMUSP00000028004	1388
5032274	10090.ENSMUSP00000105796	1379
5025997	10090.ENSMUSP00000065987	1348
5032636	10090.ENSMUSP00000107914	1345
5016874	10090.ENSMUSP00000020286	1326
5021754	10090.ENSMUSP00000038839	1319
5020508	10090.ENSMUSP00000033342	1312
5015987	10090.ENSMUSP00000006838	1310
5036796	10090.ENSMUSP00000138006	1297
5016969	10090.ENSMUSP00000020630	1285
5019415	10090.ENSMUSP00000029610	1280
5031402	10090.ENSMUSP00000101105	1273
5015450	10090.ENSMUSP00000001715	1272
5025896	10090.ENSMUSP00000065113	1271
5017607	10090.ENSMUSP00000022734	1270
5015665	10090.ENSMUSP00000003572	1268
5018711	10090.ENSMUSP00000027111	1255
5018596	10090.ENSMUSP00000026576	1253
5015807	10090.ENSMUSP00000005057	1229
5016882	10090.ENSMUSP00000020315	1229
5021738	10090.ENSMUSP00000038755	1225
5021229	10090.ENSMUSP00000035823	1207
5019371	10090.ENSMUSP00000029476	1188
5018405	10090.ENSMUSP00000025918	1183
5024098	10090.ENSMUSP00000052872	1155
5022152	10090.ENSMUSP00000041152	1142
5021511	10090.ENSMUSP00000037446	1136
5025299	10090.ENSMUSP00000060732	1133
5028313	10090.ENSMUSP00000081567	1131
5017460	10090.ENSMUSP00000022268	1120
5019694	10090.ENSMUSP00000030491	1118
5020263	10090.ENSMUSP00000032440	1116
5018329	10090.ENSMUSP00000025696	1114
5019553	10090.ENSMUSP00000030018	1099
5020841	10090.ENSMUSP00000034393	1098
5025878	10090.ENSMUSP00000064893	1096
5020101	10090.ENSMUSP00000031788	1089
5024821	10090.ENSMUSP00000057664	1088
5028635	10090.ENSMUSP00000084582	1075
5016935	10090.ENSMUSP00000020504	1071
5034434	10090.ENSMUSP00000124480	1055
5025033	10090.ENSMUSP00000058919	1050
5019565	10090.ENSMUSP00000030051	1048
5015572	10090.ENSMUSP00000002790	1043
5021009	10090.ENSMUSP00000034881	1042
5021464	10090.ENSMUSP00000037168	1039
5018419	10090.ENSMUSP00000025961	1039
5020723	10090.ENSMUSP00000034051	1037
5015844	10090.ENSMUSP00000005532	1035
5015941	10090.ENSMUSP00000006508	1029
5015408	10090.ENSMUSP00000001452	1026
5026074	10090.ENSMUSP00000066621	1025
5017637	10090.ENSMUSP00000022842	1006
5018555	10090.ENSMUSP00000026470	1003
5017353	10090.ENSMUSP00000021930	1000
5019555	10090.ENSMUSP00000030028	999
5018627	10090.ENSMUSP00000026704	998
5030190	10090.ENSMUSP00000096264	998
5030192	10090.ENSMUSP00000096270	998
5026608	10090.ENSMUSP00000071078	995
5016515	10090.ENSMUSP00000017572	993
5017174	10090.ENSMUSP00000021332	984
5016329	10090.ENSMUSP00000014913	968
5022267	10090.ENSMUSP00000041839	956
5020165	10090.ENSMUSP00000032114	956
5018072	10090.ENSMUSP00000024823	949
5018891	10090.ENSMUSP00000027752	947
5020444	10090.ENSMUSP00000033121	943
5015735	10090.ENSMUSP00000004232	933
5026641	10090.ENSMUSP00000071292	909
5026087	10090.ENSMUSP00000066715	905
5017199	10090.ENSMUSP00000021412	891
5016007	10090.ENSMUSP00000007012	884
5016042	10090.ENSMUSP00000007708	884
5027289	10090.ENSMUSP00000075150	883
5016157	10090.ENSMUSP00000010007	882
5017097	10090.ENSMUSP00000021078	877
5025524	10090.ENSMUSP00000062345	868
5023382	10090.ENSMUSP00000048350	868
5023246	10090.ENSMUSP00000047661	864
5017760	10090.ENSMUSP00000023231	850
5023031	10090.ENSMUSP00000046480	846
5032923	10090.ENSMUSP00000109523	846
5017666	10090.ENSMUSP00000022946	842
5022830	10090.ENSMUSP00000045239	830
5015451	10090.ENSMUSP00000001716	816
5025363	10090.ENSMUSP00000061227	806
5018546	10090.ENSMUSP00000026446	803
5015824	10090.ENSMUSP00000005256	791
5018505	10090.ENSMUSP00000026270	783
5020859	10090.ENSMUSP00000034441	778
5017749	10090.ENSMUSP00000023203	773
5018383	10090.ENSMUSP00000025851	773
5017670	10090.ENSMUSP00000022960	765
5018269	10090.ENSMUSP00000025486	761
5015895	10090.ENSMUSP00000006027	752
5019378	10090.ENSMUSP00000029490	747
5031736	10090.ENSMUSP00000103015	746
5019438	10090.ENSMUSP00000029663	743
5018271	10090.ENSMUSP00000025490	727
5020157	10090.ENSMUSP00000032078	725
5034225	10090.ENSMUSP00000121820	723
5019973	10090.ENSMUSP00000031383	716
5033464	10090.ENSMUSP00000112908	707
5028268	10090.ENSMUSP00000081141	704
5028569	10090.ENSMUSP00000083928	695
5015601	10090.ENSMUSP00000002979	686
5035408	10090.ENSMUSP00000130195	685
5016977	10090.ENSMUSP00000020653	682
5019260	10090.ENSMUSP00000029078	677
5025431	10090.ENSMUSP00000061700	674
5019457	10090.ENSMUSP00000029708	668
5017290	10090.ENSMUSP00000021719	667
5020594	10090.ENSMUSP00000033662	663
5031366	10090.ENSMUSP00000100924	659
5025347	10090.ENSMUSP00000061092	652
5017456	10090.ENSMUSP00000022256	652
5016401	10090.ENSMUSP00000015829	651
5017482	10090.ENSMUSP00000022341	648
5018907	10090.ENSMUSP00000027802	648
5034250	10090.ENSMUSP00000122103	646
5037094	10090.ENSMUSP00000140250	646
5022673	10090.ENSMUSP00000044288	638
5019337	10090.ENSMUSP00000029386	633
5018820	10090.ENSMUSP00000027478	618
5022440	10090.ENSMUSP00000042967	615
5017492	10090.ENSMUSP00000022380	613
5015885	10090.ENSMUSP00000005923	610
5018724	10090.ENSMUSP00000027153	603
5021044	10090.ENSMUSP00000034983	602
5019322	10090.ENSMUSP00000029336	581
5017809	10090.ENSMUSP00000023432	576
5017168	10090.ENSMUSP00000021314	573
5017105	10090.ENSMUSP00000021114	573
5033503	10090.ENSMUSP00000113071	571
5017437	10090.ENSMUSP00000022196	570
5015917	10090.ENSMUSP00000006235	566
5015818	10090.ENSMUSP00000005185	562
5021628	10090.ENSMUSP00000038150	560
5021827	10090.ENSMUSP00000039243	553
5026197	10090.ENSMUSP00000067685	551
5026950	10090.ENSMUSP00000073061	549
5022532	10090.ENSMUSP00000043543	540
5023179	10090.ENSMUSP00000047326	536
5024554	10090.ENSMUSP00000055862	535
5022180	10090.ENSMUSP00000041299	517
5017984	10090.ENSMUSP00000024042	507
5016341	10090.ENSMUSP00000015100	506
5025925	10090.ENSMUSP00000065352	503
5034267	10090.ENSMUSP00000122366	500
5021778	10090.ENSMUSP00000038964	497
5035388	10090.ENSMUSP00000130098	496
5031352	10090.ENSMUSP00000100862	493
5035936	10090.ENSMUSP00000133523	492
5018096	10090.ENSMUSP00000024897	490
5016924	10090.ENSMUSP00000020463	470
5020769	10090.ENSMUSP00000034190	464
5015376	10090.ENSMUSP00000001147	463
5017781	10090.ENSMUSP00000023312	462
5019512	10090.ENSMUSP00000029877	460
5015911	10090.ENSMUSP00000006137	460
5016999	10090.ENSMUSP00000020741	457
5028727	10090.ENSMUSP00000085523	452
5022934	10090.ENSMUSP00000045816	450
5023841	10090.ENSMUSP00000051293	442
5018641	10090.ENSMUSP00000026827	431
5035438	10090.ENSMUSP00000130414	431
5018898	10090.ENSMUSP00000027777	430
5033932	10090.ENSMUSP00000117346	430
5015732	10090.ENSMUSP00000004206	429
