#id: 3772034343
#name: Rattus norvegicus - Whole organism, SC (Peptideatlas,nov,2013)
#score: 26.2
#description: abundance based on Spectral counting, Interaction consistency score: 26.2, Coverage: 50
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 50
#link: http://www.peptideatlas.org/builds/
#publication_year: 2013
#filename: 10116-PA_201311.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
5058375	10116.ENSRNOP00000066062	15950	396
5040199	10116.ENSRNOP00000008841	15919	18219
5051394	10116.ENSRNOP00000044233	14823	42824
5051350	10116.ENSRNOP00000044081	14380	42138
5038226	10116.ENSRNOP00000002885	10801	7443
5043876	10116.ENSRNOP00000019021	9052	108723
5040300	10116.ENSRNOP00000009111	6653	16107
5041377	10116.ENSRNOP00000012075	6483	20162
5044238	10116.ENSRNOP00000020066	6331	2827
5052434	10116.ENSRNOP00000048250	5942	22288
5042904	10116.ENSRNOP00000016346	5104	16616
5042527	10116.ENSRNOP00000015336	4972	18750
5038560	10116.ENSRNOP00000003921	4230	22458
5045398	10116.ENSRNOP00000023132	4225	6064
5044361	10116.ENSRNOP00000020446	4159	3747
5041079	10116.ENSRNOP00000011230	3977	17347
5043621	10116.ENSRNOP00000018325	3670	11237
5040995	10116.ENSRNOP00000010984	3562	9283
5037991	10116.ENSRNOP00000002116	3524	2459
5038615	10116.ENSRNOP00000004091	3478	10022
5049669	10116.ENSRNOP00000037786	3439	8094
5059680	10116.ENSRNOP00000067682	3355	10139
5042124	10116.ENSRNOP00000014177	3311	10650
5053439	10116.ENSRNOP00000051841	3141	12249
5041983	10116.ENSRNOP00000013789	3057	17230
5044372	10116.ENSRNOP00000020478	2990	11586
5059790	10116.ENSRNOP00000067815	2989	114
5043400	10116.ENSRNOP00000017675	2962	7698
5050060	10116.ENSRNOP00000039338	2957	6988
5056562	10116.ENSRNOP00000063652	2942	18691
5052522	10116.ENSRNOP00000048546	2942	18691
5044123	10116.ENSRNOP00000019737	2925	421
5043490	10116.ENSRNOP00000017911	2859	7658
5055459	10116.ENSRNOP00000060140	2858	10130
5037885	10116.ENSRNOP00000001816	2809	11148
5038574	10116.ENSRNOP00000003965	2776	15043
5042600	10116.ENSRNOP00000015545	2699	12754
5045299	10116.ENSRNOP00000022892	2624	12862
5051190	10116.ENSRNOP00000043510	2606	7768
5046526	10116.ENSRNOP00000026122	2552	10665
5046128	10116.ENSRNOP00000025064	2527	13813
5039763	10116.ENSRNOP00000007430	2457	3385
5037827	10116.ENSRNOP00000001664	2456	2264
5037941	10116.ENSRNOP00000001958	2392	6687
5045654	10116.ENSRNOP00000023835	2374	8276
5056567	10116.ENSRNOP00000063666	2331	14079
5050992	10116.ENSRNOP00000042770	2215	5460
5046549	10116.ENSRNOP00000026186	2202	6115
5042282	10116.ENSRNOP00000014658	2180	3382
5045749	10116.ENSRNOP00000024083	2143	3786
5047689	10116.ENSRNOP00000029068	2123	6959
5045724	10116.ENSRNOP00000024033	2103	2477
5037880	10116.ENSRNOP00000001809	2077	7218
5051092	10116.ENSRNOP00000043148	2058	7220
5055061	10116.ENSRNOP00000058914	2033	8677
5044997	10116.ENSRNOP00000022113	1988	2616
5043193	10116.ENSRNOP00000017101	1978	2031
5042751	10116.ENSRNOP00000015956	1968	8654
5041159	10116.ENSRNOP00000011429	1959	3539
5053450	10116.ENSRNOP00000051859	1942	19837
5051409	10116.ENSRNOP00000044296	1934	19840
5044310	10116.ENSRNOP00000020322	1926	5916
5059311	10116.ENSRNOP00000067234	1920	6710
5050627	10116.ENSRNOP00000041451	1905	8826
5042348	10116.ENSRNOP00000014849	1870	264
5037333	10116.ENSRNOP00000000134	1864	4321
5049983	10116.ENSRNOP00000039050	1854	5133
5042473	10116.ENSRNOP00000015190	1836	4305
5044948	10116.ENSRNOP00000021970	1833	4531
5038813	10116.ENSRNOP00000004686	1822	6198
5040837	10116.ENSRNOP00000010579	1804	3248
5042140	10116.ENSRNOP00000014235	1782	9147
5046453	10116.ENSRNOP00000025939	1772	5662
5040327	10116.ENSRNOP00000009179	1734	4387
5040411	10116.ENSRNOP00000009407	1734	4387
5038860	10116.ENSRNOP00000004836	1700	1310
5048753	10116.ENSRNOP00000033706	1691	1032
5052603	10116.ENSRNOP00000048883	1691	1032
5045144	10116.ENSRNOP00000022487	1686	1961
5052808	10116.ENSRNOP00000049665	1641	121
5051487	10116.ENSRNOP00000044553	1641	121
5054348	10116.ENSRNOP00000055790	1641	121
5052823	10116.ENSRNOP00000049713	1641	121
5055291	10116.ENSRNOP00000059662	1641	121
5051627	10116.ENSRNOP00000045098	1641	121
5050592	10116.ENSRNOP00000041329	1641	121
5054455	10116.ENSRNOP00000056260	1638	1310
5039141	10116.ENSRNOP00000005611	1631	7945
5049015	10116.ENSRNOP00000034846	1611	10803
5044312	10116.ENSRNOP00000020325	1602	6594
5044395	10116.ENSRNOP00000020544	1582	5454
5045274	10116.ENSRNOP00000022828	1555	2416
5037511	10116.ENSRNOP00000000687	1549	1690
5037761	10116.ENSRNOP00000001500	1532	3235
5045846	10116.ENSRNOP00000024310	1504	6589
5041793	10116.ENSRNOP00000013238	1449	3595
5042455	10116.ENSRNOP00000015152	1435	3094
5041121	10116.ENSRNOP00000011330	1384	4116
5048852	10116.ENSRNOP00000034144	1379	3923
5042278	10116.ENSRNOP00000014637	1379	4264
5043403	10116.ENSRNOP00000017686	1376	5591
5038382	10116.ENSRNOP00000003390	1363	5549
5046711	10116.ENSRNOP00000026576	1358	1003
5040836	10116.ENSRNOP00000010573	1358	4601
5037543	10116.ENSRNOP00000000772	1343	2365
5045611	10116.ENSRNOP00000023685	1297	4855
5042209	10116.ENSRNOP00000014439	1288	687
5038071	10116.ENSRNOP00000002366	1260	3690
5037810	10116.ENSRNOP00000001609	1257	2230
5046240	10116.ENSRNOP00000025380	1254	649
5055597	10116.ENSRNOP00000060568	1254	649
