#id: 4246560962
#name: R.norvegicus - Vestibular epithelium, 1 measurement: sum of MS2 intensity (Wilmarthetal.,scidata,2015)
#score: 5.4
#weight: 100%
#description: abundance based on 1 measurement: sum of MS2 intensity, Interaction consistency score: 5.4, Coverage: 2
#organ: VESTIBULAR_EPITHELIUM
#integrated: false
#coverage: 2
#link: http://www.ncbi.nlm.nih.gov/pubmed/26645194
#publication_year: 2015
#filename: 10116-PXD_Wilmarth_Sci_Data_2015_rat_inner_ear_hair_bundle.txt
#
#internal_id	string_external_id	abundance
5045750	10116.ENSRNOP00000024084	556263
5042233	10116.ENSRNOP00000014502	45515
5051592	10116.ENSRNOP00000044986	30226
5052042	10116.ENSRNOP00000046711	19846
5058105	10116.ENSRNOP00000065711	17663
5040461	10116.ENSRNOP00000009556	17337
5038615	10116.ENSRNOP00000004091	15284
5044052	10116.ENSRNOP00000019552	14714
5053449	10116.ENSRNOP00000051858	13573
5044372	10116.ENSRNOP00000020478	12546
5047059	10116.ENSRNOP00000027425	12432
5046128	10116.ENSRNOP00000025064	11634
5045924	10116.ENSRNOP00000024493	10196
5053067	10116.ENSRNOP00000050605	8557
5039976	10116.ENSRNOP00000008094	8064
5045759	10116.ENSRNOP00000024106	7812
5052005	10116.ENSRNOP00000046593	7642
5038574	10116.ENSRNOP00000003965	7243
5049902	10116.ENSRNOP00000038745	7186
5050457	10116.ENSRNOP00000040819	6474
5039234	10116.ENSRNOP00000005872	5999
5037941	10116.ENSRNOP00000001958	5486
5053738	10116.ENSRNOP00000053135	4768
5043510	10116.ENSRNOP00000017965	4745
5042444	10116.ENSRNOP00000015122	4482
5047167	10116.ENSRNOP00000027700	3570
5045897	10116.ENSRNOP00000024436	3376
5042297	10116.ENSRNOP00000014704	3312
5051318	10116.ENSRNOP00000043950	2840
5045337	10116.ENSRNOP00000022983	2726
5057238	10116.ENSRNOP00000064632	2669
5059456	10116.ENSRNOP00000067409	2635
5044818	10116.ENSRNOP00000021657	2532
5040166	10116.ENSRNOP00000008728	2384
5051052	10116.ENSRNOP00000043003	2217
5046422	10116.ENSRNOP00000025857	2213
5047706	10116.ENSRNOP00000029144	2213
5041159	10116.ENSRNOP00000011429	2179
5043332	10116.ENSRNOP00000017468	2110
5040327	10116.ENSRNOP00000009179	2087
5045274	10116.ENSRNOP00000022828	2053
5053439	10116.ENSRNOP00000051841	1757
5057507	10116.ENSRNOP00000064960	1665
5041706	10116.ENSRNOP00000012996	1665
5040934	10116.ENSRNOP00000010811	1642
5037761	10116.ENSRNOP00000001500	1574
5040097	10116.ENSRNOP00000008477	1574
5045844	10116.ENSRNOP00000024304	1540
5049826	10116.ENSRNOP00000038428	1483
5037919	10116.ENSRNOP00000001911	1476
5047331	10116.ENSRNOP00000028093	1423
5042751	10116.ENSRNOP00000015956	1357
5050465	10116.ENSRNOP00000040859	1323
5045716	10116.ENSRNOP00000024012	1266
5039102	10116.ENSRNOP00000005491	1264
5043672	10116.ENSRNOP00000018462	1232
5038286	10116.ENSRNOP00000003046	1232
5038565	10116.ENSRNOP00000003932	1186
5055742	10116.ENSRNOP00000061058	1142
5037964	10116.ENSRNOP00000002037	1128
5037672	10116.ENSRNOP00000001247	1087
5040419	10116.ENSRNOP00000009431	1062
5056143	10116.ENSRNOP00000062329	1061
5049078	10116.ENSRNOP00000035155	1036
5045398	10116.ENSRNOP00000023132	1032
5055275	10116.ENSRNOP00000059624	982
5040817	10116.ENSRNOP00000010512	975
5043805	10116.ENSRNOP00000018844	951
5059858	10116.ENSRNOP00000067890	949
5038369	10116.ENSRNOP00000003334	943
5037825	10116.ENSRNOP00000001654	939
5056567	10116.ENSRNOP00000063666	931
5050280	10116.ENSRNOP00000040121	907
5044044	10116.ENSRNOP00000019531	853
5048157	10116.ENSRNOP00000031078	850
5042455	10116.ENSRNOP00000015152	842
5055088	10116.ENSRNOP00000059012	827
5047722	10116.ENSRNOP00000029234	822
5038262	10116.ENSRNOP00000002977	798
5046767	10116.ENSRNOP00000026705	772
5058719	10116.ENSRNOP00000066502	754
5043883	10116.ENSRNOP00000019040	741
5042618	10116.ENSRNOP00000015598	737
5046804	10116.ENSRNOP00000026792	735
5045692	10116.ENSRNOP00000023935	716
5039565	10116.ENSRNOP00000006804	712
5041654	10116.ENSRNOP00000012847	698
5038010	10116.ENSRNOP00000002169	684
5043749	10116.ENSRNOP00000018649	665
5038092	10116.ENSRNOP00000002429	647
5052736	10116.ENSRNOP00000049419	639
5044310	10116.ENSRNOP00000020322	615
5038181	10116.ENSRNOP00000002732	614
5050727	10116.ENSRNOP00000041821	597
5038843	10116.ENSRNOP00000004780	590
5052486	10116.ENSRNOP00000048433	587
5056561	10116.ENSRNOP00000063646	577
5043891	10116.ENSRNOP00000019059	561
5058328	10116.ENSRNOP00000066002	500
5041179	10116.ENSRNOP00000011494	495
5040849	10116.ENSRNOP00000010601	488
5037768	10116.ENSRNOP00000001518	485
5044902	10116.ENSRNOP00000021862	464
5058091	10116.ENSRNOP00000065690	463
5047967	10116.ENSRNOP00000030323	455
5047313	10116.ENSRNOP00000028060	454
5054982	10116.ENSRNOP00000058595	453
5037664	10116.ENSRNOP00000001227	452
5046406	10116.ENSRNOP00000025824	451
5046205	10116.ENSRNOP00000025282	449
5037386	10116.ENSRNOP00000000306	449
5043586	10116.ENSRNOP00000018173	436
5053437	10116.ENSRNOP00000051838	433
5042742	10116.ENSRNOP00000015931	405
5057483	10116.ENSRNOP00000064933	401
5046468	10116.ENSRNOP00000025980	397
5040502	10116.ENSRNOP00000009666	389
5042747	10116.ENSRNOP00000015946	379
5053524	10116.ENSRNOP00000052160	374
5043627	10116.ENSRNOP00000018339	371
5048636	10116.ENSRNOP00000033144	362
5049027	10116.ENSRNOP00000034921	360
5056422	10116.ENSRNOP00000063207	358
5050017	10116.ENSRNOP00000039172	346
5038841	10116.ENSRNOP00000004770	341
5051522	10116.ENSRNOP00000044696	339
5053395	10116.ENSRNOP00000051745	338
5043403	10116.ENSRNOP00000017686	338
5055202	10116.ENSRNOP00000059382	327
5056568	10116.ENSRNOP00000063671	326
5047184	10116.ENSRNOP00000027753	326
5042625	10116.ENSRNOP00000015618	314
5039985	10116.ENSRNOP00000008120	313
5047112	10116.ENSRNOP00000027552	310
5039833	10116.ENSRNOP00000007621	310
5058856	10116.ENSRNOP00000066672	309
5052870	10116.ENSRNOP00000049879	306
5050743	10116.ENSRNOP00000041889	305
5058399	10116.ENSRNOP00000066098	305
5055800	10116.ENSRNOP00000061250	303
5040255	10116.ENSRNOP00000008980	300
5045157	10116.ENSRNOP00000022532	300
5053438	10116.ENSRNOP00000051840	298
5049154	10116.ENSRNOP00000035497	295
5044927	10116.ENSRNOP00000021920	293
5038767	10116.ENSRNOP00000004520	290
5041846	10116.ENSRNOP00000013375	285
5041510	10116.ENSRNOP00000012425	283
5043176	10116.ENSRNOP00000017053	281
5044043	10116.ENSRNOP00000019529	278
5045975	10116.ENSRNOP00000024678	278
5042711	10116.ENSRNOP00000015851	277
5050356	10116.ENSRNOP00000040409	276
5048852	10116.ENSRNOP00000034144	266
5044755	10116.ENSRNOP00000021514	261
5045845	10116.ENSRNOP00000024306	253
5041597	10116.ENSRNOP00000012665	249
5040495	10116.ENSRNOP00000009649	245
5038638	10116.ENSRNOP00000004172	244
5045373	10116.ENSRNOP00000023072	243
5041821	10116.ENSRNOP00000013301	242
5044611	10116.ENSRNOP00000021105	240
5037654	10116.ENSRNOP00000001201	235
5046176	10116.ENSRNOP00000025217	235
5050060	10116.ENSRNOP00000039338	234
5040836	10116.ENSRNOP00000010573	233
5038683	10116.ENSRNOP00000004283	232
5039441	10116.ENSRNOP00000006443	230
5048667	10116.ENSRNOP00000033290	229
5043334	10116.ENSRNOP00000017472	227
5041332	10116.ENSRNOP00000011937	218
5040688	10116.ENSRNOP00000010158	213
5042969	10116.ENSRNOP00000016495	212
5045192	10116.ENSRNOP00000022628	212
5043986	10116.ENSRNOP00000019351	211
5052668	10116.ENSRNOP00000049143	211
5051129	10116.ENSRNOP00000043256	210
5048122	10116.ENSRNOP00000030928	210
5047480	10116.ENSRNOP00000028484	206
5046409	10116.ENSRNOP00000025828	206
5037733	10116.ENSRNOP00000001417	205
5043257	10116.ENSRNOP00000017271	200
5043254	10116.ENSRNOP00000017268	198
5055602	10116.ENSRNOP00000060590	195
5043769	10116.ENSRNOP00000018711	193
5041983	10116.ENSRNOP00000013789	192
5042282	10116.ENSRNOP00000014658	190
5039751	10116.ENSRNOP00000007398	190
5042725	10116.ENSRNOP00000015886	188
5042133	10116.ENSRNOP00000014213	188
5054945	10116.ENSRNOP00000058397	187
5043339	10116.ENSRNOP00000017486	186
5048607	10116.ENSRNOP00000033029	185
5053984	10116.ENSRNOP00000054218	181
5053663	10116.ENSRNOP00000052868	180
5050683	10116.ENSRNOP00000041663	179
5055953	10116.ENSRNOP00000061747	177
5046711	10116.ENSRNOP00000026576	175
5044312	10116.ENSRNOP00000020325	173
5046342	10116.ENSRNOP00000025649	172
5041362	10116.ENSRNOP00000012022	171
5048312	10116.ENSRNOP00000031717	170
5052063	10116.ENSRNOP00000046783	169
5049393	10116.ENSRNOP00000036514	169
5056206	10116.ENSRNOP00000062549	169
5048618	10116.ENSRNOP00000033065	164
5041079	10116.ENSRNOP00000011230	161
5044864	10116.ENSRNOP00000021757	160
5053960	10116.ENSRNOP00000054114	156
5042577	10116.ENSRNOP00000015474	154
5046631	10116.ENSRNOP00000026373	154
5039892	10116.ENSRNOP00000007794	152
5040652	10116.ENSRNOP00000010061	152
5041733	10116.ENSRNOP00000013088	149
5042082	10116.ENSRNOP00000014062	149
5055540	10116.ENSRNOP00000060386	145
5052104	10116.ENSRNOP00000046997	141
5043249	10116.ENSRNOP00000017252	141
5043625	10116.ENSRNOP00000018336	140
5049704	10116.ENSRNOP00000037928	138
5038101	10116.ENSRNOP00000002462	138
5045952	10116.ENSRNOP00000024609	138
5042670	10116.ENSRNOP00000015757	137
5038069	10116.ENSRNOP00000002358	132
5045083	10116.ENSRNOP00000022348	132
5041665	10116.ENSRNOP00000012878	131
5048849	10116.ENSRNOP00000034135	131
5041180	10116.ENSRNOP00000011499	131
5055630	10116.ENSRNOP00000060662	131
5041122	10116.ENSRNOP00000011333	129
5046394	10116.ENSRNOP00000025796	128
5046045	10116.ENSRNOP00000024863	127
5039141	10116.ENSRNOP00000005611	127
5041633	10116.ENSRNOP00000012775	124
5038974	10116.ENSRNOP00000005127	124
5046655	10116.ENSRNOP00000026428	122
5044717	10116.ENSRNOP00000021400	122
5040827	10116.ENSRNOP00000010545	121
5055878	10116.ENSRNOP00000061495	121
5039493	10116.ENSRNOP00000006578	121
5057057	10116.ENSRNOP00000064405	121
5039183	10116.ENSRNOP00000005719	121
5039094	10116.ENSRNOP00000005471	119
5046713	10116.ENSRNOP00000026580	116
5039045	10116.ENSRNOP00000005329	116
5046489	10116.ENSRNOP00000026040	116
5044809	10116.ENSRNOP00000021638	116
5044644	10116.ENSRNOP00000021189	114
5042054	10116.ENSRNOP00000013997	114
5043888	10116.ENSRNOP00000019053	112
5045858	10116.ENSRNOP00000024347	111
5055126	10116.ENSRNOP00000059145	111
5039503	10116.ENSRNOP00000006607	111
5040773	10116.ENSRNOP00000010386	109
5045642	10116.ENSRNOP00000023794	107
5037813	10116.ENSRNOP00000001625	106
5045928	10116.ENSRNOP00000024517	105
5038893	10116.ENSRNOP00000004911	103
5041865	10116.ENSRNOP00000013462	103
5043906	10116.ENSRNOP00000019104	103
5043591	10116.ENSRNOP00000018190	100
5055699	10116.ENSRNOP00000060919	100
5041255	10116.ENSRNOP00000011711	100
5046261	10116.ENSRNOP00000025421	99.2
5044305	10116.ENSRNOP00000020304	98.1
5043909	10116.ENSRNOP00000019108	96.9
5054724	10116.ENSRNOP00000057426	95.8
5049470	10116.ENSRNOP00000036882	94.7
5045070	10116.ENSRNOP00000022309	92.4
5040335	10116.ENSRNOP00000009198	91.2
5047372	10116.ENSRNOP00000028188	91.2
5051467	10116.ENSRNOP00000044467	90.1
5045040	10116.ENSRNOP00000022241	90.1
5045354	10116.ENSRNOP00000023020	89.0
5055484	10116.ENSRNOP00000060229	89.0
5056089	10116.ENSRNOP00000062146	87.8
5047052	10116.ENSRNOP00000027407	87.8
5037888	10116.ENSRNOP00000001822	87.8
5044884	10116.ENSRNOP00000021817	87.8
5039810	10116.ENSRNOP00000007573	86.7
5043930	10116.ENSRNOP00000019174	85.5
5046902	10116.ENSRNOP00000027045	84.4
5053198	10116.ENSRNOP00000051091	84.4
5055781	10116.ENSRNOP00000061198	84.4
5043231	10116.ENSRNOP00000017211	84.4
5040354	10116.ENSRNOP00000009249	83.3
5054240	10116.ENSRNOP00000055224	83.3
5043794	10116.ENSRNOP00000018796	83.3
5042278	10116.ENSRNOP00000014637	82.1
5042241	10116.ENSRNOP00000014532	81.0
5044492	10116.ENSRNOP00000020785	81.0
5043296	10116.ENSRNOP00000017370	81.0
5040725	10116.ENSRNOP00000010252	79.8
5054066	10116.ENSRNOP00000054601	79.8
5042569	10116.ENSRNOP00000015460	79.8
5046447	10116.ENSRNOP00000025925	78.7
5046308	10116.ENSRNOP00000025570	78.7
5053979	10116.ENSRNOP00000054193	77.6
5044395	10116.ENSRNOP00000020544	76.4
5042548	10116.ENSRNOP00000015393	74.1
5043958	10116.ENSRNOP00000019265	73.0
5057133	10116.ENSRNOP00000064500	71.9
5043619	10116.ENSRNOP00000018310	71.9
5044969	10116.ENSRNOP00000022029	71.9
5041470	10116.ENSRNOP00000012325	70.7
5045072	10116.ENSRNOP00000022319	69.6
5041060	10116.ENSRNOP00000011175	69.6
5058569	10116.ENSRNOP00000066312	68.4
5043731	10116.ENSRNOP00000018598	67.3
5057089	10116.ENSRNOP00000064445	66.2
5050761	10116.ENSRNOP00000041940	66.2
5045271	10116.ENSRNOP00000022822	66.2
5045664	10116.ENSRNOP00000023860	65.0
5040192	10116.ENSRNOP00000008813	63.9
5038721	10116.ENSRNOP00000004370	63.9
5058466	10116.ENSRNOP00000066181	62.7
5040883	10116.ENSRNOP00000010674	62.7
5048655	10116.ENSRNOP00000033253	62.7
5040296	10116.ENSRNOP00000009100	61.6
5041303	10116.ENSRNOP00000011846	60.5
5056268	10116.ENSRNOP00000062744	60.5
5037333	10116.ENSRNOP00000000134	60.5
5037943	10116.ENSRNOP00000001961	59.3
5047002	10116.ENSRNOP00000027264	59.3
5038480	10116.ENSRNOP00000003696	57.0
5048215	10116.ENSRNOP00000031325	57.0
5045990	10116.ENSRNOP00000024712	55.9
5053491	10116.ENSRNOP00000052049	55.9
5040050	10116.ENSRNOP00000008337	55.9
5040300	10116.ENSRNOP00000009111	53.6
