#id: 2740999425
#name: Rattus norvegicus - Utricle epithelia, 2 measurement: sum of MS2 intensity (Wilmarthetal.,scidata,2015)
#score: 9.1
#description: abundance based on 2 measurement: sum of MS2 intensity, Interaction consistency score: 9.1, Coverage: 3
#organ: UTRICLE_EPITHELIA
#integrated: false
#coverage: 3
#link: http://www.ncbi.nlm.nih.gov/pubmed/26645194
#publication_year: 2015
#filename: 10116-PXD_Wilmarth_Sci_Data_2015_rat_utricle_epithelia.txt
#
#string_external_id	abundance
10116.ENSRNOP00000044986	161015
10116.ENSRNOP00000024084	126962
10116.ENSRNOP00000046711	51838
10116.ENSRNOP00000065711	48871
10116.ENSRNOP00000038745	23502
10116.ENSRNOP00000008094	21885
10116.ENSRNOP00000025064	21002
10116.ENSRNOP00000005872	18335
10116.ENSRNOP00000040819	18195
10116.ENSRNOP00000020478	18168
10116.ENSRNOP00000009556	16285
10116.ENSRNOP00000004091	16202
10116.ENSRNOP00000003965	15051
10116.ENSRNOP00000022983	12901
10116.ENSRNOP00000050605	11951
10116.ENSRNOP00000019552	11451
10116.ENSRNOP00000027700	10134
10116.ENSRNOP00000014704	10034
10116.ENSRNOP00000001500	9918
10116.ENSRNOP00000009179	9818
10116.ENSRNOP00000015152	9451
10116.ENSRNOP00000017965	7351
10116.ENSRNOP00000024106	7251
10116.ENSRNOP00000064960	7079
10116.ENSRNOP00000064632	7034
10116.ENSRNOP00000001958	6684
10116.ENSRNOP00000061058	6514
10116.ENSRNOP00000051841	5784
10116.ENSRNOP00000022828	5601
10116.ENSRNOP00000028093	5311
10116.ENSRNOP00000059624	5017
10116.ENSRNOP00000015122	5000
10116.ENSRNOP00000025980	4950
10116.ENSRNOP00000008477	4690
10116.ENSRNOP00000012996	4517
10116.ENSRNOP00000023132	4300
10116.ENSRNOP00000053135	4184
10116.ENSRNOP00000008728	4100
10116.ENSRNOP00000052160	3984
10116.ENSRNOP00000011429	3700
10116.ENSRNOP00000049143	3634
10116.ENSRNOP00000043003	3560
10116.ENSRNOP00000040859	3400
10116.ENSRNOP00000024304	3300
10116.ENSRNOP00000023935	3134
10116.ENSRNOP00000018462	3034
10116.ENSRNOP00000067409	2734
10116.ENSRNOP00000017468	2517
10116.ENSRNOP00000051840	2484
10116.ENSRNOP00000063666	2400
10116.ENSRNOP00000019529	2379
10116.ENSRNOP00000025857	2317
10116.ENSRNOP00000029144	2317
