#id: 1236270217
#name: N.meningitidis MC58 - Whole organism, SC (Gpm,aug,2014)
#score: 2.8
#weight: 100%
#description: abundance based on Spectral counting, Interaction consistency score: 2.8, Coverage: 20
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 20
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 122586-GPM_201408.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
61165719	122586.NMB1053	100050	1197
61166655	122586.NMB2039	83767	1218
61165066	122586.NMB0382	79705	438
61166071	122586.NMB1429	47202	892
61165339	122586.NMB0663	22294	63
61164730	122586.NMB0026	20770	129
61164722	122586.NMB0018	20523	180
61164819	122586.NMB0124	17944	792
61164834	122586.NMB0139	17781	788
61164900	122586.NMB0205	16421	120
61166592	122586.NMB1972	13044	344
61165226	122586.NMB0546	12555	181
61166493	122586.NMB1870	12092	193
61165439	122586.NMB0763	11010	213
61165701	122586.NMB1035	10831	31
61166708	122586.NMB2095	9138	76
61164850	122586.NMB0155	8638	14
61164840	122586.NMB0145	8230	98
61165311	122586.NMB0634	7837	73
61165625	122586.NMB0954	7297	107
61166210	122586.NMB1574	7284	96
61165781	122586.NMB1124	6530	78
61165818	122586.NMB1162	6530	78
61165631	122586.NMB0960	6469	106
61165957	122586.NMB1309	6342	92
61166554	122586.NMB1934	6311	150
61166766	122586.NMB2159	6124	66
61165029	122586.NMB0345	6112	80
61165783	122586.NMB1126	5942	140
61165820	122586.NMB1164	5942	140
61165989	122586.NMB1341	5883	197
61165617	122586.NMB0946	5698	75
61165630	122586.NMB0959	5626	126
61166556	122586.NMB1936	5600	159
61166156	122586.NMB1518	4729	89
61164723	122586.NMB0019	4563	39
61164725	122586.NMB0021	4543	36
61166603	122586.NMB1985	4483	284
61166343	122586.NMB1710	4241	100
61165720	122586.NMB1055	4163	47
61164863	122586.NMB0168	4145	62
61165981	122586.NMB1333	4143	77
61165265	122586.NMB0586	3918	34
61166175	122586.NMB1538	3647	56
61165934	122586.NMB1285	3606	64
61165608	122586.NMB0937	3600	18
61165990	122586.NMB1342	3445	70
61166583	122586.NMB1963	3431	34
61166704	122586.NMB2091	3416	41
61165019	122586.NMB0335	3409	44
61164745	122586.NMB0041	3389	36
61165283	122586.NMB0604	3322	52
61165376	122586.NMB0700	3237	250
61166240	122586.NMB1604	3141	41
61164833	122586.NMB0138	3031	76
61166472	122586.NMB1849	2971	41
61165980	122586.NMB1332	2875	55
61166256	122586.NMB1620	2838	57
61166287	122586.NMB1652	2827	51
61165868	122586.NMB1213	2771	23
61164828	122586.NMB0133	2739	212
61165601	122586.NMB0929	2696	33
61164838	122586.NMB0143	2656	36
61165928	122586.NMB1279	2655	45
61165220	122586.NMB0540	2650	50
61166746	122586.NMB2139	2605	42
61165600	122586.NMB0928	2604	59
61165459	122586.NMB0783	2553	25
61164908	122586.NMB0214	2539	70
61164823	122586.NMB0128	2521	36
61166024	122586.NMB1379	2521	58
61164862	122586.NMB0167	2500	29
61165722	122586.NMB1057	2499	50
61166616	122586.NMB1998	2489	203
61166135	122586.NMB1497	2478	112
61165230	122586.NMB0550	2452	25
61165379	122586.NMB0703	2452	43
61165383	122586.NMB0707	2447	33
61166492	122586.NMB1869	2441	24
61166588	122586.NMB1968	2429	53
61164832	122586.NMB0137	2419	17
61165318	122586.NMB0641	2391	16
61166487	122586.NMB1864	2363	30
61164898	122586.NMB0203	2363	34
61165615	122586.NMB0944	2356	104
61164973	122586.NMB0281	2334	52
61166101	122586.NMB1460	2318	17
61166421	122586.NMB1796	2277	11
61165627	122586.NMB0956	2197	29
61165138	122586.NMB0456	2179	51
61165308	122586.NMB0631	2150	41
61164787	122586.NMB0088	2095	49
61166478	122586.NMB1855	2078	101
61165399	122586.NMB0723	2019	5
61164849	122586.NMB0154	2015	17
61165547	122586.NMB0873	1992	16
61164827	122586.NMB0132	1975	149
61165360	122586.NMB0684	1970	15
61166087	122586.NMB1445	1936	28
61164902	122586.NMB0207	1921	30
61166204	122586.NMB1567	1885	27
61166623	122586.NMB2005	1868	35
61166034	122586.NMB1390	1853	19
61165143	122586.NMB0461	1814	99
61166715	122586.NMB2102	1727	29
61165210	122586.NMB0530	1711	41
61166016	122586.NMB1369	1698	9
61166245	122586.NMB1609	1643	23
61165971	122586.NMB1323	1621	9
61164860	122586.NMB0165	1613	5
61165024	122586.NMB0340	1610	9
61166208	122586.NMB1572	1590	76
61164710	122586.NMB0006	1580	14
61166019	122586.NMB1372	1573	27
61166196	122586.NMB1559	1569	26
61164874	122586.NMB0179	1558	13
61166542	122586.NMB1921	1537	28
61166693	122586.NMB2079	1535	25
61165972	122586.NMB1324	1514	20
61165856	122586.NMB1201	1484	39
61165477	122586.NMB0801	1451	21
61164876	122586.NMB0181	1449	10
61164831	122586.NMB0136	1438	4
61165020	122586.NMB0336	1434	22
61164852	122586.NMB0157	1431	14
61165635	122586.NMB0964	1425	52
61166220	122586.NMB1584	1423	13
61165628	122586.NMB0957	1416	27
61164804	122586.NMB0109	1405	34
61165010	122586.NMB0325	1375	5
61165737	122586.NMB1073	1346	32
61166038	122586.NMB1394	1323	6
61165444	122586.NMB0768	1300	31
61165254	122586.NMB0575	1291	5
61165961	122586.NMB1313	1270	29
61165549	122586.NMB0875	1264	16
61164714	122586.NMB0010	1262	32
61164769	122586.NMB0068	1262	24
61165593	122586.NMB0920	1252	45
61166082	122586.NMB1440	1243	14
61165626	122586.NMB0955	1243	56
61166589	122586.NMB1969	1242	68
61165347	122586.NMB0671	1235	20
61165300	122586.NMB0622	1219	12
61164754	122586.NMB0052	1217	27
61165128	122586.NMB0446	1207	26
61164837	122586.NMB0142	1206	13
61166683	122586.NMB2068	1196	20
61165696	122586.NMB1030	1188	14
61166754	122586.NMB2147	1180	17
61164844	122586.NMB0149	1170	8
61164826	122586.NMB0131	1170	6
61166415	122586.NMB1789	1162	8
61165274	122586.NMB0595	1160	12
61166523	122586.NMB1902	1149	20
61165968	122586.NMB1320	1146	12
61166447	122586.NMB1823	1140	23
61165110	122586.NMB0427	1137	28
61165400	122586.NMB0724	1133	20
61166209	122586.NMB1573	1124	17
61166202	122586.NMB1565	1112	9
61164869	122586.NMB0174	1109	52
61166194	122586.NMB1557	1103	9
61165233	122586.NMB0554	1097	33
61166217	122586.NMB1581	1092	26
61166107	122586.NMB1468	1078	8
61166312	122586.NMB1678	1075	24
61164913	122586.NMB0219	1069	13
61165296	122586.NMB0618	1067	29
61165463	122586.NMB0787	1055	10
61165697	122586.NMB1031	1045	22
61165144	122586.NMB0462	1039	30
61165434	122586.NMB0758	1031	35
61165724	122586.NMB1060	997	14
61165949	122586.NMB1301	995	21
61165174	122586.NMB0493	988	133
61165043	122586.NMB0359	980	19
61166396	122586.NMB1768	978	128
61165085	122586.NMB0401	971	53
61165035	122586.NMB0351	956	17
61166098	122586.NMB1457	946	33
61165375	122586.NMB0699	920	20
61165295	122586.NMB0617	906	29
61165253	122586.NMB0574	905	18
61166671	122586.NMB2056	900	5
61164822	122586.NMB0127	884	6
61166036	122586.NMB1392	879	19
61165544	122586.NMB0870	875	9
61166216	122586.NMB1580	874	10
61166283	122586.NMB1648	866	8
61166566	122586.NMB1946	862	12
61166111	122586.NMB1472	858	38
61165490	122586.NMB0814	833	16
61165854	122586.NMB1199	817	22
61165151	122586.NMB0469	810	7
61164899	122586.NMB0204	806	8
61165358	122586.NMB0682	804	15
61165091	122586.NMB0407	801	11
61165992	122586.NMB1344	796	25
61165519	122586.NMB0845	795	15
61165550	122586.NMB0876	790	8
61165862	122586.NMB1207	782	12
61165288	122586.NMB0609	775	3
61165844	122586.NMB1188	761	36
61165807	122586.NMB1150	761	36
61166136	122586.NMB1498	747	17
61165486	122586.NMB0810	732	5
61165011	122586.NMB0326	729	12
61165664	122586.NMB0995	727	8
61165480	122586.NMB0804	726	8
61165884	122586.NMB1230	707	5
61165314	122586.NMB0637	706	18
61166675	122586.NMB2060	694	13
61165713	122586.NMB1047	692	5
61166029	122586.NMB1384	678	30
61164984	122586.NMB0294	676	11
61166497	122586.NMB1874	672	12
61165059	122586.NMB0375	670	10
61165328	122586.NMB0652	670	10
61166463	122586.NMB1839	669	19
61165929	122586.NMB1280	666	18
61166114	122586.NMB1475	665	12
61165905	122586.NMB1252	661	9
61166614	122586.NMB1996	655	41
61165942	122586.NMB1293	654	3
61165264	122586.NMB0585	653	96
61165338	122586.NMB0662	647	5
61166761	122586.NMB2154	647	5
61165932	122586.NMB1283	628	10
61166758	122586.NMB2151	625	13
61166018	122586.NMB1371	615	13
61166595	122586.NMB1976	614	16
61166569	122586.NMB1949	611	16
61166714	122586.NMB2101	607	10
61164976	122586.NMB0284	603	12
61165522	122586.NMB0848	603	4
61164737	122586.NMB0033	600	13
61166013	122586.NMB1366	598	5
61165148	122586.NMB0466	591	19
61164864	122586.NMB0169	590	3
61165450	122586.NMB0774	584	5
61164748	122586.NMB0044	579	20
61166438	122586.NMB1814	569	7
61166252	122586.NMB1616	564	4
61165302	122586.NMB0625	562	4
61166613	122586.NMB1995	562	5
61166618	122586.NMB2000	559	9
61164875	122586.NMB0180	556	11
61166429	122586.NMB1805	552	4
61166070	122586.NMB1428	549	13
61166434	122586.NMB1810	545	8
61166057	122586.NMB1415	542	99
61164801	122586.NMB0106	542	9
61166311	122586.NMB1677	533	7
61164772	122586.NMB0071	531	12
61165867	122586.NMB1212	524	5
61166037	122586.NMB1393	522	9
