#id: 1210987017
#name: Streptococcus pyogenes - Whole organism, SC (Gpm,aug,2014)
#score: 11.2
#description: abundance based on Spectral counting, Interaction consistency score: 11.2, Coverage: 42
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 42
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 1314-160490_GPM_201408.txt
#
#string_external_id	abundance	raw_spectral_count
1314.HKU360_01015	62987	596
1314.HKU360_01851	27823	141502
1314.HKU360_01265	25089	20653
1314.HKU360_00100	23944	2693
1314.HKU360_00861	21058	29880
1314.HKU360_00090	20946	555
1314.HKU360_01724	20589	868
1314.HKU360_00273	17862	66706
1314.HKU360_00093	16388	5547
1314.HKU360_00567	16088	86264
1314.HKU360_01154	15667	9365
1314.HKU360_01677	13665	8618
1314.HKU360_01725	12588	21952
1314.HKU360_00519	12352	52819
1314.HKU360_00091	12312	10942
1314.HKU360_00085	12103	1949
1314.HKU360_00991	12014	2812
1314.HKU360_01826	11860	2567
1314.HKU360_01765	11345	6946
1314.HKU360_01929	10884	398
1314.HKU360_01016	10421	14306
1314.HKU360_00520	10316	22236
1314.HKU360_00632	10108	6873
1314.HKU360_00631	9901	1216
1314.HKU360_00662	9900	2946
1314.HKU360_00096	9128	5157
1314.HKU360_01675	9104	2044
1314.HKU360_00089	8919	16391
1314.HKU360_00733	8742	2231
1314.HKU360_00082	8266	8572
1314.HKU360_01548	8182	1613
1314.HKU360_00086	7630	982
1314.HKU360_00088	7567	5443
1314.HKU360_00087	7548	4130
1314.HKU360_00095	7126	2498
1314.HKU360_00645	6976	5800
1314.HKU360_00094	6521	11165
1314.HKU360_01553	6410	32071
1314.HKU360_00271	6367	8354
1314.HKU360_01928	6229	2214
1314.HKU360_00080	6173	13666
1314.HKU360_00102	6092	4691
1314.HKU360_00608	6062	888
1314.HKU360_01434	5977	5548
1314.HKU360_00727	5916	18542
1314.HKU360_01719	5864	27410
1314.HKU360_00083	5773	9960
1314.HKU360_01152	5728	26224
1314.HKU360_01854	5710	19904
1314.HKU360_00104	5599	4977
1314.HKU360_01943	5554	11842
1314.HKU360_00084	5552	4490
1314.HKU360_00078	5496	8937
1314.HKU360_01893	5464	16081
1314.HKU360_01031	5427	29405
1314.HKU360_00406	5311	6611
1314.HKU360_01198	5217	12514
1314.HKU360_01730	5161	16637
1314.HKU360_00079	5126	3708
1314.HKU360_01881	5117	10072
1314.HKU360_00076	5066	2965
1314.HKU360_01879	5053	2026
1314.HKU360_00092	4968	6655
