#id: 21947791
#name: S.pyogenes M1GAS - Whole organism, N , SC (Okamoto,bmc_microbiol,2011)
#score: 13.7
#weight:  100%
#description: abundance based on Spectral counting, N , Interaction consistency score: 13.7, Coverage: 57
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 57
#link: http://www.ncbi.nlm.nih.gov/pubmed?term=22070424
#publication_year: 2011
#filename: 1314-StreptococcusPyogenes_M1GAS_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
126566	1314.HKU360_01851	51657	13292
124909	1314.HKU360_00100	29935	230
125903	1314.HKU360_01154	23501	496
125617	1314.HKU360_00861	20169	988
126011	1314.HKU360_01265	18522	813
124899	1314.HKU360_00090	13331	85
124894	1314.HKU360_00085	12772	183
125492	1314.HKU360_00733	12184	170
125057	1314.HKU360_00273	12159	2203
126451	1314.HKU360_01724	12156	126
126543	1314.HKU360_01826	12076	171
124902	1314.HKU360_00093	11975	321
124895	1314.HKU360_00086	11122	192
125396	1314.HKU360_00631	10845	117
125425	1314.HKU360_00662	10688	231
126569	1314.HKU360_01854	10535	1665
126164	1314.HKU360_01434	10190	547
125745	1314.HKU360_00991	10093	121
126642	1314.HKU360_01929	9895	57
124897	1314.HKU360_00088	9870	370
126485	1314.HKU360_01765	9639	319
126404	1314.HKU360_01677	9279	356
124891	1314.HKU360_00082	9000	526
124905	1314.HKU360_00096	8740	366
125289	1314.HKU360_00519	8655	1679
125335	1314.HKU360_00567	8477	1947
124889	1314.HKU360_00080	8392	985
124900	1314.HKU360_00091	8360	339
125770	1314.HKU360_01016	8138	747
124898	1314.HKU360_00089	8042	683
125055	1314.HKU360_00271	8032	494
125769	1314.HKU360_01015	7859	46
124904	1314.HKU360_00095	7702	132
124896	1314.HKU360_00087	6949	257
125487	1314.HKU360_00727	6861	971
125290	1314.HKU360_00520	6570	764
124892	1314.HKU360_00083	6323	497
125616	1314.HKU360_00860	6323	455
124888	1314.HKU360_00079	6168	260
125054	1314.HKU360_00270	6076	354
126452	1314.HKU360_01725	6022	562
126280	1314.HKU360_01553	5876	1613
126059	1314.HKU360_01314	5682	1076
125374	1314.HKU360_00608	5675	97
124890	1314.HKU360_00081	5629	262
126594	1314.HKU360_01881	5584	579
124911	1314.HKU360_00102	5376	232
126551	1314.HKU360_01834	5259	1318
126656	1314.HKU360_01943	5251	498
125901	1314.HKU360_01152	5245	1328
125605	1314.HKU360_00848	5217	380
125795	1314.HKU360_01043	5100	1055
126446	1314.HKU360_01719	5051	1130
125409	1314.HKU360_00645	5011	259
126486	1314.HKU360_01766	4855	311
125944	1314.HKU360_01198	4841	577
126624	1314.HKU360_01911	4817	174
124887	1314.HKU360_00078	4752	474
124903	1314.HKU360_00094	4740	436
