#id: 2162074133
#name: Streptococcus pyogenes - Whole organism (Integrated)
#score: 12.3
#coverage: 66
#description: integrated dataset: weighted average of all Streptococcus pyogenes WHOLE_ORGANISM: 12.3, Coverage: 66
#organ: WHOLE_ORGANISM
#integrated: true
#weights: StreptococcusPyogenes_M1GAS_PRIDE:0.509;atlas_build_101:0.174;160490-PA_200702:0.165;160490_GPM_201408:0.153;
#publication_year: 2023
#filename: 1314-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
126566	1314.HKU360_01851	30585
125617	1314.HKU360_00861	29474
124909	1314.HKU360_00100	20861
126011	1314.HKU360_01265	19752
125769	1314.HKU360_01015	19541
125903	1314.HKU360_01154	18842
124902	1314.HKU360_00093	17093
125057	1314.HKU360_00273	15516
125335	1314.HKU360_00567	12996
125745	1314.HKU360_00991	12550
125425	1314.HKU360_00662	11696
126404	1314.HKU360_01677	10935
125397	1314.HKU360_00632	10823
124905	1314.HKU360_00096	10195
125289	1314.HKU360_00519	10157
126451	1314.HKU360_01724	10157
124899	1314.HKU360_00090	9976
126543	1314.HKU360_01826	9920
126485	1314.HKU360_01765	9909
124894	1314.HKU360_00085	9815
124900	1314.HKU360_00091	9778
125290	1314.HKU360_00520	9439
125770	1314.HKU360_01016	8949
126452	1314.HKU360_01725	8728
125492	1314.HKU360_00733	8613
124891	1314.HKU360_00082	8532
125396	1314.HKU360_00631	8380
126642	1314.HKU360_01929	7913
124898	1314.HKU360_00089	7876
125409	1314.HKU360_00645	7844
124897	1314.HKU360_00088	7792
124904	1314.HKU360_00095	7398
125055	1314.HKU360_00271	7275
124889	1314.HKU360_00080	7208
124895	1314.HKU360_00086	7141
125901	1314.HKU360_01152	6875
125616	1314.HKU360_00860	6833
124896	1314.HKU360_00087	6712
126446	1314.HKU360_01719	6685
126032	1314.HKU360_01287	6540
124901	1314.HKU360_00092	6440
126164	1314.HKU360_01434	6342
125487	1314.HKU360_00727	6313
126569	1314.HKU360_01854	6229
126280	1314.HKU360_01553	6137
126456	1314.HKU360_01730	5975
124913	1314.HKU360_00104	5792
126594	1314.HKU360_01881	5784
124903	1314.HKU360_00094	5684
124892	1314.HKU360_00083	5640
124887	1314.HKU360_00078	5353
124893	1314.HKU360_00084	5317
125785	1314.HKU360_01032	5290
126402	1314.HKU360_01675	5189
125325	1314.HKU360_00556	5087
124888	1314.HKU360_00079	5087
126593	1314.HKU360_01879	5049
126275	1314.HKU360_01548	5035
126656	1314.HKU360_01943	5020
125330	1314.HKU360_00561	5010
125182	1314.HKU360_00406	4889
124911	1314.HKU360_00102	4887
126606	1314.HKU360_01893	4835
125784	1314.HKU360_01031	4754
125944	1314.HKU360_01198	4699
125374	1314.HKU360_00608	4616
126551	1314.HKU360_01834	4583
126059	1314.HKU360_01314	4561
