#id: 1357065355
#name: S.pneumoniae TIGR - Whole organism, SC (Peptideatlas,jun,2019)
#score: 10.9
#weight: 100%
#description: abundance based on Spectral counting, Interaction consistency score: 10.9, Coverage: 63
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 63
#link: http://www.peptideatlas.org/
#publication_year: 2019
#filename: 170187-Streptococcus-pneumoniae-TIGR_PA_2019-06.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
10359743	170187.SP_2012	15961	15349
10358942	170187.SP_1177	13112	2663
10358893	170187.SP_1128	9783	16309
10358405	170187.SP_0605	8513	4789
10359860	170187.SP_2135	8497	457
10358879	170187.SP_1113	8474	2187
10358305	170187.SP_0499	8261	10402
10358787	170187.SP_1017	7968	476
10359168	170187.SP_1414	7857	499
10359540	170187.SP_1805	7498	505
10359286	170187.SP_1541	7140	1921
10359284	170187.SP_1539	7070	768
10358982	170187.SP_1220	6761	5560
10358520	170187.SP_0730	6714	10455
10359539	170187.SP_1804	6579	5799
10359059	170187.SP_1299	6401	1651
10358229	170187.SP_0418	6325	981
10358039	170187.SP_0216	6188	1443
10358032	170187.SP_0209	6182	2274
10358057	170187.SP_0234	6179	2389
10358047	170187.SP_0224	5935	2104
10358116	170187.SP_0295	5907	1243
10358049	170187.SP_0226	5796	786
10358677	170187.SP_0897	5793	8355
10359247	170187.SP_1499	5791	2209
10359316	170187.SP_1572	5682	2802
10358044	170187.SP_0221	5608	3386
10358233	170187.SP_0422	5553	5213
10358684	170187.SP_0906	5548	153
10358041	170187.SP_0218	5492	898
10358250	170187.SP_0441	5451	383
10358048	170187.SP_0225	5339	1923
10359933	170187.SP_2215	5244	4768
10357914	170187.SP_0085	5164	4004
10358735	170187.SP_0961	5100	1443
10359109	170187.SP_1355	5077	2334
10358052	170187.SP_0229	5042	1250
10358051	170187.SP_0228	5024	833
10358038	170187.SP_0215	4962	3067
10358056	170187.SP_0233	4959	321
10358050	170187.SP_0227	4923	2856
10358058	170187.SP_0235	4903	1401
10358060	170187.SP_0237	4854	1458
10359934	170187.SP_2216	4775	4405
10359395	170187.SP_1655	4742	3982
10358037	170187.SP_0214	4726	1872
10358429	170187.SP_0630	4565	1843
10357946	170187.SP_0117	4509	6653
10358622	170187.SP_0838	4463	433
10358031	170187.SP_0208	4429	1208
10358607	170187.SP_0822	4355	931
10358093	170187.SP_0272	4353	1799
10358043	170187.SP_0220	4287	1275
10358629	170187.SP_0845	4213	4014
10357951	170187.SP_0122	4209	944
10359932	170187.SP_2214	4165	4262
10358033	170187.SP_0210	3934	2193
10358430	170187.SP_0631	3911	2734
10358034	170187.SP_0211	3885	1546
10358115	170187.SP_0294	3868	2020
10358676	170187.SP_0896	3846	2968
10358042	170187.SP_0219	3844	1081
10358040	170187.SP_0217	3825	566
10358232	170187.SP_0421	3822	2674
10359318	170187.SP_1574	3708	2282
10358045	170187.SP_0222	3662	274
10359220	170187.SP_1469	3626	4237
10358245	170187.SP_0435	3611	1455
10359859	170187.SP_2134	3555	355
10358260	170187.SP_0451	3446	722
10359065	170187.SP_1306	3315	4413
10358868	170187.SP_1102	3290	648
10358092	170187.SP_0271	3193	1157
10359511	170187.SP_1776	3179	1698
10359926	170187.SP_2206	3161	1576
10359366	170187.SP_1626	3090	769
10359624	170187.SP_1891	3065	5350
10358105	170187.SP_0284	3047	3136
10358059	170187.SP_0236	3024	2436
10359406	170187.SP_1666	2948	3470
10358055	170187.SP_0232	2941	439
10359701	170187.SP_1970	2720	3621
10359616	170187.SP_1882	2714	578
10358036	170187.SP_0213	2664	983
10358190	170187.SP_0375	2663	4460
10358721	170187.SP_0945	2612	1138
10359264	170187.SP_1517	2574	1218
10358256	170187.SP_0447	2561	2101
10358463	170187.SP_0670	2540	446
10359246	170187.SP_1498	2518	5442
10358941	170187.SP_1176	2492	4361
10358553	170187.SP_0764	2480	2390
10358873	170187.SP_1107	2472	850
10359256	170187.SP_1508	2444	4023
10359653	170187.SP_1922	2434	1336
10358755	170187.SP_0981	2413	2619
10358322	170187.SP_0516	2404	972
10358099	170187.SP_0278	2388	2276
10358555	170187.SP_0766	2322	1678
10358054	170187.SP_0231	2317	1831
10359349	170187.SP_1607	2316	2235
10359826	170187.SP_2100	2296	3068
10358885	170187.SP_1119	2273	3748
10359760	170187.SP_2030	2273	4956
10359207	170187.SP_1456	2263	1433
10359390	170187.SP_1650	2229	1856
10359654	170187.SP_1923	2227	4203
10358647	170187.SP_0867	2220	2077
10358230	170187.SP_0419	2208	1817
10358222	170187.SP_0411	2192	2756
10359290	170187.SP_1546	2179	1655
10359332	170187.SP_1588	2170	3259
10359387	170187.SP_1647	2150	4827
10358457	170187.SP_0664	2149	11863
10359639	170187.SP_1907	2146	896
10358586	170187.SP_0797	2089	6618
10359391	170187.SP_1651	2052	1533
10359258	170187.SP_1510	2034	2589
10359946	170187.SP_2228	2032	3176
10358673	170187.SP_0893	2000	552
10359828	170187.SP_2102	1944	623
10358871	170187.SP_1105	1943	380
10357924	170187.SP_0095	1916	2019
10359690	170187.SP_1959	1915	645
10359756	170187.SP_2026	1904	4400
10358534	170187.SP_0745	1900	1622
10358955	170187.SP_1190	1892	2240
10358944	170187.SP_1179	1891	4036
10359834	170187.SP_2108	1890	2803
10359311	170187.SP_1567	1886	453
10358016	170187.SP_0192	1879	466
10359818	170187.SP_2092	1859	1684
10359730	170187.SP_1999	1854	2257
10358474	170187.SP_0681	1842	2676
10359149	170187.SP_1395	1841	1687
10359439	170187.SP_1700	1840	1713
10359873	170187.SP_2150	1840	1936
10359692	170187.SP_1961	1834	5988
10358234	170187.SP_0423	1811	633
10359196	170187.SP_1445	1809	3218
10359265	170187.SP_1518	1808	2922
10358308	170187.SP_0502	1782	2731
10359407	170187.SP_1667	1780	2016
10359620	170187.SP_1887	1776	1867
10359057	170187.SP_1297	1726	530
10358831	170187.SP_1062	1724	2079
10358802	170187.SP_1032	1710	1606
10359126	170187.SP_1372	1704	1004
10357888	170187.SP_0058	1673	726
10359475	170187.SP_1737	1672	384
10359691	170187.SP_1960	1665	6300
10358085	170187.SP_0264	1647	3419
10358736	170187.SP_0962	1627	265
10358642	170187.SP_0861	1625	542
10358087	170187.SP_0266	1617	3709
10359784	170187.SP_2055	1612	1649
10358102	170187.SP_0281	1583	2601
10358648	170187.SP_0868	1577	1315
10358573	170187.SP_0784	1569	1469
10359213	170187.SP_1462	1551	588
10359710	170187.SP_1979	1546	1277
10359774	170187.SP_2044	1539	2156
10358252	170187.SP_0443	1538	2299
10357973	170187.SP_0148	1531	1284
10359878	170187.SP_2156	1528	1770
10359279	170187.SP_1534	1526	1541
10359956	170187.SP_2239	1519	1814
10359910	170187.SP_2190	1517	2200
10358226	170187.SP_0415	1511	1514
10359115	170187.SP_1361	1509	2524
10359401	170187.SP_1661	1508	1320
10358779	170187.SP_1008	1500	1663
10359248	170187.SP_1500	1497	1555
10359113	170187.SP_1359	1497	1590
10357845	170187.SP_0012	1495	883
10358422	170187.SP_0622	1491	753
10358251	170187.SP_0442	1487	382
10358535	170187.SP_0746	1480	720
10358538	170187.SP_0749	1468	1998
10359805	170187.SP_2078	1467	3255
10358545	170187.SP_0756	1451	1099
10358360	170187.SP_0556	1438	3219
10357851	170187.SP_0019	1426	2387
10358439	170187.SP_0641	1415	8478
10359209	170187.SP_1458	1411	1315
10359823	170187.SP_2097	1402	817
10359317	170187.SP_1573	1400	2396
10359219	170187.SP_1468	1398	1241
10358860	170187.SP_1093	1381	429
10359003	170187.SP_1242	1380	832
10357846	170187.SP_0013	1378	2473
10359324	170187.SP_1580	1373	1684
10359924	170187.SP_2204	1368	777
10358841	170187.SP_1073	1356	1438
10359872	170187.SP_2148	1352	1968
10358231	170187.SP_0420	1347	1474
10358852	170187.SP_1084	1337	1186
10358615	170187.SP_0831	1335	655
10359328	170187.SP_1584	1319	1160
10358651	170187.SP_0871	1317	2144
10357837	170187.SP_0004	1306	1658
10358505	170187.SP_0715	1291	1790
10358784	170187.SP_1013	1282	1341
10358574	170187.SP_0785	1275	1558
10358267	170187.SP_0459	1273	3410
10359606	170187.SP_1872	1269	1036
10358601	170187.SP_0816	1265	386
10359150	170187.SP_1396	1265	1140
10359798	170187.SP_2069	1264	2118
10359371	170187.SP_1631	1255	2359
10359621	170187.SP_1888	1253	2090
10358423	170187.SP_0623	1246	1711
10359285	170187.SP_1540	1238	638
10358503	170187.SP_0713	1234	1885
10358569	170187.SP_0780	1214	698
10358577	170187.SP_0788	1211	2902
10357858	170187.SP_0027	1207	1215
10359344	170187.SP_1602	1205	255
10358357	170187.SP_0553	1200	1345
10359948	170187.SP_2230	1195	1876
10359154	170187.SP_1400	1189	764
10358560	170187.SP_0771	1187	1019
10358103	170187.SP_0282	1175	1559
10359861	170187.SP_2136	1172	2588
10359321	170187.SP_1577	1170	837
10359671	170187.SP_1940	1169	1321
10359404	170187.SP_1664	1162	556
10359441	170187.SP_1702	1145	3253
10358957	170187.SP_1192	1143	784
10359608	170187.SP_1874	1143	842
10358733	170187.SP_0959	1138	526
10357886	170187.SP_0056	1137	2261
10359257	170187.SP_1509	1134	1201
10359330	170187.SP_1586	1124	1529
10358112	170187.SP_0291	1123	808
10358224	170187.SP_0413	1121	1644
10357840	170187.SP_0007	1120	128
10358244	170187.SP_0434	1116	625
10358390	170187.SP_0588	1111	2458
10358076	170187.SP_0254	1103	2206
10358696	170187.SP_0919	1099	1221
10358246	170187.SP_0436	1088	1567
10359229	170187.SP_1478	1087	1114
10358945	170187.SP_1180	1086	1154
10359029	170187.SP_1269	1084	975
10358531	170187.SP_0742	1083	993
10359240	170187.SP_1491	1079	697
10359440	170187.SP_1701	1067	1188
10358613	170187.SP_0829	1063	1443
10359044	170187.SP_1284	1063	851
10358426	170187.SP_0627	1063	1107
10357990	170187.SP_0165	1062	694
10359047	170187.SP_1287	1058	1763
10358991	170187.SP_1229	1048	1622
10358565	170187.SP_0776	1047	259
