#id: 748087191
#name: Leptospira interrogans serovar Lai str. 56601 - Whole organism, SC (Malmström,nature,2009)
#score: 7.8
#description: abundance based on Spectral counting, Interaction consistency score: 7.8, Coverage: 56
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 56
#link: http://www.ncbi.nlm.nih.gov/pubmed/19606093
#publication_year: 2009
#filename: 189518-Leptospira_build_121.peptides.cut.txt
#
#string_external_id	abundance	raw_spectral_count
189518.LB_083	24917	110
189518.LA_2655	11105	2635
189518.LA_2637	11010	1509
189518.LA_1920	9791	499
189518.LA_3961	9588	850
189518.LA_2017	9229	1745
189518.LA_0011	8898	423
189518.LA_2325	8718	242
189518.LA_0616	8619	1366
189518.LA_0737	8420	2246
189518.LA_2654	7795	226
189518.LA_2066	7274	765
189518.LA_0411	6839	1113
189518.LA_3839	6816	342
189518.LA_1719	6607	1352
189518.LA_1253	6540	328
189518.LA_2809	5867	640
189518.LA_0222	5626	515
189518.LA_3421	5531	240
189518.LA_1245	5435	181
189518.LA_0799	5177	375
189518.LA_1044	5009	447
189518.LA_2139	4981	825
189518.LA_2776	4925	1323
189518.LA_2458	4916	147
189518.LA_3982	4504	243
189518.LA_0412	4490	542
189518.LA_0862	4483	345
189518.LA_3705	4235	1176
189518.LA_0471	4215	369
189518.LA_2779	4128	911
189518.LA_2418	4106	807
189518.LA_1953	3705	358
189518.LA_3379	3630	602
189518.LA_0748	3608	28
189518.LA_1313	3598	832
189518.LA_4168	3516	153
189518.LA_1859	3495	789
189518.LA_1532	3484	640
189518.LA_0765	3437	551
189518.LA_3143	3418	660
189518.LA_1101	3395	494
189518.LA_4110	3312	31
189518.LA_0809	3276	405
189518.LA_2759	3184	527
189518.LA_1704	3171	419
189518.LA_4242	3053	525
189518.LA_4067	3024	607
189518.LA_0400	3016	102
189518.LA_2559	2985	244
189518.LA_0828	2962	737
189518.LA_2841	2940	464
189518.LA_0750	2932	30
189518.LA_3484	2914	433
189518.LA_3422	2911	230
189518.LA_2024	2903	642
189518.LA_2633	2848	474
189518.LA_3821	2847	208
189518.LA_0753	2775	136
189518.LA_1102	2763	686
189518.LA_3380	2762	269
189518.LA_1678	2755	196
189518.LA_0076	2744	158
189518.LA_3807	2742	144
189518.LA_3416	2714	201
189518.LA_0754	2669	176
189518.LA_3606	2662	214
189518.LA_2295	2648	434
189518.LA_0052	2645	515
189518.LA_3409	2614	115
189518.LA_3704	2596	141
189518.LA_4138	2582	636
189518.LA_1563	2560	140
189518.LA_0505	2541	494
189518.LA_0629	2535	92
189518.LA_1728	2501	325
189518.LA_0313	2457	825
189518.LA_1675	2446	144
189518.LA_3096	2416	130
189518.LA_0492	2401	283
189518.LA_0738	2375	149
189518.LA_0071	2357	124
189518.LA_3598	2353	185
189518.LA_0760	2349	287
