#id: 225164180
#name: L.interrogans - Whole organism, Ms1 quantification data, MS1 normalized data (Malmström,nature,2009)
#score: 1.2
#weight:  4%
#description: abundance based on MS1 normalized data, MS1 quantification data, Interaction consistency score: 1.2, Coverage: 17
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 17
#link: http://www.ncbi.nlm.nih.gov/pubmed/19606093
#publication_year: 2009
#filename: 189518-controlMS1_Leptospira_Malmstroem_2009.txt
#
#internal_id	string_external_id	abundance
62730989	189518.LA_2637	47963
62729047	189518.LA_0222	38306
62731003	189518.LA_2655	22130
62729450	189518.LA_0737	18182
62729264	189518.LA_0492	17774
62730470	189518.LA_2017	17699
62729207	189518.LA_0411	15614
62730735	189518.LA_2325	15060
62729358	189518.LA_0616	13275
62728875	189518.LA_0011	11131
62730384	189518.LA_1920	10394
62731966	189518.LA_3961	10111
62730074	189518.LA_1532	8825
62731326	189518.LA_3097	8714
62731560	189518.LA_3421	8424
62729902	189518.LA_1313	8413
62731002	189518.LA_2654	8014
62731442	189518.LA_3267	7073
62731354	189518.LA_3138	6859
62731356	189518.LA_3143	6836
62730232	189518.LA_1719	6775
62730475	189518.LA_2024	6651
62731093	189518.LA_2776	6591
62729861	189518.LA_1253	6497
62732254	189518.LA_4327	6451
62729274	189518.LA_0505	6330
62729453	189518.LA_0740	5955
62729208	189518.LA_0412	5781
62730401	189518.LA_1939	5458
62731529	189518.LA_3379	5456
62729742	189518.LA_1102	5446
62730511	189518.LA_2066	5384
62729402	189518.LA_0678	5342
62731141	189518.LA_2841	5241
62729530	189518.LA_0828	4950
62729848	189518.LA_1239	4838
62731562	189518.LA_3423	4828
62731982	189518.LA_3982	4664
62730224	189518.LA_1704	4595
62729469	189518.LA_0756	4576
62731117	189518.LA_2809	4548
62731530	189518.LA_3380	4437
62729455	189518.LA_0742	4422
62730709	189518.LA_2295	4419
62729546	189518.LA_0848	4395
62730814	189518.LA_2418	4389
62730982	189518.LA_2627	4165
62729479	189518.LA_0765	4133
62732183	189518.LA_4242	4003
62729694	189518.LA_1044	3927
62729741	189518.LA_1101	3903
62731779	189518.LA_3705	3828
62731558	189518.LA_3419	3758
62731559	189518.LA_3420	3635
62731095	189518.LA_2779	3595
62729477	189518.LA_0763	3464
62729255	189518.LA_0471	3382
62729064	189518.LA_0242	3333
62731319	189518.LA_3091	3235
62732095	189518.LA_4138	3216
62729065	189518.LA_0243	3192
62728866	189518.LA_0002	3134
62729452	189518.LA_0739	3119
62729458	189518.LA_0745	3110
62731081	189518.LA_2759	3050
62729512	189518.LA_0809	2894
62729121	189518.LA_0313	2778
62729616	189518.LA_0942	2771
62730338	189518.LA_1859	2743
62731563	189518.LA_3424	2733
62731352	189518.LA_3135	2720
62729480	189518.LA_0766	2672
62730061	189518.LA_1517	2571
62730471	189518.LA_2019	2569
62730201	189518.LA_1678	2516
62730574	189518.LA_2138	2369
62731642	189518.LA_3522	2357
62730122	189518.LA_1594	2350
62729471	189518.LA_0758	2336
62731556	189518.LA_3416	2318
62729621	189518.LA_0947	2295
62729464	189518.LA_0751	2261
62731561	189518.LA_3422	2261
62731468	189518.LA_3298	2248
62731236	189518.LA_2968	2219
62729557	189518.LA_0862	2171
62731860	189518.LA_3819	2159
62731564	189518.LA_3425	2149
62731066	189518.LA_2738	2134
62729451	189518.LA_0738	2106
62732115	189518.LA_4159	2058
62731751	189518.LA_3664	2053
62731876	189518.LA_3839	2019
62730096	189518.LA_1563	2017
62729243	189518.LA_0457	2008
62730413	189518.LA_1953	2000
62730524	189518.LA_2083	1978
62731046	189518.LA_2712	1975
62729868	189518.LA_1260	1971
62729855	189518.LA_1245	1964
62732096	189518.LA_4139	1961
62729454	189518.LA_0741	1956
62729679	189518.LA_1021	1951
62729457	189518.LA_0744	1912
62731467	189518.LA_3297	1912
62731551	189518.LA_3409	1908
62730586	189518.LA_2151	1878
62729503	189518.LA_0799	1858
62730701	189518.LA_2286	1858
62730368	189518.LA_1897	1857
62729838	189518.LA_1224	1842
62732040	189518.LA_4067	1839
62728910	189518.LA_0052	1834
62729776	189518.LA_1142	1804
62730891	189518.LA_2512	1792
62728873	189518.LA_0009	1790
62731437	189518.LA_3262	1784
62730773	189518.LA_2372	1761
62730657	189518.LA_2232	1756
62729617	189518.LA_0943	1747
62731862	189518.LA_3821	1746
62732110	189518.LA_4154	1742
62730566	189518.LA_2129	1742
62731528	189518.LA_3378	1731
62730907	189518.LA_2535	1716
62730238	189518.LA_1728	1707
62731241	189518.LA_2973	1694
62730199	189518.LA_1676	1688
62731962	189518.LA_3957	1685
62729478	189518.LA_0764	1677
62730564	189518.LA_2126	1658
62731325	189518.LA_3096	1650
62729496	189518.LA_0790	1650
62729162	189518.LA_0365	1629
62731778	189518.LA_3704	1592
62730198	189518.LA_1675	1557
62728956	189518.LA_0106	1549
62730726	189518.LA_2316	1539
62729070	189518.LA_0250	1524
62729140	189518.LA_0335	1503
62732112	189518.LA_4156	1494
62730832	189518.LA_2436	1477
62731704	189518.LA_3607	1476
62731126	189518.LA_2821	1469
62730223	189518.LA_1703	1447
62729896	189518.LA_1306	1442
62731723	189518.LA_3627	1417
62730142	189518.LA_1614	1395
62729364	189518.LA_0629	1384
62728927	189518.LA_0071	1371
62729770	189518.LA_1137	1365
62729467	189518.LA_0754	1363
62730849	189518.LA_2458	1348
62730859	189518.LA_2468	1342
62729740	189518.LA_1100	1341
62728975	189518.LA_0127	1340
62730057	189518.LA_1513	1336
62730567	189518.LA_2130	1334
62730145	189518.LA_1617	1327
62731470	189518.LA_3301	1320
62729017	189518.LA_0185	1308
62731218	189518.LA_2947	1306
62730787	189518.LA_2387	1303
62730850	189518.LA_2459	1290
62730144	189518.LA_1616	1266
62729950	189518.LA_1378	1258
62729818	189518.LA_1198	1239
62730939	189518.LA_2576	1232
62730391	189518.LA_1929	1230
62731031	189518.LA_2690	1224
62730977	189518.LA_2621	1221
62730519	189518.LA_2077	1216
62729627	189518.LA_0956	1213
62730587	189518.LA_2152	1210
62730929	189518.LA_2560	1208
62729548	189518.LA_0851	1204
62731139	189518.LA_2836	1203
62732146	189518.LA_4198	1191
62729466	189518.LA_0753	1190
62731455	189518.LA_3286	1175
62730080	189518.LA_1539	1171
62730043	189518.LA_1495	1165
62729874	189518.LA_1272	1148
62731255	189518.LA_2992	1143
62730829	189518.LA_2433	1128
62731465	189518.LA_3295	1111
62730930	189518.LA_2561	1108
62732143	189518.LA_4194	1108
62729849	189518.LA_1240	1104
62729473	189518.LA_0760	1099
62729584	189518.LA_0899	1093
62729836	189518.LA_1222	1093
62730721	189518.LA_2309	1082
62729075	189518.LA_0256	1068
62731752	189518.LA_3665	1068
62731013	189518.LA_2667	1048
62730392	189518.LA_1930	1045
62731652	189518.LA_3535	1044
62731097	189518.LA_2781	1031
62731697	189518.LA_3597	1029
62731703	189518.LA_3606	1027
62731440	189518.LA_3265	1025
62731151	189518.LA_2857	1017
62729069	189518.LA_0249	1013
62730076	189518.LA_1535	1010
62729577	189518.LA_0890	1006
62730410	189518.LA_1950	1000
62731842	189518.LA_3795	993
62730420	189518.LA_1960	992
62730411	189518.LA_1951	990
62730588	189518.LA_2153	982
62730514	189518.LA_2071	981
62732162	189518.LA_4216	979
62729484	189518.LA_0776	979
62731597	189518.LA_3470	962
62731153	189518.LA_2859	949
62730595	189518.LA_2162	949
62731112	189518.LA_2800	943
62729911	189518.LA_1328	939
62730655	189518.LA_2230	937
62730103	189518.LA_1572	933
62731937	189518.LA_3928	932
62729091	189518.LA_0278	929
62731848	189518.LA_3801	928
62730012	189518.LA_1459	920
62729459	189518.LA_0746	919
62731650	189518.LA_3533	915
62729191	189518.LA_0395	910
62731813	189518.LA_3748	904
62730921	189518.LA_2550	903
