#id: 1231515390
#name: P.aeruginosa - Whole organism, Biofilm, SC (Toyofuku,j_proteome_res,2012)
#score: 7.2
#weight:  45%
#description: abundance based on Spectral counting, biofilm, Interaction consistency score: 7.2, Coverage: 31
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 31
#link: http://www.ncbi.nlm.nih.gov/pubmed/22909304
#publication_year: 2012
#filename: 208964-Pseudomonas_aeruginosa_SC_biomart_22024_E__1reps.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
63151502	208964.PA4385	8761	229
63149741	208964.PA2623	6508	177
63152368	208964.PA5253	5942	31
63151382	208964.PA4265	5811	318
63151394	208964.PA4277	5811	318
63151374	208964.PA4257	5709	57
63150280	208964.PA3162	5134	162
63151356	208964.PA4239	4962	60
63151383	208964.PA4266	4889	257
63149609	208964.PA2491	4652	91
63151353	208964.PA4236	4413	109
63151684	208964.PA4568	4388	28
63152287	208964.PA5172	4250	76
63151355	208964.PA4238	4242	87
63152286	208964.PA5171	4224	132
63151377	208964.PA4260	4221	61
63150070	208964.PA2952	3902	52
63149859	208964.PA2741	3880	12
63151365	208964.PA4248	3818	29
63149505	208964.PA2386	3805	116
63148896	208964.PA1777	3800	69
63150069	208964.PA2951	3683	47
63151380	208964.PA4263	3672	40
63148706	208964.PA1587	3600	102
63148707	208964.PA1588	3454	104
63150646	208964.PA3529	3427	43
63151387	208964.PA4270	3311	295
63151855	208964.PA4740	3301	135
63151876	208964.PA4761	3251	114
63151386	208964.PA4269	3220	268
63149120	208964.PA2001	3198	63
63148728	208964.PA1609	3196	43
63150094	208964.PA2976	3171	139
63147663	208964.PA0546	3138	65
63147969	208964.PA0852	3064	54
63152161	208964.PA5046	3004	74
63149612	208964.PA2494	2944	122
63150937	208964.PA3820	2923	35
63148705	208964.PA1586	2921	54
63147515	208964.PA0399	2909	76
63147548	208964.PA0432	2907	106
63152130	208964.PA5015	2890	143
63147254	208964.PA0139	2879	43
63147117	208964.PA0002	2847	48
63148702	208964.PA1583	2826	90
63147769	208964.PA0652	2819	37
63151370	208964.PA4253	2813	19
63152672	208964.PA5556	2804	85
63148022	208964.PA0905	2764	6
63151785	208964.PA4670	2730	63
63148906	208964.PA1787	2697	166
63152670	208964.PA5554	2677	88
63151587	208964.PA4470	2646	48
63148889	208964.PA1770	2633	130
63151859	208964.PA4744	2626	109
63147563	208964.PA0447	2625	51
63148699	208964.PA1580	2578	54
63148454	208964.PA1337	2578	49
63150887	208964.PA3770	2569	79
63148209	208964.PA1092	2553	61
63151549	208964.PA4432	2536	18
63150772	208964.PA3655	2523	49
63148919	208964.PA1800	2505	86
63152128	208964.PA5013	2495	38
63150699	208964.PA3582	2470	76
63150938	208964.PA3821	2454	83
63151334	208964.PA4217	2404	47
63150276	208964.PA3158	2400	37
