#id: 2694358263
#name: Shewanella oneidensis - Whole organism, SC (Gpm,aug,2014)
#score: 6.7
#description: abundance based on Spectral counting, Interaction consistency score: 6.7, Coverage: 32
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 32
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 211586-GPM_201408.txt
#
#string_external_id	abundance	raw_spectral_count
211586.SO_1797	56171	1169
211586.SO_2302	27379	203
211586.SO_0223	19129	2312
211586.SO_2787	17812	803
211586.SO_0217	16674	9618
211586.SO_0229	16455	9618
211586.SO_0239	15769	527
211586.SO_2301	15580	16
211586.SO_0250	14228	402
211586.SO_2401	13611	288
211586.SO_2087	11133	446
211586.SO_0227	10496	423
211586.SO_0242	9935	557
211586.SO_0243	9890	628
211586.SO_3545	9877	1881
211586.SO_0704	9583	4434
211586.SO_3537	8777	142
211586.SO_2903	8612	2408
211586.SO_0232	7302	939
211586.SO_3927	7293	549
211586.SO_3765	7060	818
211586.SO_1490	6994	2057
211586.SO_1824	6819	1800
211586.SO_0236	6542	288
211586.SO_0406	6523	503
211586.SO_2427	6435	4745
211586.SO_0247	6346	315
211586.SO_0237	6290	608
211586.SO_0249	6165	114
211586.SO_0234	6033	535
211586.SO_0253	5820	241
211586.SO_3896	5759	2109
211586.SO_3930	5638	608
211586.SO_1825	5610	2231
211586.SO_0257	5544	139
211586.SO_1360	5446	256
211586.SO_3939	5426	213
211586.SO_0244	5332	59
211586.SO_0231	5198	748
211586.SO_0970	5184	2677
211586.SO_4134	5144	93
211586.SO_1630	5089	867
211586.SO_2780	4968	191
211586.SO_0220	4820	308
211586.SO_3237	4670	1956
211586.SO_4247	4650	54
211586.SO_2907	4529	2971
211586.SO_3681	4453	705
211586.SO_0770	4430	1349
211586.SO_0246	4429	714
211586.SO_3146	4417	369
211586.SO_3652	4408	284
211586.SO_0230	4404	232
211586.SO_4410	4290	1732
211586.SO_4749	4280	1368
211586.SO_0248	4258	519
211586.SO_4320	4224	1446
211586.SO_0221	4203	732
211586.SO_0241	4148	282
211586.SO_1126	4092	2275
211586.SO_2745	3930	155
211586.SO_2328	3856	241
211586.SO_1629	3818	721
211586.SO_0222	3797	473
211586.SO_0255	3757	282
211586.SO_0426	3737	1051
211586.SO_4652	3728	1024
211586.SO_2402	3721	1593
211586.SO_1807	3607	406
211586.SO_4349	3560	1710
211586.SO_3988	3543	444
211586.SO_1288	3505	24
211586.SO_0703	3492	341
211586.SO_3942	3395	1230
211586.SO_0256	3392	841
211586.SO_3466	3358	431
211586.SO_0235	3297	211
211586.SO_2912	3288	2129
211586.SO_3962	3258	257
211586.SO_1931	3195	810
211586.SO_3238	3156	1583
211586.SO_3651	3079	112
211586.SO_0360	3019	143
211586.SO_4105	2975	555
211586.SO_0245	2953	201
211586.SO_3888	2924	254
211586.SO_0052	2754	265
