#id: 493709664
#name: A. phagocytophilum str. HZ - Whole organism, NSAF (Villaretal,molcellproteomics_2015)
#score: 1.5
#weight: 100%
#description: abundance based on NSAF, Interaction consistency score: 1.5, Coverage: 4
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 4
#link: http://www.ncbi.nlm.nih.gov/pubmed/26424601
#publication_year: 
#filename: 212042-PXD002181_Villar_Mol_Cell_Proteomics_2015_anaplasma_phagocytophilum_proteome_NSAF.txt
#
#internal_id	string_external_id	abundance
10908467	212042.APH_0114	90789
10909626	212042.APH_1324	58004
10908802	212042.APH_0463	58004
10909712	212042.APH_1413	48846
10908921	212042.APH_0589	47458
10909597	212042.APH_1293	43895
10908761	212042.APH_0421	36065
10909061	212042.APH_0739	35695
10909228	212042.APH_0910	31304
10908838	212042.APH_0504	30998
10909384	212042.APH_1073	29462
10908739	212042.APH_0398	29103
10908638	212042.APH_0292	27527
10908621	212042.APH_0273	23116
10909078	212042.APH_0756	22181
10908505	212042.APH_0152	21752
10908567	212042.APH_0218	21616
10909055	212042.APH_0732	19384
10909143	212042.APH_0823	18644
10908464	212042.APH_0111	17116
10908491	212042.APH_0138	16450
10909668	212042.APH_1367	15989
10909335	212042.APH_1023	14820
10909642	212042.APH_1340	14747
10908888	212042.APH_0555	13559
10909169	212042.APH_0849	13386
10909203	212042.APH_0884	12470
10909246	212042.APH_0928	11784
10909089	212042.APH_0767	11629
10909177	212042.APH_0857	11035
10909378	212042.APH_1067	10493
10909370	212042.APH_1059	10330
10909336	212042.APH_1024	9563
10908446	212042.APH_0093	9535
10908519	212042.APH_0166	8463
10908786	212042.APH_0446	8457
10909273	212042.APH_0955	8336
10908767	212042.APH_0427	8131
10909283	212042.APH_0965	6937
10909321	212042.APH_1008	6758
10908573	212042.APH_0224	6650
10909330	212042.APH_1017	6582
10909573	212042.APH_1267	6000
10909019	212042.APH_0694	5932
10908809	212042.APH_0470	5764
10908818	212042.APH_0480	5682
10909570	212042.APH_1264	5659
10908780	212042.APH_0440	5424
10908396	212042.APH_0038	5146
10908719	212042.APH_0377	4719
10909379	212042.APH_1068	4359
10909042	212042.APH_0718	4251
