#id: 4280712264
#name: Yersinia pestis CO92 - Whole organism, SC (Pride,prd000484,2012)
#score: 6.7
#description: abundance based on Spectral counting, Interaction consistency score: 6.7, Coverage: 30
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 30
#link: http://www.ebi.ac.uk/pride/archive/projects/PRD000484
#publication_year: 2012
#filename: 214092-Yersinia_pestis_SC_biomart_18099_O__3reps.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
10924649	214092.YPO2394	36690	3034
10924421	214092.YPO2157	14513	4802
10923745	214092.YPO1435	13008	3469
10922718	214092.YPO0351	12164	5029
10925556	214092.YPO3376	11036	3447
10922566	214092.YPO0195	10964	2690
10922717	214092.YPO0350	10521	989
10925204	214092.YPO2992	9920	2683
10924598	214092.YPO2342	9792	977
10925387	214092.YPO3194	9223	1420
10924035	214092.YPO1746	8867	1058
10926250	214092.YPO4111	8578	2775
10924561	214092.YPO2305	8247	1709
10922462	214092.YPO0079	8212	2732
10926256	214092.YPO4117	8187	2729
10925916	214092.YPO3748	8112	634
10922829	214092.YPO0468	8015	3539
10925205	214092.YPO2993	7672	479
10922574	214092.YPO0203	7452	4282
10922573	214092.YPO0202	7004	3036
10925127	214092.YPO2905	6970	998
10923456	214092.YPO1124	6867	2315
10925883	214092.YPO3714	6665	2105
10923464	214092.YPO1133	6220	1634
10922824	214092.YPO0463	6099	2220
10922670	214092.YPO0299	5689	1199
10924187	214092.YPO1907	5639	1788
10926262	214092.YPO4123	5637	2648
10922468	214092.YPO0085	5596	1069
10925106	214092.YPO2883	5431	422
10925235	214092.YPO3027	5417	428
10925206	214092.YPO2994	5381	3412
10924859	214092.YPO2615	5357	1377
10923373	214092.YPO1041	5211	1237
10925693	214092.YPO3516	5184	1043
10924332	214092.YPO2061	5101	1218
10924186	214092.YPO1906	5085	2540
10925171	214092.YPO2958	4969	1018
10925922	214092.YPO3754	4943	3380
10923704	214092.YPO1392	4802	2381
10925351	214092.YPO3158	4788	1991
10926004	214092.YPO3838	4668	532
10922694	214092.YPO0325	4648	522
10924129	214092.YPO1846	4600	1199
10925555	214092.YPO3375	4484	569
10923846	214092.YPO1541	4435	1868
10923722	214092.YPO1410	4348	1171
10924691	214092.YPO2439	4316	811
10925207	214092.YPO2995	4189	516
10922669	214092.YPO0298	4189	999
10923258	214092.YPO0921	4131	1470
10925813	214092.YPO3640	4004	1297
10924992	214092.YPO2757	3989	668
10924885	214092.YPO2645	3974	980
10922721	214092.YPO0354	3950	405
10923822	214092.YPO1517	3911	1109
10926206	214092.YPO4061	3836	732
10924220	214092.YPO1942	3709	614
10925129	214092.YPO2907	3607	1230
10925225	214092.YPO3015	3600	818
10922796	214092.YPO0431	3597	373
10925716	214092.YPO3539	3557	286
10923377	214092.YPO1045	3477	1328
10923977	214092.YPO1683	3304	714
10922401	214092.YPO0015	3272	798
10924554	214092.YPO2298	3259	1208
10925315	214092.YPO3119	3221	2071
10925422	214092.YPO3232	3161	746
10923473	214092.YPO1145	3148	588
10923812	214092.YPO1507	3071	1081
10925148	214092.YPO2930	3067	296
10923144	214092.YPO0800	3066	702
10922484	214092.YPO0105	3013	1341
10922542	214092.YPO0167	2999	250
10924940	214092.YPO2705	2998	463
10922981	214092.YPO0623	2987	520
10925282	214092.YPO3074	2975	383
10925736	214092.YPO3561	2961	585
10924595	214092.YPO2339	2952	1218
10924046	214092.YPO1758	2932	772
10923263	214092.YPO0926	2919	1459
10926129	214092.YPO3970	2885	182
10925755	214092.YPO3580	2875	274
10925056	214092.YPO2828	2846	507
10924070	214092.YPO1784	2804	196
10925375	214092.YPO3182	2762	255
10923446	214092.YPO1114	2762	825
10924196	214092.YPO1916	2749	981
10922864	214092.YPO0502	2742	283
10925713	214092.YPO3536	2693	518
10925797	214092.YPO3624	2624	348
10923941	214092.YPO1641	2599	1324
10922856	214092.YPO0494	2564	1093
10922412	214092.YPO0027	2560	453
10923741	214092.YPO1430	2554	350
10922411	214092.YPO0026	2533	868
10924904	214092.YPO2667	2520	769
10924230	214092.YPO1952	2473	1287
10925741	214092.YPO3566	2471	769
10925709	214092.YPO3532	2465	301
10925597	214092.YPO3417	2460	967
10923379	214092.YPO1047	2436	511
10922604	214092.YPO0234	2424	911
10924897	214092.YPO2660	2398	673
10922775	214092.YPO0409	2392	593
10925258	214092.YPO3050	2361	902
10924515	214092.YPO2259	2357	643
10925893	214092.YPO3725	2356	786
10924229	214092.YPO1951	2348	1704
10923631	214092.YPO1317	2342	466
10923448	214092.YPO1116	2311	583
10925667	214092.YPO3490	2290	1137
10924764	214092.YPO2512	2263	569
10925698	214092.YPO3521	2255	398
10926135	214092.YPO3977	2249	418
10925420	214092.YPO3230	2240	732
10923686	214092.YPO1374	2236	459
10925973	214092.YPO3808	2230	579
10922513	214092.YPO0138	2220	1010
10924288	214092.YPO2013	2217	571
10923543	214092.YPO1222	2212	821
10923477	214092.YPO1149	2210	305
10922986	214092.YPO0628	2181	72
10925869	214092.YPO3699	2175	451
10922481	214092.YPO0102	2173	145
10923670	214092.YPO1358	2146	529
10923251	214092.YPO0914	2145	607
10924326	214092.YPO2055	2141	207
10924391	214092.YPO2124	2119	468
10922502	214092.YPO0127	2117	197
10923228	214092.YPO0891	2111	359
10925094	214092.YPO2871	2090	593
10926034	214092.YPO3868	2087	270
10923352	214092.YPO1019	2061	1815
10925682	214092.YPO3505	2035	389
10925894	214092.YPO3726	2024	1033
10925433	214092.YPO3243	2014	340
10926066	214092.YPO3903	1990	278
10922931	214092.YPO0570	1985	55
10925747	214092.YPO3572	1978	335
10924128	214092.YPO1845	1975	377
10923267	214092.YPO0931	1972	735
10924022	214092.YPO1733	1967	99
10922612	214092.YPO0242	1963	221
10925932	214092.YPO3765	1952	418
10926264	214092.YPO4125	1943	368
10925595	214092.YPO3415	1920	1616
10926005	214092.YPO3839	1920	343
10923236	214092.YPO0898	1910	267
10925599	214092.YPO3419	1906	1558
10923530	214092.YPO1207	1903	508
10926149	214092.YPO3991	1892	319
10926257	214092.YPO4118	1884	875
10925591	214092.YPO3411	1876	361
10923665	214092.YPO1353	1866	357
10925415	214092.YPO3225	1851	190
10923641	214092.YPO1327	1836	183
10924138	214092.YPO1855	1835	857
10924444	214092.YPO2182	1832	788
10923447	214092.YPO1115	1823	702
10926108	214092.YPO3949	1814	336
10924140	214092.YPO1857	1813	243
10924438	214092.YPO2175	1811	174
10923624	214092.YPO1310	1804	477
10923695	214092.YPO1383	1801	1299
10923655	214092.YPO1343	1789	667
10926259	214092.YPO4120	1772	72
10923827	214092.YPO1522	1771	1045
10925325	214092.YPO3132	1769	409
10926243	214092.YPO4104	1762	482
10925503	214092.YPO3319	1750	1142
