#id: 2577128170
#name: Cryptococcus neoformans var. neoformans JEC21 - Whole organism, Biofilm, SC (Santi,j_proteome_res,2014)
#score: 3.0
#description: abundance based on Spectral counting, biofilm, Interaction consistency score: 3.0, Coverage: 25
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 25
#link: http://pubs.acs.org/doi/abs/10.1021/pr401075f
#publication_year: 2014
#filename: 214684-Cryptococcus_biofilm_Santi_2014.txt
#
#string_external_id	abundance	raw_spectral_count
214684.P40909	60349	795
214684.Q5KNC7	54361	1843
214684.Q5KJK9	39993	2652
214684.Q5KDE9	34266	668
214684.Q5KEC4	25384	694
214684.Q5K7J5	22734	1981
214684.Q5KMH7	21416	544
214684.Q5K952	20103	2586
214684.Q5KGE3	19337	1067
214684.Q5KBS3	18468	1424
214684.Q5KAB9	18184	307
214684.Q5KLW6	14262	121
214684.P0CQ50	13336	7
214684.P0CN74	12213	843
214684.Q5KJK1	11838	1085
214684.P0CN30	11459	485
214684.Q5K918	11446	2040
214684.Q5KEG5	11351	1733
214684.Q5KC89	11242	784
214684.Q5KN65	11190	49
214684.Q5K9R3	10415	1303
214684.Q5KB67	9921	605
214684.Q5KMW2	9260	1152
214684.Q5KLG7	9082	210
214684.Q5K9K9	7967	1107
214684.Q5KES7	7698	576
214684.P0CM06	6748	318
214684.P0CN84	6744	798
214684.Q5KF57	6740	73
214684.Q5KDV9	6620	461
214684.Q5KK08	6545	788
214684.Q5KLA7	6165	593
214684.P0CO30	5798	35
214684.Q5KI60	5593	100
214684.Q5KHT0	5511	583
214684.Q5KK99	5441	249
214684.Q5KDF1	5246	340
214684.Q5K7V2	4855	214
214684.Q5KB93	4400	417
214684.Q5KDL9	4327	445
214684.Q5KI15	4314	71
214684.Q5KP24	4270	70
214684.F5HFW5	4173	554
214684.A0A0S2M5V1	4056	28
214684.Q5KHN7	4055	457
214684.Q5K9D1	3924	467
214684.Q5K7F2	3804	201
214684.P0CR82	3705	166
214684.Q5KHF9	3684	423
