#id: 2243194569
#name: C.neoformans - Whole organism (Integrated)
#score: 8.8
#description: integrated dataset: weighted average of all C.neoformans WHOLE_ORGANISM, Interaction consistency score: 8.8, Coverage: 37
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 37
#publication_year: 2022
#filename: 214684-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
63282181	214684.P40909	66242
63287296	214684.Q5KNC7	52807
63286132	214684.Q5KJK9	43596
63284229	214684.Q5KDE9	31937
63284508	214684.Q5KEC4	23179
63283724	214684.Q5KBS3	22313
63282419	214684.Q5K7J5	21087
63287035	214684.Q5KMH7	20244
63282914	214684.Q5K952	19732
63285145	214684.Q5KGE3	18473
63283287	214684.Q5KAB9	16785
63281905	214684.P0CN30	14329
63282064	214684.P0CQ50	14123
63286850	214684.Q5KLW6	13828
63282883	214684.Q5K918	11539
63281927	214684.P0CN74	11242
63286124	214684.Q5KJK1	10881
63284543	214684.Q5KEG5	10793
63283874	214684.Q5KC89	10596
63287242	214684.Q5KN65	10355
63283101	214684.Q5K9R3	10244
63283557	214684.Q5KB67	9040
63287148	214684.Q5KMW2	9037
63286716	214684.Q5KLG7	8492
63283055	214684.Q5K9K9	7432
63284641	214684.Q5KES7	7225
63281843	214684.P0CM06	6494
63284758	214684.Q5KF57	6328
63284363	214684.Q5KDV9	6328
63281932	214684.P0CN84	6176
63286261	214684.Q5KK08	5965
63286664	214684.Q5KLA7	5809
63281955	214684.P0CO30	5617
63285677	214684.Q5KI60	5263
63282514	214684.Q5K7V2	5206
63285565	214684.Q5KHT0	5072
63286345	214684.Q5KK99	4982
63284231	214684.Q5KDF1	4782
63282130	214684.P0CR82	4298
63284291	214684.Q5KDL9	4280
63285532	214684.Q5KHN7	4079
63283577	214684.Q5KB93	4076
63287519	214684.Q5KP24	4053
63285635	214684.Q5KI15	3963
63281830	214684.F5HFW5	3958
63285470	214684.Q5KHF9	3727
63281690	214684.A0A0S2M5V1	3695
63282988	214684.Q5K9D1	3645
63282382	214684.Q5K7F2	3460
63282864	214684.Q5K8Z6	3403
63284824	214684.Q5KFD2	3325
63285833	214684.Q5KIN2	3320
63285426	214684.Q5KHA5	3319
63281848	214684.P0CM16	3275
63285500	214684.Q5KHJ9	3211
63283038	214684.Q5K9I6	3157
63282785	214684.Q5K8Q1	3052
63285079	214684.Q5KG69	3050
63286375	214684.Q5KKD1	2927
63282965	214684.Q5K9A5	2909
63286351	214684.Q5KKA5	2900
63282246	214684.Q5K6Z6	2858
63286304	214684.Q5KK55	2850
63281939	214684.P0CN98	2788
63284398	214684.Q5KE01	2612
63285527	214684.Q5KHN0	2558
63284982	214684.Q5KFW0	2514
63286037	214684.Q5KJA4	2442
63287803	214684.Q5KPZ1	2434
63286068	214684.Q5KJD9	2389
63283404	214684.Q5KAP7	2372
63283182	214684.Q5KA04	2327
63287853	214684.Q5KQ45	2255
63287301	214684.Q5KND2	2235
63282038	214684.P0CP96	2234
63287249	214684.Q5KN73	2212
63284522	214684.Q5KEE1	2209
63282065	214684.P0CQ52	2190
63282484	214684.Q5K7R6	2185
63286459	214684.Q5KKM4	2162
63286702	214684.Q5KLF0	2153
63286651	214684.Q5KL93	2136
63287501	214684.Q5KP06	2112
63283011	214684.Q5K9F7	2112
63284774	214684.Q5KF76	2087
63285135	214684.Q5KGD2	2077
63287554	214684.Q5KP63	2041
63284339	214684.Q5KDS7	2012
63286123	214684.Q5KJK0	1990
63286478	214684.Q5KKP4	1983
63284823	214684.Q5KFD1	1964
63283763	214684.Q5KBW6	1956
63282057	214684.P0CQ34	1950
63284501	214684.Q5KEB3	1917
63285964	214684.Q5KJ21	1908
63283254	214684.Q5KA81	1883
63283766	214684.Q5KBW9	1882
63286296	214684.Q5KK46	1868
63282717	214684.Q5K8H5	1847
63284662	214684.Q5KEV1	1813
63282505	214684.Q5K7U2	1807
63284230	214684.Q5KDF0	1770
63284741	214684.Q5KF36	1757
63282349	214684.Q5K7B5	1750
63283606	214684.Q5KBC7	1688
63282346	214684.Q5K7B2	1685
63283220	214684.Q5KA46	1671
63283665	214684.Q5KBK1	1663
63285219	214684.Q5KGM4	1630
63284115	214684.Q5KD10	1584
63284939	214684.Q5KFR2	1582
63285887	214684.Q5KIU0	1525
63282517	214684.Q5K7V6	1497
63286598	214684.Q5KL32	1492
63282940	214684.Q5K979	1488
63283612	214684.Q5KBD5	1475
63286187	214684.Q5KJS4	1466
63287412	214684.Q5KNQ9	1459
63284205	214684.Q5KDC5	1434
63283448	214684.Q5KAU8	1420
63286599	214684.Q5KL33	1415
63281994	214684.P0CP08	1413
63287362	214684.Q5KNK2	1398
63283652	214684.Q5KBI4	1378
63286020	214684.Q5KJ87	1365
63286065	214684.Q5KJD4	1342
63286179	214684.Q5KJR5	1323
63287206	214684.Q5KN25	1322
63284813	214684.Q5KFB9	1304
63282037	214684.P0CP94	1281
63285495	214684.Q5KHJ3	1262
63283583	214684.Q5KBA0	1247
63283430	214684.Q5KAT0	1247
63285927	214684.Q5KIY1	1246
63286595	214684.Q5KL27	1242
63284951	214684.Q5KFS5	1240
63287617	214684.Q5KPD7	1237
63285179	214684.Q5KGH9	1234
63285990	214684.Q5KJ55	1234
63282838	214684.Q5K8W3	1232
63285024	214684.Q5KG13	1226
63285230	214684.Q5KGN7	1206
63282367	214684.Q5K7D6	1197
63283461	214684.Q5KAW1	1180
63287145	214684.Q5KMV9	1152
63285809	214684.Q5KIK6	1142
63284638	214684.Q5KES4	1131
63285297	214684.Q5KGW3	1129
63284410	214684.Q5KE15	1129
63283469	214684.Q5KAX0	1120
63282994	214684.Q5K9D7	1117
63283566	214684.Q5KB78	1108
63282017	214684.P0CP54	1097
