#id: 1125588408
#name: Bacillus subtilis - Whole organism, SC (Chi,mcp,2011)
#score: 5.4
#description: abundance based on Spectral counting, Interaction consistency score: 5.4, Coverage: 95
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 95
#link: http://www.ncbi.nlm.nih.gov/pubmed/21749987
#publication_year: 2011
#filename: 224308-BacillusSubtilisSubsp_PRIDE.txt
#
#string_external_id	abundance	raw_spectral_count
224308.BSU09100	30584	3690
224308.BSU27960	22996	2940
224308.BSU21930	19933	2535
224308.BSU01170	15801	4243
224308.BSU01050	15573	2598
224308.BSU15990	12522	1992
224308.BSU01400	12379	471
224308.BSU01270	11603	1266
224308.BSU40910	10298	2018
224308.BSU01200	9699	2227
224308.BSU01310	8768	2069
224308.BSU01340	7858	758
224308.BSU01250	7824	1259
224308.BSU22790	7790	1808
224308.BSU01290	7418	305
224308.BSU16040	7110	1677
224308.BSU16680	6469	558
224308.BSU25410	6467	462
224308.BSU28290	6429	4167
224308.BSU01210	6427	1349
224308.BSU01160	6382	2340
224308.BSU01350	6354	1384
224308.BSU01490	6224	1672
224308.BSU01240	6112	850
224308.BSU01230	6106	1348
224308.BSU13900	5517	1105
224308.BSU01300	5344	1204
224308.BSU01180	5241	1033
224308.BSU28860	5231	688
224308.BSU27940	4981	958
224308.BSU01320	4911	830
224308.BSU01110	4901	1860
224308.BSU41060	4798	173
224308.BSU01260	4740	1358
224308.BSU01280	4729	2286
224308.BSU01420	4707	1067
224308.BSU01410	4534	1216
224308.BSU29660	4263	2217
224308.BSU01030	4142	2324
224308.BSU35360	4103	2307
224308.BSU01130	4084	4602
224308.BSU01220	3958	2374
224308.BSU28230	3748	3416
224308.BSU15080	3713	282
224308.BSU01020	3610	1244
224308.BSU25550	3601	470
224308.BSU33940	3490	2766
224308.BSU01440	3442	1036
224308.BSU01190	3414	1903
224308.BSU01100	3366	611
224308.BSU01330	3311	1516
224308.BSU06460	3274	579
224308.BSU40890	3273	504
224308.BSU33920	3189	1643
224308.BSU06020	3030	752
224308.BSU24900	2989	327
224308.BSU28850	2946	665
224308.BSU31390	2853	915
224308.BSU15920	2778	495
224308.BSU01150	2721	750
224308.BSU06030	2716	3654
