#id: 1354947229
#name: Bacillus subtilis - Whole organism, SC (Gpm,aug,2014)
#score: 12.4
#description: abundance based on Spectral counting, Interaction consistency score: 12.4, Coverage: 61
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 61
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 224308-GPM_201408.txt
#
#string_external_id	abundance	raw_spectral_count
224308.BSU21930	27392	13260
224308.BSU09100	27028	13210
224308.BSU01050	24184	13504
224308.BSU35360	19459	46642
224308.BSU27960	18677	9966
224308.BSU01290	15968	521
224308.BSU01170	14254	16014
224308.BSU37800	13451	11628
224308.BSU01210	12479	6150
224308.BSU40910	11331	6455
224308.BSU01180	9492	2914
224308.BSU15990	9241	4378
224308.BSU01130	9187	38513
224308.BSU22790	9161	8853
224308.BSU25550	9128	2592
224308.BSU38850	8814	9030
224308.BSU13900	8304	6258
224308.BSU01300	8304	6338
224308.BSU01310	8258	6991
224308.BSU01350	8214	5561
224308.BSU01160	7760	10600
224308.BSU16680	7582	1430
224308.BSU28850	7015	2481
224308.BSU01280	6902	10933
224308.BSU33940	6852	19638
224308.BSU01230	6837	5631
224308.BSU31910	6650	3336
224308.BSU06020	6347	4227
224308.BSU06030	6186	30487
224308.BSU01340	6042	1911
224308.BSU29660	5797	10101
224308.BSU01270	5735	2401
224308.BSU01420	5681	5472
224308.BSU16040	5680	3115
224308.BSU27940	5634	3211
224308.BSU01110	5619	6163
224308.BSU01220	5561	7989
224308.BSU01330	5349	8661
224308.BSU27700	5081	1855
224308.BSU25410	5061	698
224308.BSU01030	4934	9987
224308.BSU40090	4885	10112
224308.BSU01240	4815	2057
224308.BSU01320	4587	2550
224308.BSU40970	4572	7480
224308.BSU29120	4510	9889
224308.BSU15960	4505	4988
224308.BSU01410	4460	2585
224308.BSU01100	4343	2897
224308.BSU28290	4244	12415
224308.BSU01260	4242	3399
224308.BSU16500	4216	12039
224308.BSU01020	4177	5345
224308.BSU01400	4155	399
224308.BSU28230	4047	13082
224308.BSU01040	3990	4384
224308.BSU01440	3887	3215
224308.BSU28860	3872	1581
224308.BSU01250	3814	1952
224308.BSU16490	3792	6939
224308.BSU37120	3777	7194
224308.BSU01120	3725	21187
224308.BSU01200	3678	3261
224308.BSU33900	3506	11613
224308.BSU01490	3313	3453
224308.BSU40890	3282	1705
224308.BSU14610	3276	11048
224308.BSU36900	3245	8840
224308.BSU24620	3093	6238
