#id: 3515123087
#name: B.burgdorferi - Whole organism, SC (Peptideatlas,feb,2021)
#score: 9.8
#weight: 100%
#description: abundance based on Spectral counting, Interaction consistency score: 9.8, Coverage: 94
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 94
#link: http://www.peptideatlas.org/
#publication_year: 2021
#filename: 224326-Borreliella-burgdorferi_PA_2021-2.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
63487357	224326.BB_0741	88889	31906
63486830	224326.BB_0147	46755	167396
63487274	224326.BB_0649	40746	272294
63487124	224326.BB_0476	26818	124648
63486923	224326.BB_0256	23794	467
63486749	224326.BB_0057	22090	100247
63487315	224326.BB_0690	18239	33765
63487232	224326.BB_0603	16785	138672
63486729	224326.BB_0034	15781	34991
63486999	224326.BB_0337	13343	86447
63487024	224326.BB_0365	11697	37743
63487135	224326.BB_0487	11535	1462
63486901	224326.BB_0233	11179	380
63487025	224326.BB_0366	10362	52267
63487048	224326.BB_0390	10320	8051
63487320	224326.BB_0696	9903	3640
63487042	224326.BB_0383	9127	41517
63487396	224326.BB_0785	9072	9956
63487095	224326.BB_0445	8826	44432
63487188	224326.BB_0557	8750	5242
63487160	224326.BB_0518	8590	64181
63486774	224326.BB_0087	7876	22123
63487190	224326.BB_0559	7842	18804
63487133	224326.BB_0485	7600	7151
63486800	224326.BB_0115	7489	8387
63487150	224326.BB_0502	7428	28073
63486992	224326.BB_0328	7280	42731
63487360	224326.BB_0744	7216	34671
63487414	224326.BB_0804	6916	3664
63486827	224326.BB_0144	6906	19937
63486993	224326.BB_0330	6879	49905
63486906	224326.BB_0238	6796	17691
63487086	224326.BB_0435	6743	57435
63486747	224326.BB_0055	6696	26921
63487010	224326.BB_0348	6660	36170
63487174	224326.BB_0540	6659	41607
63486909	224326.BB_0241	6574	38024
63486798	224326.BB_0113	6392	805
63487000	224326.BB_0338	6381	7136
63487151	224326.BB_0503	6364	1932
63486748	224326.BB_0056	6341	35300
63487044	224326.BB_0385	6142	28210
63487148	224326.BB_0500	5406	2762
63487293	224326.BB_0668	5334	29754
63487045	224326.BB_0386	5311	5294
63487191	224326.BB_0560	5216	33126
63487142	224326.BB_0494	4959	2934
63486911	224326.BB_0243	4802	17397
63486789	224326.BB_0104	4754	29159
63487323	224326.BB_0699	4737	3187
63487283	224326.BB_0658	4659	11099
63487132	224326.BB_0484	4343	6702
63486753	224326.BB_0061	4296	8378
63487127	224326.BB_0479	4266	6272
63487137	224326.BB_0489	4152	1263
63486807	224326.BB_0123	4117	9135
63486897	224326.BB_0229	4111	1418
63487125	224326.BB_0477	4060	2971
63486781	224326.BB_0096	3982	6853
63487397	224326.BB_0786	3911	6638
63487415	224326.BB_0805	3653	19537
63486987	224326.BB_0323	3581	11062
63487136	224326.BB_0488	3524	4430
63486797	224326.BB_0112	3513	3716
63487161	224326.BB_0519	3497	4270
63487050	224326.BB_0392	3452	7291
63487034	224326.BB_0375	3430	10336
63487049	224326.BB_0391	3399	4487
63487131	224326.BB_0483	3352	1813
63487079	224326.BB_0426	3345	4690
63487126	224326.BB_0478	3211	5998
63487389	224326.BB_0778	3193	1862
63487201	224326.BB_0570	3133	4869
63487391	224326.BB_0780	3129	376
63487138	224326.BB_0490	3092	6638
63487134	224326.BB_0486	3054	1228
63487145	224326.BB_0497	3050	2293
63486943	224326.BB_0277	2795	4007
63487243	224326.BB_0615	2783	6091
63486805	224326.BB_0121	2776	2792
63487144	224326.BB_0496	2685	2080
63487297	224326.BB_0672	2664	4042
63487001	224326.BB_0339	2662	2634
63486806	224326.BB_0122	2654	6438
63487149	224326.BB_0501	2632	5572
63487012	224326.BB_0350	2628	605
63487051	224326.BB_0393	2541	3141
63487334	224326.BB_0713	2537	5865
63487265	224326.BB_0639	2537	9861
63486811	224326.BB_0127	2510	15115
63487175	224326.BB_0543	2500	6612
63486740	224326.BB_0047	2494	2530
63487189	224326.BB_0558	2491	17698
63486877	224326.BB_0204	2458	3685
63487093	224326.BB_0443	2454	3715
63487140	224326.BB_0492	2436	2444
63487319	224326.BB_0695	2310	866
63486849	224326.BB_0169	2306	680
63487047	224326.BB_0388	2273	36283
63487063	224326.BB_0405	2273	7561
