#id: 1257454911
#name: Bacteroides thetaiotaomicron - Whole organism, SC (Gpm,aug,2014)
#score: 6.5
#description: abundance based on Spectral counting, Interaction consistency score: 6.5, Coverage: 16
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 16
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 226186-GPM_201408.txt
#
#string_external_id	abundance	raw_spectral_count
226186.BT_2414	158543	110
226186.BT_2735	42913	1625
226186.BT_3833	34249	62
226186.BT_2719	29601	157
226186.BT_4263	28723	4609
226186.BT_2740	26211	4235
226186.BT_1691	15920	1356
226186.BT_0173	14104	1510
226186.BT_2830	10761	574
226186.BT_3911	9844	737
226186.BT_3359	9781	282
226186.BT_3723	9071	735
226186.BT_0174	8699	747
226186.BT_1829	8633	1787
226186.BT_2703	8602	172
226186.BT_2059	8494	248
226186.BT_2759	8350	167
226186.BT_2790	8222	1602
226186.BT_4314	7552	389
226186.BT_2728	7382	246
226186.BT_2712	7100	376
226186.BT_2729	6925	1552
226186.BT_3929	6877	856
226186.BT_2510	6753	1064
226186.BT_3709	6639	193
226186.BT_0370	6550	929
226186.BT_4368	6340	1043
226186.BT_1672	6235	922
226186.BT_2738	5832	334
226186.BT_0216	5598	477
226186.BT_2720	5519	253
226186.BT_0900	5238	690
226186.BT_3878	5094	802
226186.BT_0807	4962	211
226186.BT_2493	4938	592
226186.BT_2727	4871	383
226186.BT_2158	4816	1544
226186.BT_2711	4763	192
226186.BT_1847	4750	205
226186.BT_4448	4729	1544
226186.BT_1329	4568	343
226186.BT_2724	4473	261
226186.BT_4345	4407	696
226186.BT_3232	4407	301
226186.BT_4615	4383	822
226186.BT_0319	4294	144
226186.BT_2730	4208	281
226186.BT_2710	4135	228
226186.BT_0373	4084	292
226186.BT_2726	4040	251
226186.BT_2716	4021	151
226186.BT_2489	3994	114
226186.BT_0910	3993	326
226186.BT_2709	3979	63
226186.BT_3721	3834	96
226186.BT_2519	3787	87
226186.BT_2700	3786	107
226186.BT_1757	3731	374
226186.BT_2737	3664	311
226186.BT_1104	3583	237
226186.BT_2715	3577	217
226186.BT_2844	3538	688
226186.BT_0307	3499	537
226186.BT_0157	3418	112
226186.BT_1830	3371	151
226186.BT_0623	3343	344
226186.BT_0711	3317	777
226186.BT_0565	3274	197
226186.BT_3841	3210	415
226186.BT_3877	3164	390
226186.BT_3358	3157	231
226186.BT_0902	3064	106
226186.BT_2163	3056	111
226186.BT_1312	3054	496
226186.BT_1747	2973	1296
226186.BT_1762	2922	536
226186.BT_1692	2919	120
226186.BT_3876	2791	94
226186.BT_2157	2754	345
226186.BT_1804	2749	307
226186.BT_0916	2649	120
226186.BT_2162	2638	68
226186.BT_2704	2613	65
226186.BT_1686	2593	517
226186.BT_2708	2591	185
226186.BT_3981	2563	213
226186.BT_0347	2546	421
226186.BT_1433	2504	219
226186.BT_3771	2495	193
226186.BT_2229	2457	131
226186.BT_4589	2435	193
226186.BT_4371	2402	584
226186.BT_1194	2389	226
226186.BT_0789	2348	270
226186.BT_1153	2340	321
226186.BT_3808	2340	251
226186.BT_2713	2294	117
226186.BT_2714	2285	58
226186.BT_1759	2258	533
226186.BT_2723	2234	70
226186.BT_2167	2225	775
226186.BT_2256	2218	543
226186.BT_1499	2212	112
226186.BT_1333	2203	225
226186.BT_3222	2192	338
226186.BT_4127	2177	235
226186.BT_2736	2158	179
226186.BT_0644	2156	880
226186.BT_2731	2123	57
226186.BT_1371	2115	229
226186.BT_2518	2110	70
226186.BT_3731	2086	170
226186.BT_4447	2066	296
226186.BT_0424	2065	34
226186.BT_4595	2047	139
226186.BT_1271	2010	45
226186.BT_2725	1966	58
226186.BT_0766	1961	187
226186.BT_1973	1884	291
