#id: 808602436
#name: Bacteroides thetaiotaomicron - Whole organism (Integrated)
#score: 12.6
#coverage: 48
#description: integrated dataset: weighted average of all Bacteroides thetaiotaomicron WHOLE_ORGANISM: 12.6, Coverage: 48
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD145877_Mueller_Nature_2020_Bacteroides_thetaiotaomicron:0.909;226186_GPM_201408:0.091;
#publication_year: 2023
#filename: 226186-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
226186.BT_4263	22429
226186.BT_2790	20826
226186.BT_2740	20144
226186.BT_1829	14999
226186.BT_2414	14413
226186.BT_3911	13458
226186.BT_3080	12743
226186.BT_1747	12510
226186.BT_1691	11470
226186.BT_1672	10445
226186.BT_2729	10267
226186.BT_2844	9869
226186.BT_0418	9606
226186.BT_2735	9549
226186.BT_4615	9364
226186.BT_4345	8411
226186.BT_3841	6745
226186.BT_3878	6645
226186.BT_2733	6114
226186.BT_0565	6047
226186.BT_1391	5749
226186.BT_2570	5714
226186.BT_4572	5704
226186.BT_3054	5663
226186.BT_0307	5649
226186.BT_2563	5566
226186.BT_3852	5368
226186.BT_1998	5309
226186.BT_2734	5261
226186.BT_0370	5096
226186.BT_0897	4958
226186.BT_2510	4767
226186.BT_2256	4767
226186.BT_0173	4668
226186.BT_0900	4631
226186.BT_2724	4581
226186.BT_1373	4578
226186.BT_1312	4393
226186.BT_3702	4382
226186.BT_3877	4180
226186.BT_2712	4146
226186.BT_1329	4058
226186.BT_2272	3961
226186.BT_2835	3950
226186.BT_3929	3914
226186.BT_2702	3866
226186.BT_3742	3750
226186.BT_4368	3719
226186.BT_3703	3682
226186.BT_1548	3680
226186.BT_4649	3626
226186.BT_3701	3621
226186.BT_4371	3609
226186.BT_2437	3552
226186.BT_0347	3541
226186.BT_0174	3526
226186.BT_2719	3377
226186.BT_1526	3373
226186.BT_2165	3364
226186.BT_2977	3355
226186.BT_0806	3345
226186.BT_3358	3339
226186.BT_3419	3296
226186.BT_3723	3243
226186.BT_3823	3215
226186.BT_0422	3176
226186.BT_2726	3158
226186.BT_3833	3114
226186.BT_2737	3085
226186.BT_0655	3080
226186.BT_3562	3070
226186.BT_0373	3035
226186.BT_3359	3031
226186.BT_2716	2977
226186.BT_4597	2958
226186.BT_3840	2896
226186.BT_2493	2863
226186.BT_2708	2845
226186.BT_1153	2839
226186.BT_3845	2838
226186.BT_1271	2837
226186.BT_1847	2726
226186.BT_2730	2689
226186.BT_2701	2683
226186.BT_3709	2675
226186.BT_3812	2669
226186.BT_0216	2622
