#id: 775022123
#name: Acidithiobacillus ferrooxidans ATCC 23270 - Whole organism, Biofilm (Vera,proteomics,2013)
#score: 4.8
#description: abundance based on MAPPED_BY_AUTHORS, biofilm, Interaction consistency score: 4.8, Coverage: 42
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 42
#link: http://doi.wiley.com/10.1002/pmic.201200386
#publication_year: 2013
#filename: 243159-Acidithiobac_PSM_biofilm_Vera_2013.txt
#
#string_external_id	abundance
243159.AFE_0542	37442
243159.AFE_2741	19451
243159.AFE_0325	18551
243159.AFE_2665	11865
243159.AFE_3146	10795
243159.AFE_3248	9142
243159.AFE_3203	8169
243159.AFE_0288	7950
243159.AFE_0466	7926
243159.AFE_3251	7245
243159.AFE_0985	6881
243159.AFE_2547	6346
243159.AFE_1691	6321
243159.AFE_3118	6127
243159.AFE_1689	5592
243159.AFE_0320	5495
243159.AFE_3205	5227
243159.AFE_0903	4936
243159.AFE_0324	4863
243159.AFE_3252	4595
243159.AFE_1683	4303
243159.AFE_0534	4303
243159.AFE_0747	4279
243159.AFE_0353	4109
243159.AFE_1898	4036
243159.AFE_0536	3914
243159.AFE_2131	3841
243159.AFE_1445	3841
243159.AFE_1690	3793
243159.AFE_0321	3793
243159.AFE_2553	3623
243159.AFE_1792	3574
243159.AFE_3250	3550
243159.AFE_0909	3525
243159.AFE_1883	3307
243159.AFE_3158	3258
243159.AFE_1970	3185
243159.AFE_0316	3039
243159.AFE_0333	3039
243159.AFE_1444	2991
243159.AFE_2062	2966
243159.AFE_0306	2966
243159.AFE_1939	2942
243159.AFE_2201	2918
243159.AFE_0043	2893
243159.AFE_2811	2893
243159.AFE_0323	2869
243159.AFE_2155	2820
243159.AFE_0395	2820
243159.AFE_0354	2772
243159.AFE_0730	2723
243159.AFE_0189	2674
243159.AFE_2638	2602
243159.AFE_0225	2602
243159.AFE_0543	2577
243159.AFE_2017	2577
243159.AFE_2551	2577
243159.AFE_3153	2553
243159.AFE_0532	2529
243159.AFE_2204	2529
243159.AFE_3150	2529
243159.AFE_3292	2529
243159.AFE_0849	2529
243159.AFE_1667	2504
243159.AFE_0004	2456
243159.AFE_0295	2456
243159.AFE_3152	2431
243159.AFE_3253	2431
243159.AFE_0872	2431
243159.AFE_0912	2407
243159.AFE_0934	2407
243159.AFE_3249	2383
243159.AFE_1933	2383
243159.AFE_2740	2334
243159.AFE_0702	2334
243159.AFE_0334	2310
243159.AFE_3109	2310
243159.AFE_1585	2310
243159.AFE_3121	2261
243159.AFE_0895	2261
243159.AFE_0330	2188
243159.AFE_0547	2164
243159.AFE_2849	2140
243159.AFE_2661	2115
243159.AFE_2676	2115
243159.AFE_1661	2091
243159.AFE_0339	2067
243159.AFE_0029	2067
243159.AFE_0492	2042
243159.AFE_2637	2042
243159.AFE_0423	2042
243159.AFE_2555	2018
243159.AFE_1678	1994
243159.AFE_2554	1994
243159.AFE_1469	1969
243159.AFE_0697	1969
243159.AFE_2748	1969
243159.AFE_0315	1969
243159.AFE_0527	1945
243159.AFE_1677	1945
243159.AFE_2072	1945
243159.AFE_0629	1921
243159.AFE_0056	1921
243159.AFE_3273	1921
243159.AFE_2357	1896
243159.AFE_0328	1896
243159.AFE_0472	1872
243159.AFE_0067	1872
243159.AFE_0735	1872
243159.AFE_2120	1848
243159.AFE_0289	1823
243159.AFE_3149	1823
