#id: 130174503
#name: A.ferrooxidans - Whole organism (Integrated)
#score: 6.5
#description: integrated dataset: weighted average of all A.ferrooxidans WHOLE_ORGANISM, Interaction consistency score: 6.5, Coverage: 42
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 42
#publication_year: 2022
#filename: 243159-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
11441859	243159.AFE_0542	41043
11443941	243159.AFE_2741	22748
11441653	243159.AFE_0325	20827
11444333	243159.AFE_3146	20654
11443867	243159.AFE_2665	14282
11442930	243159.AFE_1683	12199
11444426	243159.AFE_3248	8496
11444384	243159.AFE_3203	8408
11441620	243159.AFE_0288	8344
11444305	243159.AFE_3118	8266
11442936	243159.AFE_1689	7797
11444006	243159.AFE_2811	7662
11444429	243159.AFE_3251	7238
11442938	243159.AFE_1691	7154
11441787	243159.AFE_0466	7123
11442284	243159.AFE_0985	7050
11443752	243159.AFE_2547	6868
11442937	243159.AFE_1690	6836
11443136	243159.AFE_1898	6592
11442206	243159.AFE_0903	6563
11444386	243159.AFE_3205	6102
11441648	243159.AFE_0320	6016
11441652	243159.AFE_0324	5670
11444430	243159.AFE_3252	5602
11442698	243159.AFE_1445	4891
11443035	243159.AFE_1792	4490
11443356	243159.AFE_2131	4425
11441851	243159.AFE_0534	4379
11441649	243159.AFE_0321	4377
11442837	243159.AFE_1585	4242
11441853	243159.AFE_0536	4144
11441368	243159.AFE_0029	4131
11443379	243159.AFE_2155	3956
11443758	243159.AFE_2553	3918
11444345	243159.AFE_3158	3907
11441860	243159.AFE_0543	3867
11441382	243159.AFE_0043	3808
11442060	243159.AFE_0747	3579
11442212	243159.AFE_0909	3577
11443425	243159.AFE_2201	3544
11443756	243159.AFE_2551	3535
11444428	243159.AFE_3250	3535
11442217	243159.AFE_0914	3385
11443202	243159.AFE_1970	3280
11441669	243159.AFE_0341	3203
11443290	243159.AFE_2062	3194
11441716	243159.AFE_0395	3181
11444340	243159.AFE_3153	3112
11443314	243159.AFE_2086	3108
11441638	243159.AFE_0306	3061
11443122	243159.AFE_1883	3025
11442924	243159.AFE_1677	3012
11442697	243159.AFE_1444	2930
11442181	243159.AFE_0872	2924
11441585	243159.AFE_0253	2906
11441681	243159.AFE_0353	2877
11441395	243159.AFE_0056	2855
11441344	243159.AFE_0004	2815
11442043	243159.AFE_0730	2751
11442895	243159.AFE_1648	2731
11441682	243159.AFE_0354	2711
11441658	243159.AFE_0330	2680
11441644	243159.AFE_0316	2669
11441849	243159.AFE_0532	2600
11441651	243159.AFE_0323	2587
11441744	243159.AFE_0423	2556
11441661	243159.AFE_0333	2536
11442161	243159.AFE_0849	2490
11442914	243159.AFE_1667	2487
11444044	243159.AFE_2849	2454
11443759	243159.AFE_2554	2419
11441656	243159.AFE_0328	2410
11441523	243159.AFE_0189	2392
11441646	243159.AFE_0318	2377
11441695	243159.AFE_0367	2343
11443878	243159.AFE_2676	2341
11443173	243159.AFE_1939	2328
11444431	243159.AFE_3253	2326
11444337	243159.AFE_3150	2312
11442009	243159.AFE_0696	2310
11443760	243159.AFE_2555	2288
11443755	243159.AFE_2550	2284
11444427	243159.AFE_3249	2255
11444339	243159.AFE_3152	2237
11443863	243159.AFE_2661	2164
11441813	243159.AFE_0492	2157
11443428	243159.AFE_2204	2157
11442234	243159.AFE_0934	2146
11441971	243159.AFE_0658	2122
11441617	243159.AFE_0285	2086
11441953	243159.AFE_0639	2075
11442048	243159.AFE_0735	2075
11443246	243159.AFE_2017	2073
11442908	243159.AFE_1661	2051
11444103	243159.AFE_2910	2018
11444296	243159.AFE_3109	1982
11442198	243159.AFE_0895	1978
11441654	243159.AFE_0326	1976
11442215	243159.AFE_0912	1969
11441557	243159.AFE_0225	1964
11443059	243159.AFE_1816	1958
11443218	243159.AFE_1986	1889
11442653	243159.AFE_1396	1878
11441903	243159.AFE_0589	1867
11441864	243159.AFE_0547	1858
11442925	243159.AFE_1678	1843
11443167	243159.AFE_1933	1834
11442010	243159.AFE_0697	1818
11441627	243159.AFE_0295	1818
11441341	243159.AFE_0001	1816
11443300	243159.AFE_2072	1816
11442058	243159.AFE_0745	1790
11443147	243159.AFE_1909	1790
11441667	243159.AFE_0339	1783
11443812	243159.AFE_2608	1763
11441712	243159.AFE_0391	1752
11441690	243159.AFE_0362	1748
11441970	243159.AFE_0657	1746
11441664	243159.AFE_0336	1721
11443269	243159.AFE_2040	1695
11443135	243159.AFE_1897	1686
