#id: 295479343
#name: Bordetella pertussis Tohama - Whole organism, normalized spectral counts (Lambertietal,jproteomics2016)
#score: 2.2
#description: abundance based on normalized spectral counts, Interaction consistency score: 2.2, Coverage: 20
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 20
#link: http://www.ncbi.nlm.nih.gov/pubmed/26873878
#publication_year: 2016
#filename: 257313-PXD002997_Lamberti_J_Proteomics_2016_Bpertussis.txt
#
#internal_id	string_external_id	abundance
11642581	257313.BP3495	43200
11641147	257313.BP1879	22342
11639512	257313.BP0007	20022
11640233	257313.BP0840	15378
11641700	257313.BP2499	14690
11640474	257313.BP1112	13450
11642580	257313.BP3494	10380
11642687	257313.BP3610	9804
11640553	257313.BP1198	8838
11639520	257313.BP0016	7863
11640192	257313.BP0795	7708
11642400	257313.BP3288	7417
11640420	257313.BP1054	7357
11640484	257313.BP1124	7242
11641698	257313.BP2497	7171
11641924	257313.BP2747	6839
11639566	257313.BP0074	6708
11642895	257313.BP3831	6376
11641938	257313.BP2761	6214
11642633	257313.BP3552	6108
11642641	257313.BP3561	5910
11641260	257313.BP2014	5822
11642718	257313.BP3642	5660
11642398	257313.BP3286	5612
11640480	257313.BP1120	5574
11642753	257313.BP3680	5500
11641062	257313.BP1774	5324
11640760	257313.BP1436	5162
11639519	257313.BP0015	5145
11641742	257313.BP2541	5110
11641571	257313.BP2361	5069
11642582	257313.BP3496	4862
11642446	257313.BP3343	4819
11641146	257313.BP1878	4728
11641267	257313.BP2021	4687
11640333	257313.BP0950	4683
11640806	257313.BP1487	4530
11640368	257313.BP0993	4306
11642162	257313.BP3014	4269
11640751	257313.BP1427	4194
11641689	257313.BP2488	4151
11639671	257313.BP0195	4107
11640744	257313.BP1420	4103
11642211	257313.BP3068	4064
11639722	257313.BP0250	4030
11641065	257313.BP1777	4006
11640888	257313.BP1573	3896
11641744	257313.BP2543	3855
11642104	257313.BP2952	3771
11642913	257313.BP3852	3771
11640485	257313.BP1125	3689
11640249	257313.BP0856	3685
11640486	257313.BP1126	3642
11641568	257313.BP2358	3642
11639897	257313.BP0454	3571
11640121	257313.BP0709	3519
11641527	257313.BP2315	3510
11642655	257313.BP3575	3448
11641300	257313.BP2059	3435
11640777	257313.BP1453	3396
11640370	257313.BP0995	3310
11641593	257313.BP2386	3310
11640555	257313.BP1201	3308
11640326	257313.BP0943	3264
11640344	257313.BP0961	3228
11639673	257313.BP0197	3217
11642638	257313.BP3558	3187
11642451	257313.BP3348	3180
11642619	257313.BP3537	3146
11640600	257313.BP1246	3144
11642047	257313.BP2890	3060
11641410	257313.BP2188	3019
11639518	257313.BP0014	3016
11640803	257313.BP1484	3016
11641636	257313.BP2434	3016
11642063	257313.BP2908	2971
11642512	257313.BP3416	2971
11642091	257313.BP2936	2939
11640631	257313.BP1281	2896
11642115	257313.BP2963	2896
11640601	257313.BP1247	2889
11641820	257313.BP2625	2889
11642822	257313.BP3753	2889
11642073	257313.BP2918	2887
11640294	257313.BP0906	2850
11640375	257313.BP1000	2848
11640440	257313.BP1075	2848
11640240	257313.BP0847	2846
11642701	257313.BP3624	2809
11640369	257313.BP0994	2807
11640347	257313.BP0965	2721
11641986	257313.BP2815	2721
11641575	257313.BP2365	2719
11641286	257313.BP2044	2680
11640615	257313.BP1262	2678
11639680	257313.BP0205	2637
11640160	257313.BP0760	2626
11640752	257313.BP1428	2594
11641624	257313.BP2421	2592
11639830	257313.BP0374	2561
11639535	257313.BP0034	2559
11639592	257313.BP0102	2559
11641307	257313.BP2068	2559
11642267	257313.BP3130	2518
11639894	257313.BP0451	2510
11641024	257313.BP1732	2477
11642112	257313.BP2960	2471
11639593	257313.BP0103	2434
11640627	257313.BP1277	2434
11640696	257313.BP1364	2350
11641854	257313.BP2668	2348
11641603	257313.BP2397	2309
11642923	257313.BP3862	2307
11641115	257313.BP1836	2305
11641932	257313.BP2755	2305
11642287	257313.BP3150	2303
11639666	257313.BP0190	2301
11640029	257313.BP0604	2301
11642445	257313.BP3342	2296
11640885	257313.BP1569	2262
11639928	257313.BP0490	2260
11640364	257313.BP0989	2260
11641741	257313.BP2540	2221
11641961	257313.BP2788	2219
11641947	257313.BP2770	2180
11641013	257313.BP1721	2178
11642348	257313.BP3228	2178
11641158	257313.BP1895	2173
11640764	257313.BP1440	2171
11642436	257313.BP3330	2143
11639740	257313.BP0274	2141
11639657	257313.BP0180	2139
11640327	257313.BP0944	2137
11640836	257313.BP1519	2137
11642439	257313.BP3333	2137
11640345	257313.BP0962	2135
11639828	257313.BP0372	2094
11641926	257313.BP2749	2089
11642634	257313.BP3554	2059
11641078	257313.BP1795	2055
11642167	257313.BP3019	2053
11641819	257313.BP2624	2014
11642064	257313.BP2909	2010
11642892	257313.BP3828	1971
11642839	257313.BP3772	1969
11640507	257313.BP1150	1966
11642799	257313.BP3730	1966
11640346	257313.BP0964	1932
11640928	257313.BP1616	1932
11640815	257313.BP1497	1930
11639988	257313.BP0558	1928
11640911	257313.BP1596	1928
11640198	257313.BP0801	1887
11641671	257313.BP2470	1887
11642132	257313.BP2983	1880
11640919	257313.BP1605	1848
11641153	257313.BP1887	1848
11639754	257313.BP0289	1843
11641956	257313.BP2783	1843
11639916	257313.BP0475	1841
11640239	257313.BP0846	1805
11641418	257313.BP2196	1805
11642354	257313.BP3237	1805
11642760	257313.BP3689	1800
11640855	257313.BP1538	1798
11641930	257313.BP2753	1796
11640078	257313.BP0659	1759
11640464	257313.BP1102	1721
11641643	257313.BP2441	1721
11642258	257313.BP3121	1718
11642336	257313.BP3215	1673
11639691	257313.BP0216	1671
11640188	257313.BP0791	1637
11642378	257313.BP3264	1637
11641350	257313.BP2120	1634
11641641	257313.BP2439	1634
11642871	257313.BP3807	1634
11642214	257313.BP3071	1632
11639960	257313.BP0529	1628
11641747	257313.BP2546	1593
11642141	257313.BP2992	1593
11642571	257313.BP3485	1593
11642142	257313.BP2993	1591
11642669	257313.BP3589	1557
11642262	257313.BP3125	1555
11639604	257313.BP0115	1550
11640032	257313.BP0607	1550
11642428	257313.BP3321	1550
11639835	257313.BP0379	1509
11640338	257313.BP0955	1509
11641413	257313.BP2191	1509
11641920	257313.BP2743	1509
11640759	257313.BP1435	1507
11639824	257313.BP0368	1503
11642704	257313.BP3628	1473
11640376	257313.BP1001	1468
11640649	257313.BP1300	1468
11642128	257313.BP2978	1468
11642797	257313.BP3728	1468
11639827	257313.BP0371	1466
11640508	257313.BP1151	1466
11641053	257313.BP1764	1466
11641175	257313.BP1913	1466
11641602	257313.BP2396	1425
11642625	257313.BP3543	1425
11639774	257313.BP0315	1423
11640604	257313.BP1250	1423
11640886	257313.BP1570	1423
11642737	257313.BP3662	1389
11641310	257313.BP2072	1386
11639714	257313.BP0242	1384
11640374	257313.BP0999	1384
11642399	257313.BP3287	1384
11640049	257313.BP0627	1382
11640743	257313.BP1419	1382
11641958	257313.BP2785	1382
11642823	257313.BP3754	1382
11642848	257313.BP3783	1382
11642166	257313.BP3018	1380
11641042	257313.BP1753	1378
11639902	257313.BP0460	1371
11640197	257313.BP0800	1345
11640739	257313.BP1415	1341
11642376	257313.BP3262	1341
11642534	257313.BP3441	1341
11642691	257313.BP3614	1341
11639927	257313.BP0489	1339
11640237	257313.BP0844	1339
11641927	257313.BP2750	1339
11642116	257313.BP2964	1339
11642227	257313.BP3084	1337
11640937	257313.BP1630	1298
11641734	257313.BP2533	1298
11641936	257313.BP2759	1298
11640176	257313.BP0777	1296
11641406	257313.BP2184	1296
11641888	257313.BP2707	1257
11641099	257313.BP1817	1220
11640769	257313.BP1445	1218
11642173	257313.BP3025	1218
11641133	257313.BP1857	1216
11639842	257313.BP0387	1214
11639907	257313.BP0465	1214
11641699	257313.BP2498	1214
11642837	257313.BP3770	1212
11639839	257313.BP0383	1175
11640854	257313.BP1537	1175
11641438	257313.BP2219	1175
11641420	257313.BP2198	1173
11642444	257313.BP3341	1173
11642502	257313.BP3405	1173
11639745	257313.BP0279	1171
11641064	257313.BP1776	1166
11639514	257313.BP0009	1132
11641969	257313.BP2796	1132
11642883	257313.BP3819	1132
11642826	257313.BP3757	1130
11642918	257313.BP3857	1130
11640085	257313.BP0666	1128
11640804	257313.BP1485	1128
11642859	257313.BP3794	1128
11640616	257313.BP1263	1093
11640341	257313.BP0958	1091
11640366	257313.BP0991	1091
11640430	257313.BP1064	1091
11640776	257313.BP1452	1091
11640788	257313.BP1467	1091
11642375	257313.BP3261	1091
11641521	257313.BP2309	1089
11641957	257313.BP2784	1089
11642050	257313.BP2893	1089
11640001	257313.BP0572	1087
11640114	257313.BP0700	1050
11640467	257313.BP1105	1050
11641946	257313.BP2769	1050
11642265	257313.BP3128	1050
11640544	257313.BP1189	1048
11640745	257313.BP1421	1048
11642435	257313.BP3329	1048
11642520	257313.BP3425	1048
11639516	257313.BP0011	1046
11640479	257313.BP1119	1007
11642209	257313.BP3066	1007
11640890	257313.BP1575	1005
11642144	257313.BP2996	1005
11642105	257313.BP2953	972
11642346	257313.BP3226	968
11641642	257313.BP2440	966
11641915	257313.BP2735	966
11642561	257313.BP3471	966
11641883	257313.BP2702	964
11642046	257313.BP2889	964
11642850	257313.BP3785	964
11640753	257313.BP1429	962
11641570	257313.BP2360	962
11641853	257313.BP2667	962
11642390	257313.BP3276	962
11640034	257313.BP0609	959
11641709	257313.BP2508	923
11640418	257313.BP1052	921
11641675	257313.BP2474	921
11642230	257313.BP3087	921
11639517	257313.BP0013	919
11641122	257313.BP1843	880
11642676	257313.BP3597	880
11642834	257313.BP3767	880
11642835	257313.BP3768	880
11640770	257313.BP1446	878
11640838	257313.BP1521	841
11639743	257313.BP0277	839
11640925	257313.BP1613	839
11641415	257313.BP2193	839
11641702	257313.BP2501	839
11642103	257313.BP2951	839
11642218	257313.BP3075	839
11642261	257313.BP3124	839
11642396	257313.BP3284	839
11642495	257313.BP3398	839
11640111	257313.BP0697	798
11640423	257313.BP1057	798
11640786	257313.BP1465	798
11641144	257313.BP1876	798
