#id: 50053719
#name: B. pertussis Tohama I - Whole organism (Integrated)
#score: 5.5
#description: integrated dataset: weighted average of all B. pertussis Tohama I WHOLE_ORGANISM, Interaction consistency score: 5.5, Coverage: 29
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 29
#publication_year: 2022
#filename: 257313-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
11642581	257313.BP3495	45804
11641147	257313.BP1879	23083
11639512	257313.BP0007	18659
11640474	257313.BP1112	11153
11641700	257313.BP2499	10882
11640233	257313.BP0840	10447
11642580	257313.BP3494	9054
11639520	257313.BP0016	8228
11642687	257313.BP3610	8030
11640553	257313.BP1198	7942
11639519	257313.BP0015	7581
11640420	257313.BP1054	7534
11642400	257313.BP3288	6972
11640760	257313.BP1436	6900
11640484	257313.BP1124	6383
11641260	257313.BP2014	6299
11639897	257313.BP0454	5978
11641267	257313.BP2021	5939
11640192	257313.BP0795	5931
11642582	257313.BP3496	5764
11639566	257313.BP0074	5699
11640480	257313.BP1120	5571
11640333	257313.BP0950	5479
11642718	257313.BP3642	5435
11641062	257313.BP1774	5380
11642398	257313.BP3286	5380
11641744	257313.BP2543	5065
11642641	257313.BP3561	4793
11640555	257313.BP1201	4742
11641065	257313.BP1777	4722
11640601	257313.BP1247	4713
11640375	257313.BP1000	4595
11640160	257313.BP0760	4551
11641742	257313.BP2541	4536
11640249	257313.BP0856	4327
11642753	257313.BP3680	4254
11641924	257313.BP2747	4202
11642162	257313.BP3014	4087
11640751	257313.BP1427	4066
11642446	257313.BP3343	4038
11639518	257313.BP0014	4021
11641571	257313.BP2361	3971
11641698	257313.BP2497	3843
11642211	257313.BP3068	3765
11642913	257313.BP3852	3746
11642633	257313.BP3552	3744
11641146	257313.BP1878	3661
11640485	257313.BP1125	3625
11641689	257313.BP2488	3618
11640121	257313.BP0709	3596
11640744	257313.BP1420	3494
11641593	257313.BP2386	3488
11640240	257313.BP0847	3372
11642638	257313.BP3558	3344
11640486	257313.BP1126	3332
11640368	257313.BP0993	3300
11642104	257313.BP2952	3275
11641820	257313.BP2625	3256
11640696	257313.BP1364	3148
11640615	257313.BP1262	3128
11641602	257313.BP2396	3120
11640326	257313.BP0943	3044
11641575	257313.BP2365	3002
11641115	257313.BP1836	2923
11639691	257313.BP0216	2890
11642451	257313.BP3348	2889
11640600	257313.BP1246	2844
11640803	257313.BP1484	2827
11642287	257313.BP3150	2825
11640836	257313.BP1519	2794
11641078	257313.BP1795	2770
11641300	257313.BP2059	2769
11642132	257313.BP2983	2759
11642047	257313.BP2890	2746
11642436	257313.BP3330	2716
11639894	257313.BP0451	2704
11641527	257313.BP2315	2699
11640370	257313.BP0995	2632
11640440	257313.BP1075	2623
11641938	257313.BP2761	2621
11641410	257313.BP2188	2612
11642091	257313.BP2936	2603
11640885	257313.BP1569	2585
11639722	257313.BP0250	2536
11642822	257313.BP3753	2531
11639592	257313.BP0102	2530
11640344	257313.BP0961	2529
11639680	257313.BP0205	2515
11642701	257313.BP3624	2513
11640777	257313.BP1453	2503
11642115	257313.BP2963	2498
11639916	257313.BP0475	2465
11642619	257313.BP3537	2461
11641568	257313.BP2358	2407
11641024	257313.BP1732	2365
11640188	257313.BP0791	2357
11640294	257313.BP0906	2339
11639928	257313.BP0490	2324
11640369	257313.BP0994	2323
11642691	257313.BP3614	2303
11641413	257313.BP2191	2291
11640034	257313.BP0609	2274
11640743	257313.BP1419	2270
11639516	257313.BP0011	2230
11641926	257313.BP2749	2163
11641961	257313.BP2788	2156
11640764	257313.BP1440	2118
11640752	257313.BP1428	2101
11639835	257313.BP0379	2091
11640327	257313.BP0944	2074
11642760	257313.BP3689	2067
11642512	257313.BP3416	2051
11642267	257313.BP3130	2040
11640347	257313.BP0965	2039
11641636	257313.BP2434	2033
11640919	257313.BP1605	2031
11639535	257313.BP0034	2015
11642167	257313.BP3019	2007
11640345	257313.BP0962	2006
11640364	257313.BP0989	2001
11642895	257313.BP3831	1998
11639593	257313.BP0103	1986
11640374	257313.BP0999	1983
11639754	257313.BP0289	1981
11641819	257313.BP2624	1975
11639714	257313.BP0242	1967
11641013	257313.BP1721	1963
11639830	257313.BP0374	1963
11642227	257313.BP3084	1954
11642871	257313.BP3807	1936
11641741	257313.BP2540	1917
11642214	257313.BP3071	1912
11639740	257313.BP0274	1864
11641406	257313.BP2184	1860
11639828	257313.BP0372	1857
11642707	257313.BP3631	1856
11641175	257313.BP1913	1854
11639902	257313.BP0460	1838
11641947	257313.BP2770	1837
11642439	257313.BP3333	1819
11642336	257313.BP3215	1815
11641702	257313.BP2501	1804
11639657	257313.BP0180	1785
11640631	257313.BP1281	1784
11642064	257313.BP2909	1783
11641133	257313.BP1857	1760
11640759	257313.BP1435	1749
11641151	257313.BP1884	1737
11642348	257313.BP3228	1733
11642166	257313.BP3018	1732
11642445	257313.BP3342	1728
11641969	257313.BP2796	1721
11640739	257313.BP1415	1716
11642534	257313.BP3441	1712
11641956	257313.BP2783	1712
11640801	257313.BP1482	1706
11642399	257313.BP3287	1698
11640032	257313.BP0607	1682
11640888	257313.BP1573	1658
11639988	257313.BP0558	1652
11642112	257313.BP2960	1631
11641053	257313.BP1764	1625
11642435	257313.BP3329	1622
11642704	257313.BP3628	1620
11641624	257313.BP2421	1611
11642378	257313.BP3264	1608
11640464	257313.BP1102	1588
11640338	257313.BP0955	1588
11640262	257313.BP0869	1584
11640815	257313.BP1497	1578
11641064	257313.BP1776	1575
11639927	257313.BP0489	1569
11641747	257313.BP2546	1563
11641966	257313.BP2793	1562
11641286	257313.BP2044	1552
11642258	257313.BP3121	1549
11640928	257313.BP1616	1541
11642634	257313.BP3554	1523
11642799	257313.BP3730	1513
11642063	257313.BP2908	1508
11640649	257313.BP1300	1502
11640886	257313.BP1570	1500
11642428	257313.BP3321	1492
11641989	257313.BP2818	1474
11641641	257313.BP2439	1457
11640237	257313.BP0844	1451
11639774	257313.BP0315	1451
11640198	257313.BP0801	1439
11641930	257313.BP2753	1430
11640937	257313.BP1630	1430
11640806	257313.BP1487	1401
11640239	257313.BP0846	1392
11639827	257313.BP0371	1380
11639839	257313.BP0383	1375
11641420	257313.BP2198	1375
11640617	257313.BP1264	1374
11640029	257313.BP0604	1367
11642823	257313.BP3754	1366
11642019	257313.BP2858	1360
11642696	257313.BP3619	1358
11641418	257313.BP2196	1357
11639571	257313.BP0079	1350
11641738	257313.BP2537	1333
11642502	257313.BP3405	1331
11642142	257313.BP2993	1327
11640635	257313.BP1285	1326
11642826	257313.BP3757	1319
11641986	257313.BP2815	1310
11641158	257313.BP1895	1307
11642346	257313.BP3226	1307
11641289	257313.BP2047	1303
11639840	257313.BP0385	1302
11642525	257313.BP3432	1292
11641350	257313.BP2120	1291
11640604	257313.BP1250	1279
11640745	257313.BP1421	1276
11642520	257313.BP3425	1271
11642261	257313.BP3124	1270
11640802	257313.BP1483	1258
11641099	257313.BP1817	1256
11642141	257313.BP2992	1250
11642262	257313.BP3125	1238
11642839	257313.BP3772	1234
11642797	257313.BP3728	1218
11641168	257313.BP1906	1218
11642557	257313.BP3467	1218
11641042	257313.BP1753	1218
11639515	257313.BP0010	1212
11641763	257313.BP2562	1209
11641734	257313.BP2533	1195
11642376	257313.BP3262	1192
11642692	257313.BP3615	1189
11640855	257313.BP1538	1180
11640329	257313.BP0946	1179
11640800	257313.BP1481	1175
11642848	257313.BP3783	1170
11642670	257313.BP3590	1169
11640911	257313.BP1596	1163
11642737	257313.BP3662	1157
11642230	257313.BP3087	1151
11642173	257313.BP3025	1148
11641596	257313.BP2389	1145
11640186	257313.BP0789	1136
11641313	257313.BP2075	1135
11642128	257313.BP2978	1130
11639517	257313.BP0013	1127
11641229	257313.BP1977	1125
11641957	257313.BP2784	1125
11640191	257313.BP0794	1117
11642717	257313.BP3641	1113
11642669	257313.BP3589	1112
11641570	257313.BP2360	1110
11641775	257313.BP2574	1107
11642686	257313.BP3609	1106
11640376	257313.BP1001	1091
11640083	257313.BP0664	1087
11642883	257313.BP3819	1085
11642689	257313.BP3612	1084
11641101	257313.BP1819	1081
11639842	257313.BP0387	1078
11641958	257313.BP2785	1072
11641149	257313.BP1882	1062
11640261	257313.BP0868	1061
11640503	257313.BP1146	1057
11639514	257313.BP0009	1041
11641415	257313.BP2193	1040
11639681	257313.BP0206	1035
11642144	257313.BP2996	1019
11642169	257313.BP3021	1018
11642676	257313.BP3597	1017
11640817	257313.BP1499	1015
11641883	257313.BP2702	1013
11642113	257313.BP2961	1009
11642116	257313.BP2964	996
11641936	257313.BP2759	994
11640776	257313.BP1452	994
11639604	257313.BP0115	988
11640804	257313.BP1485	981
11642837	257313.BP3770	980
11642561	257313.BP3471	978
11641411	257313.BP2189	974
