#id: 1677465864
#name: Kluyveromyces lactis NRRL Y-1140 - Whole organism (Integrated)
#score: 14.4
#coverage: 57
#description: integrated dataset: weighted average of all Kluyveromyces lactis NRRL Y-1140 WHOLE_ORGANISM: 14.4, Coverage: 57
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD001330_Kito_Mol_cell_proteomics_2016_Kluyveromyces_lactis_2:0.526;PXD001330_Kito_Mol_cell_proteomics_2016_Kluyveromyces_lactis_1:0.474;
#publication_year: 2023
#filename: 284590-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
64509767	284590.Q6CNH9	18122
64512797	284590.Q6CYA5	16259
64507859	284590.B4UN96	14577
64511480	284590.Q6CU17	14183
64512348	284590.Q6CWU3	13968
64512873	284590.Q70CP7	10787
64510293	284590.Q6CQ83	10590
64512622	284590.Q6CXQ6	10204
64510027	284590.Q6CPC5	10040
64509984	284590.Q6CP75	9788
64512130	284590.Q6CW41	9517
64512461	284590.Q6CX80	9439
64510865	284590.Q6CS37	9370
64511872	284590.Q6CVB1	7623
64510610	284590.Q6CRA3	7599
64509991	284590.Q6CP82	7356
64512408	284590.Q6CX23	7276
64510895	284590.Q6CS71	7094
64512216	284590.Q6CWE7	6930
64508079	284590.P49376	6695
64512286	284590.Q6CWM6	6396
64508034	284590.P14828	6041
64509317	284590.Q6CM18	5959
64509075	284590.Q6CLA6	5893
64508859	284590.Q6CKL3	5876
64512344	284590.Q6CWT9	5789
64508590	284590.Q6CJR7	5683
64508047	284590.P27069	5629
64508039	284590.P20369	5522
64509611	284590.Q6CN12	5482
64507961	284590.F2Z696	5360
64512090	284590.Q6CVZ5	5242
64510707	284590.Q6CRK7	5207
64512341	284590.Q6CWT6	5073
64512589	284590.Q6CXM0	5059
64508763	284590.Q6CKA7	5015
64511063	284590.Q6CSS8	4998
64512200	284590.Q6CWD0	4808
64509043	284590.Q6CL71	4792
64512648	284590.Q6CXT4	4672
64509318	284590.Q6CM20	4646
64508036	284590.P17819	4499
64512588	284590.Q6CXL8	4315
64509367	284590.Q6CM79	4215
64508088	284590.P49385	4069
64510399	284590.Q6CQM3	3839
64509773	284590.Q6CNI7	3839
64512859	284590.Q6CYH5	3802
64509889	284590.Q6CNX0	3797
64512650	284590.Q6CXT6	3766
64508098	284590.P69061	3747
64508920	284590.Q6CKT4	3709
64511829	284590.Q6CV65	3523
64508035	284590.P17128	3479
64510833	284590.Q6CRZ8	3472
64509115	284590.Q6CLE8	3471
64510744	284590.Q6CRP7	3444
64510813	284590.Q6CRX7	3123
64512262	284590.Q6CWJ6	3078
64510514	284590.Q6CQZ9	3012
64508232	284590.Q6CIM1	2994
64512879	284590.Q875M9	2856
64509044	284590.Q6CL72	2789
64508054	284590.P33285	2741
64508938	284590.Q6CKV4	2737
64509681	284590.Q6CN90	2734
64508086	284590.P49383	2723
64508530	284590.Q6CJK0	2713
64508873	284590.Q6CKM9	2654
64508056	284590.P34214	2623
64512175	284590.Q6CW97	2532
64508500	284590.Q6CJG5	2416
64508083	284590.P49380	2372
64512192	284590.Q6CWC1	2357
64508218	284590.Q6CIK7	2356
64510559	284590.Q6CR46	2330
64508209	284590.Q6CIJ7	2057
64509439	284590.Q6CMG1	2030
64507861	284590.B4UN98	2019
64510129	284590.Q6CPN9	2012
64511052	284590.Q6CSR6	1973
64509067	284590.Q6CL98	1933
64510858	284590.Q6CS27	1904
64508113	284590.Q00988	1888
64511504	284590.Q6CU43	1831
64507913	284590.B5FVA6	1824
64510152	284590.Q6CPR5	1758
