#id: 1323817045
#name: V. vinifera L. - Shoot, NSAF (Crameretal,bmcplantbiol2013)
#score: 11.1
#weight:  100%
#description: abundance based on NSAF, Interaction consistency score: 11.1, Coverage: 8
#organ: SHOOT
#integrated: false
#coverage: 8
#link: http://www.ncbi.nlm.nih.gov/pubmed/23514573
#publication_year: 2013
#filename: 29760-PXD000123_Cramer_BMC_Plant_Biol_2013_grapevine_shoot_control.txt
#
#internal_id	string_external_id	abundance
5805887	29760.VIT_17s0000g03690.t01	11632
5786646	29760.VIT_03s0063g02610.t01	7050
5808323	29760.VIT_18s0072g00380.t01	6542
5806518	29760.VIT_17s0000g10430.t01	5777
5798222	29760.VIT_12s0028g00320.t01	5370
5796280	29760.VIT_10s0003g02890.t01	5159
5793465	29760.VIT_08s0007g03830.t01	4710
5791738	29760.VIT_07s0005g02220.t01	4656
5794281	29760.VIT_08s0040g02330.t01	4603
5790478	29760.VIT_06s0004g03550.t01	4426
5791100	29760.VIT_06s0009g02020.t01	4404
5794157	29760.VIT_08s0040g00980.t01	4373
5800036	29760.VIT_13s0019g03920.t01	4026
5804937	29760.VIT_16s0050g00380.t01	4019
5793478	29760.VIT_08s0007g03960.t01	3982
5796499	29760.VIT_10s0003g05320.t01	3975
5790635	29760.VIT_06s0004g05180.t01	3951
5807953	29760.VIT_18s0001g14400.t01	3898
5791739	29760.VIT_07s0005g02230.t01	3807
5785288	29760.VIT_02s0025g03680.t01	3801
5796100	29760.VIT_10s0003g01000.t01	3722
5788588	29760.VIT_05s0020g00670.t01	3715
5793251	29760.VIT_08s0007g01630.t01	3674
5799807	29760.VIT_13s0019g01430.t01	3668
5799773	29760.VIT_13s0019g01090.t01	3536
5807949	29760.VIT_18s0001g14360.t01	3521
5790572	29760.VIT_06s0004g04510.t01	3472
5803207	29760.VIT_15s0021g01330.t01	3451
5788229	29760.VIT_04s0044g00580.t01	3448
5790510	29760.VIT_06s0004g03890.t01	3399
5797048	29760.VIT_11s0016g00470.t01	3384
5794636	29760.VIT_08s0058g01210.t01	3379
5800921	29760.VIT_13s0074g00770.t01	3349
5799672	29760.VIT_12s0178g00200.t01	3308
5790700	29760.VIT_06s0004g05870.t01	3291
5809862	29760.VIT_19s0085g00370.t01	3163
5801913	29760.VIT_14s0060g00480.t01	3149
5788854	29760.VIT_05s0020g03450.t01	3112
5798276	29760.VIT_12s0028g01080.t01	3031
5781101	29760.VIT_00s0207g00210.t01	3017
5807364	29760.VIT_18s0001g08250.t01	3003
5792859	29760.VIT_07s0141g00710.t01	2982
5801753	29760.VIT_14s0030g02180.t01	2976
5802817	29760.VIT_14s0108g00440.t01	2958
5782642	29760.VIT_00s0904g00010.t01	2957
5809863	29760.VIT_19s0085g00380.t01	2925
5808922	29760.VIT_19s0014g00160.t01	2882
5793109	29760.VIT_08s0007g00130.t01	2878
5790568	29760.VIT_06s0004g04470.t01	2876
5790548	29760.VIT_06s0004g04270.t01	2865
5804560	29760.VIT_16s0022g01770.t01	2857
5794510	29760.VIT_08s0056g01570.t01	2849
5788952	29760.VIT_05s0020g04510.t01	2845
5793720	29760.VIT_08s0007g06520.t01	2827
5786687	29760.VIT_03s0088g00380.t01	2815
5793176	29760.VIT_08s0007g00840.t01	2798
5805765	29760.VIT_17s0000g02450.t01	2773
5784612	29760.VIT_01s0150g00310.t01	2747
5785274	29760.VIT_02s0025g03540.t01	2719
5789984	29760.VIT_05s0102g00710.t01	2667
5789037	29760.VIT_05s0029g00330.t01	2662
5807697	29760.VIT_18s0001g11710.t01	2632
5804534	29760.VIT_16s0022g01460.t01	2589
5780948	29760.VIT_00s0194g00030.t01	2573
5809501	29760.VIT_19s0015g01090.t01	2562
5802090	29760.VIT_14s0060g02360.t01	2562
5806877	29760.VIT_18s0001g02740.t01	2541
5791274	29760.VIT_06s0061g00270.t01	2535
5781498	29760.VIT_00s0260g00060.t01	2517
5792505	29760.VIT_07s0104g00410.t01	2497
5809731	29760.VIT_19s0027g00760.t01	2489
5784159	29760.VIT_01s0026g00570.t01	2470
5781973	29760.VIT_00s0373g00010.t01	2442
5799147	29760.VIT_12s0057g00630.t01	2420
5806175	29760.VIT_17s0000g06670.t01	2358
5791129	29760.VIT_06s0009g02410.t01	2354
5788980	29760.VIT_05s0020g04790.t01	2354
5781817	29760.VIT_00s0332g00060.t01	2351
5790578	29760.VIT_06s0004g04570.t01	2298
5794370	29760.VIT_08s0040g03300.t01	2203
5789035	29760.VIT_05s0029g00310.t01	2196
5788637	29760.VIT_05s0020g01170.t01	2187
5783080	29760.VIT_00s2608g00010.t01	2183
5805276	29760.VIT_16s0098g01190.t01	2148
5786125	29760.VIT_03s0038g01930.t01	2146
5806470	29760.VIT_17s0000g09840.t01	2122
5804532	29760.VIT_16s0022g01440.t01	2117
5806698	29760.VIT_18s0001g00760.t01	2099
5790182	29760.VIT_06s0004g00480.t01	2078
5788572	29760.VIT_05s0020g00490.t01	2044
5793333	29760.VIT_08s0007g02490.t01	2023
5788307	29760.VIT_04s0044g01410.t01	1970
5809261	29760.VIT_19s0014g03850.t01	1954
5795120	29760.VIT_09s0002g04320.t01	1954
5805849	29760.VIT_17s0000g03310.t01	1952
5794241	29760.VIT_08s0040g01870.t01	1945
