#id: 1114792907
#name: V. vinifera L. - Exocarp, NSAF (Ghanetal,bmcgenomics2015)
#score: 4.9
#weight:  20%
#description: abundance based on NSAF, Interaction consistency score: 4.9, Coverage: 4
#organ: EXOCARP
#integrated: false
#coverage: 4
#link: http://www.ncbi.nlm.nih.gov/pubmed/26573226
#publication_year: 2015
#filename: 29760-PXD001661_Ghan_BMC_Genomics_2015_VVinifera_Semillon.txt
#
#internal_id	string_external_id	abundance
5785351	29760.VIT_02s0025g04330.t01	25404
5794638	29760.VIT_08s0058g01230.t01	21643
5783967	29760.VIT_01s0011g05110.t01	20360
5802591	29760.VIT_14s0081g00030.t01	18064
5789791	29760.VIT_05s0094g00340.t01	16121
5797354	29760.VIT_11s0016g03630.t01	14757
5785348	29760.VIT_02s0025g04300.t01	13658
5790478	29760.VIT_06s0004g03550.t01	11208
5793679	29760.VIT_08s0007g06040.t01	10436
5807953	29760.VIT_18s0001g14400.t01	9872
5785280	29760.VIT_02s0025g03600.t01	9466
5789687	29760.VIT_05s0077g01580.t01	8784
5799295	29760.VIT_12s0059g00590.t01	8403
5785345	29760.VIT_02s0025g04270.t01	8017
5808323	29760.VIT_18s0072g00380.t01	7638
5786125	29760.VIT_03s0038g01930.t01	7231
5803207	29760.VIT_15s0021g01330.t01	6572
5785344	29760.VIT_02s0025g04260.t01	6296
5787921	29760.VIT_04s0023g02050.t01	6267
5785352	29760.VIT_02s0025g04340.t01	6233
5804560	29760.VIT_16s0022g01770.t01	6009
5793681	29760.VIT_08s0007g06060.t01	5979
5807846	29760.VIT_18s0001g13250.t01	5878
5799672	29760.VIT_12s0178g00200.t01	5575
5786646	29760.VIT_03s0063g02610.t01	5559
5788229	29760.VIT_04s0044g00580.t01	5225
5796100	29760.VIT_10s0003g01000.t01	5021
5800717	29760.VIT_13s0067g02990.t01	4526
5788767	29760.VIT_05s0020g02540.t01	4412
5787781	29760.VIT_04s0023g00590.t01	4400
5788637	29760.VIT_05s0020g01170.t01	4236
5793478	29760.VIT_08s0007g03960.t01	4056
5788242	29760.VIT_04s0044g00710.t01	3865
5793342	29760.VIT_08s0007g02580.t01	3821
5785350	29760.VIT_02s0025g04320.t01	3786
5790578	29760.VIT_06s0004g04570.t01	3784
5805887	29760.VIT_17s0000g03690.t01	3778
5806175	29760.VIT_17s0000g06670.t01	3759
5787081	29760.VIT_04s0008g00490.t01	3732
5787177	29760.VIT_04s0008g01490.t01	3657
5802208	29760.VIT_14s0066g00960.t01	3498
5795017	29760.VIT_09s0002g03250.t01	3473
5787187	29760.VIT_04s0008g01590.t01	3431
5790887	29760.VIT_06s0004g07770.t01	3381
5791842	29760.VIT_07s0005g03360.t01	3262
5787180	29760.VIT_04s0008g01520.t01	3203
5806698	29760.VIT_18s0001g00760.t01	3060
5797010	29760.VIT_11s0016g00020.t01	3058
5800797	29760.VIT_13s0067g03820.t01	3058
5809057	29760.VIT_19s0014g01640.t01	3026
5788920	29760.VIT_05s0020g04160.t01	2991
5781498	29760.VIT_00s0260g00060.t01	2935
5805809	29760.VIT_17s0000g02900.t01	2924
5794636	29760.VIT_08s0058g01210.t01	2897
5799773	29760.VIT_13s0019g01090.t01	2841
5798276	29760.VIT_12s0028g01080.t01	2837
5806856	29760.VIT_18s0001g02510.t01	2830
5783907	29760.VIT_01s0011g04490.t01	2804
5809862	29760.VIT_19s0085g00370.t01	2803
5793465	29760.VIT_08s0007g03830.t01	2752
5794295	29760.VIT_08s0040g02470.t01	2697
5791117	29760.VIT_06s0009g02230.t01	2683
