#id: 2276485648
#name: Haloferax volcanii - Whole organism, calculated iBAQ (Cerlettietal,proteomics2018)
#score: 0.2
#description: abundance based on calculated iBAQ, Interaction consistency score: 0.2, Coverage: 29
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 29
#link: http://www.ncbi.nlm.nih.gov/pubmed/29888524
#publication_year: 2018
#filename: 309800-PXD009116_Cerletti_Proteomics_2018_H_volcanii_cyt_expo.txt
#
#string_external_id	abundance
309800.C498_00215	31928
309800.C498_18828	29455
309800.C498_16903	23050
309800.C498_16918	18956
309800.C498_05356	17262
309800.C498_19129	12463
309800.C498_09204	12408
309800.C498_01470	11898
309800.C498_12688	11062
309800.C498_18758	10450
309800.C498_14843	10267
309800.C498_01435	10076
309800.C498_09199	10003
309800.C498_14438	8353
309800.C498_12208	8073
309800.C498_04870	7762
309800.C498_06313	7439
309800.C498_13764	7295
309800.C498_17633	7216
309800.C498_14433	6956
309800.C498_08080	6776
309800.C498_02025	6686
309800.C498_05653	6653
309800.C498_18933	6647
309800.C498_16404	6365
309800.C498_02280	6325
309800.C498_08050	6023
309800.C498_13299	5938
309800.C498_13874	5712
309800.C498_01445	5678
309800.C498_15228	5460
309800.C498_08100	5322
309800.C498_12213	5299
309800.C498_03085	5257
309800.C498_12798	4864
309800.C498_08220	4791
309800.C498_16269	4580
309800.C498_08739	4460
309800.C498_08010	4431
309800.C498_05045	4355
309800.C498_14178	4353
309800.C498_14443	4287
309800.C498_07818	4254
309800.C498_01460	4240
309800.C498_08674	4225
309800.C498_18070	4119
309800.C498_07200	4060
309800.C498_17885	4030
309800.C498_13864	3888
309800.C498_07555	3824
309800.C498_17965	3772
309800.C498_19324	3733
309800.C498_15338	3685
309800.C498_05136	3611
309800.C498_14368	3555
309800.C498_17108	3492
309800.C498_02730	3486
309800.C498_02320	3421
309800.C498_14303	3404
309800.C498_17118	3397
309800.C498_11751	3333
309800.C498_18363	3305
309800.C498_07995	3152
309800.C498_11291	3139
309800.C498_03540	3120
309800.C498_14121	3091
309800.C498_04770	3048
309800.C498_12883	3047
309800.C498_14488	3046
309800.C498_08060	2975
309800.C498_17168	2930
309800.C498_14388	2929
309800.C498_11731	2898
309800.C498_14703	2868
309800.C498_16958	2862
309800.C498_04453	2857
309800.C498_12018	2847
309800.C498_17103	2833
309800.C498_13374	2732
309800.C498_08789	2659
309800.C498_11476	2656
309800.C498_10081	2655
309800.C498_09179	2650
309800.C498_09396	2648
309800.C498_08110	2642
309800.C498_12323	2640
309800.C498_13899	2592
309800.C498_17695	2583
309800.C498_03225	2582
309800.C498_17835	2573
309800.C498_14518	2534
309800.C498_16134	2497
309800.C498_19089	2468
309800.C498_16963	2452
309800.C498_13669	2439
309800.C498_03220	2433
309800.C498_12233	2405
309800.C498_05648	2371
309800.C498_08909	2367
309800.C498_19459	2359
309800.C498_02020	2349
309800.C498_16099	2349
309800.C498_07723	2308
309800.C498_18853	2300
309800.C498_07615	2285
309800.C498_13083	2270
309800.C498_15088	2262
309800.C498_01480	2260
309800.C498_11326	2223
309800.C498_04600	2212
309800.C498_15820	2179
