#id: 3486650849
#name: Haloferax volcanii - Whole organism, calculated iBAQ (Cerlettietal,proteomics2018)
#score: 0.7
#description: abundance based on calculated iBAQ, Interaction consistency score: 0.7, Coverage: 29
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 29
#link: http://www.ncbi.nlm.nih.gov/pubmed/29888524
#publication_year: 2018
#filename: 309800-PXD009116_Cerletti_Proteomics_2018_H_volcanii_cyt_stat.txt
#
#string_external_id	abundance
309800.C498_00215	83418
309800.C498_16903	24462
309800.C498_05356	17554
309800.C498_03085	15038
309800.C498_18828	14391
309800.C498_18758	14062
309800.C498_16918	13518
309800.C498_12688	13140
309800.C498_01445	10554
309800.C498_19129	10218
309800.C498_02280	8878
309800.C498_14843	7954
309800.C498_13299	7407
309800.C498_10081	7311
309800.C498_12798	6981
309800.C498_01470	6511
309800.C498_04870	6401
309800.C498_14273	6210
309800.C498_07200	6209
309800.C498_18363	6202
309800.C498_08050	6052
309800.C498_11326	5990
309800.C498_14438	5891
309800.C498_09204	5878
309800.C498_06313	5697
309800.C498_02025	5454
309800.C498_17168	5364
309800.C498_05653	5348
309800.C498_16404	5348
309800.C498_12208	5077
309800.C498_08220	4977
309800.C498_14178	4925
309800.C498_05045	4670
309800.C498_17633	4598
309800.C498_14443	4567
309800.C498_17770	4529
309800.C498_14433	4477
309800.C498_08080	4408
309800.C498_12078	4246
309800.C498_14303	4242
309800.C498_18933	4132
309800.C498_06068	4092
309800.C498_01435	4022
309800.C498_17965	3819
309800.C498_09711	3782
309800.C498_03315	3683
309800.C498_03540	3621
309800.C498_07818	3516
309800.C498_03645	3504
309800.C498_17695	3456
309800.C498_01505	3437
309800.C498_01460	3436
309800.C498_12323	3407
309800.C498_08789	3398
309800.C498_03060	3353
309800.C498_12233	3303
309800.C498_17108	3230
309800.C498_13764	3220
309800.C498_13899	3192
309800.C498_11808	3169
309800.C498_08010	3100
309800.C498_12883	3096
309800.C498_05346	3080
309800.C498_17885	3055
309800.C498_13374	3050
309800.C498_19324	3010
309800.C498_18853	2959
309800.C498_05136	2911
309800.C498_14121	2907
309800.C498_16808	2884
309800.C498_03090	2849
309800.C498_19459	2847
309800.C498_03225	2763
309800.C498_03220	2759
309800.C498_17578	2732
309800.C498_11751	2730
309800.C498_10461	2700
309800.C498_08739	2692
309800.C498_14488	2616
309800.C498_15228	2607
309800.C498_18848	2570
309800.C498_18070	2540
309800.C498_07085	2533
309800.C498_01450	2508
309800.C498_09701	2503
309800.C498_03215	2488
309800.C498_18903	2480
309800.C498_11476	2470
309800.C498_07615	2463
309800.C498_03325	2423
309800.C498_12018	2377
309800.C498_10466	2375
309800.C498_16384	2372
309800.C498_12213	2354
309800.C498_16958	2338
309800.C498_01480	2331
309800.C498_04363	2305
309800.C498_16963	2303
309800.C498_09339	2302
309800.C498_14388	2285
309800.C498_08100	2279
309800.C498_00315	2265
309800.C498_02020	2260
309800.C498_08674	2245
309800.C498_04453	2228
309800.C498_07555	2220
309800.C498_03165	2201
309800.C498_15338	2191
309800.C498_18140	2160
309800.C498_00630	2150
309800.C498_18200	2143
309800.C498_16269	2142
309800.C498_07723	2116
309800.C498_08909	2097
309800.C498_15018	2085
309800.C498_16134	2059
309800.C498_03660	2043
309800.C498_01380	2007
309800.C498_05648	2003
309800.C498_14368	1979
309800.C498_04770	1978
309800.C498_09199	1960
309800.C498_11511	1958
309800.C498_10711	1932
309800.C498_17835	1862
309800.C498_19089	1801
309800.C498_18783	1764
309800.C498_09396	1760
309800.C498_18623	1742
309800.C498_19249	1735
309800.C498_18000	1705
309800.C498_11291	1690
309800.C498_14473	1654
309800.C498_12568	1642
309800.C498_00445	1628
309800.C498_02730	1626
309800.C498_17700	1600
309800.C498_14703	1587
309800.C498_01780	1577
309800.C498_08350	1572
309800.C498_04600	1568
309800.C498_13083	1556
309800.C498_03385	1516
309800.C498_09716	1509
309800.C498_10681	1494
309800.C498_17083	1491
309800.C498_02870	1491
309800.C498_14688	1479
309800.C498_02315	1475
309800.C498_09706	1449
309800.C498_14263	1447
309800.C498_12868	1442
309800.C498_01800	1435
309800.C498_00575	1434
309800.C498_07195	1406
309800.C498_17118	1406
309800.C498_07883	1393
309800.C498_08385	1384
309800.C498_13344	1383
309800.C498_08644	1382
309800.C498_17103	1382
309800.C498_09971	1372
309800.C498_13594	1356
309800.C498_11843	1350
309800.C498_05568	1349
309800.C498_05496	1333
309800.C498_07610	1312
309800.C498_01115	1311
309800.C498_11873	1307
309800.C498_02515	1298
309800.C498_15805	1293
309800.C498_08060	1290
309800.C498_13073	1288
309800.C498_16099	1280
309800.C498_19299	1274
309800.C498_01170	1263
309800.C498_17493	1260
309800.C498_16079	1258
309800.C498_09189	1254
309800.C498_02375	1252
309800.C498_15088	1245
309800.C498_00270	1239
309800.C498_13669	1229
309800.C498_04540	1229
