#id: 1169778274
#name: Mycoplasma hominis - Whole organism (Integrated)
#score: 6.1
#coverage: 81
#description: integrated dataset: weighted average of all Mycoplasma hominis WHOLE_ORGANISM: 6.1, Coverage: 81
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD018714_thymidine_culture:0.909;PXD018714_arginine_culture:0.091;
#publication_year: 2023
#filename: 347256-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
347256.MHO_0690	74048
347256.MHO_0520	58270
347256.MHO_3580	51310
347256.MHO_0720	32745
347256.MHO_3620	32372
347256.MHO_0910	28325
347256.MHO_3010	26458
347256.MHO_5150	25005
347256.MHO_3500	23662
347256.MHO_5040	22818
347256.MHO_0640	20628
347256.MHO_4940	20371
347256.MHO_3800	19832
347256.MHO_0790	18375
347256.MHO_0630	16112
347256.MHO_0600	14571
347256.MHO_3490	12687
347256.MHO_2690	12557
347256.MHO_1510	11346
347256.MHO_0490	10829
347256.MHO_4180	10481
347256.MHO_3340	10475
347256.MHO_2120	10387
347256.MHO_0350	9858
347256.MHO_5310	9545
347256.MHO_0890	8776
347256.MHO_0740	7665
347256.MHO_5320	6802
347256.MHO_2620	6693
347256.MHO_1470	6630
347256.MHO_2950	6578
347256.MHO_4300	6420
347256.MHO_5010	6261
347256.MHO_4310	6248
347256.MHO_5000	5835
347256.MHO_2980	5772
347256.MHO_1310	5182
347256.MHO_3550	5085
347256.MHO_3310	4527
347256.MHO_3330	4466
347256.MHO_3050	4437
347256.MHO_4490	4412
347256.MHO_2970	4403
347256.MHO_5200	4250
347256.MHO_0530	4044
347256.MHO_4540	3998
347256.MHO_4070	3905
347256.MHO_0800	3800
347256.MHO_3380	3708
347256.MHO_4170	3644
347256.MHO_2660	3603
347256.MHO_3750	3536
347256.MHO_1120	3471
347256.MHO_3980	3376
347256.MHO_0260	3369
347256.MHO_2240	3314
347256.MHO_4860	3301
347256.MHO_2680	3271
347256.MHO_2830	3229
347256.MHO_3590	3223
347256.MHO_2700	3070
347256.MHO_1790	3011
347256.MHO_4720	3007
347256.MHO_2940	3000
347256.MHO_1180	2943
347256.MHO_0540	2936
347256.MHO_4080	2823
347256.MHO_1100	2810
347256.MHO_1040	2800
347256.MHO_2960	2792
347256.MHO_1080	2788
347256.MHO_2930	2777
347256.MHO_4700	2757
347256.MHO_1050	2753
347256.MHO_4160	2708
347256.MHO_1350	2703
347256.MHO_2230	2669
347256.MHO_3480	2542
347256.MHO_4610	2524
347256.MHO_2800	2406
347256.MHO_3350	2388
347256.MHO_2740	2384
347256.MHO_5280	2382
347256.MHO_4140	2316
347256.MHO_4260	2309
347256.MHO_4040	2255
347256.MHO_0240	2222
347256.MHO_2730	2173
347256.MHO_1460	2145
347256.MHO_2860	2109
347256.MHO_1370	2082
347256.MHO_2710	2078
347256.MHO_3200	2072
347256.MHO_5190	2071
347256.MHO_1450	2064
347256.MHO_2670	2058
347256.MHO_2360	2058
347256.MHO_2920	1981
347256.MHO_2990	1972
347256.MHO_3460	1940
347256.MHO_1170	1933
347256.MHO_1550	1929
347256.MHO_2610	1924
347256.MHO_0480	1835
347256.MHO_3730	1812
347256.MHO_0880	1775
347256.MHO_0870	1772
347256.MHO_1830	1743
347256.MHO_5270	1693
347256.MHO_2720	1675
347256.MHO_2810	1672
347256.MHO_3990	1650
347256.MHO_0390	1634
347256.MHO_0650	1625
347256.MHO_1880	1617
347256.MHO_3020	1563
347256.MHO_0320	1552
347256.MHO_2840	1521
347256.MHO_5160	1521
347256.MHO_4440	1499
347256.MHO_0920	1475
347256.MHO_2030	1458
347256.MHO_3650	1442
347256.MHO_3840	1441
347256.MHO_3110	1432
347256.MHO_4190	1421
347256.MHO_3560	1374
347256.MHO_3760	1352
347256.MHO_4230	1336
347256.MHO_0710	1319
347256.MHO_2150	1301
347256.MHO_0450	1278
347256.MHO_0410	1272
347256.MHO_2590	1242
347256.MHO_4390	1241
347256.MHO_0180	1229
347256.MHO_0050	1201
347256.MHO_1430	1198
347256.MHO_4450	1189
347256.MHO_3070	1162
347256.MHO_5090	1161
347256.MHO_0590	1119
347256.MHO_2220	1117
347256.MHO_2870	1097
347256.MHO_3060	1094
347256.MHO_2630	1080
347256.MHO_4520	1079
347256.MHO_2060	1076
347256.MHO_3450	1076
347256.MHO_3120	1066
347256.MHO_2270	1056
347256.MHO_3900	1040
347256.MHO_4060	1019
347256.MHO_3270	986
347256.MHO_3870	973
347256.MHO_0440	972
347256.MHO_2820	968
347256.MHO_0860	966
347256.MHO_4590	958
347256.MHO_1620	953
347256.MHO_2880	910
347256.MHO_4030	903
347256.MHO_1930	900
347256.MHO_1680	898
347256.MHO_0580	892
347256.MHO_4480	886
347256.MHO_2650	865
347256.MHO_3930	860
347256.MHO_3810	849
347256.MHO_0680	843
347256.MHO_3530	837
347256.MHO_0760	825
347256.MHO_4280	816
347256.MHO_2750	803
347256.MHO_3130	801
347256.MHO_2640	793
347256.MHO_4400	761
347256.MHO_4350	727
347256.MHO_5340	721
347256.MHO_2910	716
347256.MHO_1870	703
347256.MHO_0750	702
347256.MHO_4560	699
347256.MHO_0610	692
347256.MHO_2170	688
347256.MHO_0620	684
347256.MHO_3880	674
347256.MHO_0670	669
347256.MHO_2290	665
347256.MHO_2300	654
347256.MHO_4650	647
347256.MHO_3640	638
347256.MHO_0400	635
347256.MHO_5330	630
347256.MHO_0220	627
347256.MHO_1200	621
347256.MHO_1260	615
347256.MHO_5120	606
347256.MHO_3100	567
347256.MHO_2890	555
347256.MHO_1010	551
347256.MHO_3540	551
347256.MHO_3780	549
347256.MHO_5240	541
347256.MHO_4120	537
347256.MHO_4730	536
347256.MHO_1770	534
347256.MHO_1300	519
347256.MHO_1980	512
347256.MHO_1290	510
347256.MHO_1600	505
347256.MHO_3910	504
347256.MHO_2580	495
347256.MHO_4630	477
347256.MHO_1140	471
347256.MHO_3410	467
347256.MHO_0950	464
347256.MHO_1420	433
347256.MHO_3830	433
347256.MHO_5130	432
347256.MHO_1340	431
347256.MHO_1900	431
347256.MHO_0660	431
347256.MHO_4600	428
347256.MHO_1970	422
347256.MHO_1540	422
347256.MHO_3510	409
347256.MHO_1860	402
347256.MHO_3920	389
347256.MHO_5290	388
347256.MHO_0340	380
347256.MHO_2390	378
347256.MHO_1380	372
347256.MHO_3570	367
347256.MHO_1670	364
347256.MHO_1330	360
347256.MHO_3420	360
347256.MHO_3140	357
347256.MHO_3210	357
347256.MHO_4670	356
347256.MHO_2420	355
347256.MHO_3890	353
347256.MHO_1530	350
347256.MHO_1650	344
347256.MHO_3720	330
347256.MHO_4500	329
347256.MHO_0970	319
347256.MHO_0430	319
347256.MHO_3820	314
347256.MHO_0980	310
347256.MHO_1230	308
347256.MHO_2400	307
347256.MHO_4430	305
347256.MHO_3770	284
347256.MHO_3520	284
347256.MHO_3400	274
347256.MHO_1690	270
347256.MHO_0030	268
347256.MHO_0070	268
347256.MHO_0500	267
347256.MHO_1210	266
347256.MHO_0420	260
347256.MHO_4270	259
347256.MHO_3470	259
347256.MHO_2900	258
347256.MHO_0230	253
347256.MHO_3320	252
347256.MHO_2110	248
347256.MHO_4530	247
347256.MHO_2770	244
347256.MHO_4900	243
347256.MHO_4210	243
347256.MHO_1440	242
347256.MHO_3080	241
347256.MHO_1720	240
347256.MHO_4890	235
347256.MHO_3710	231
347256.MHO_5170	230
347256.MHO_2780	227
347256.MHO_1940	223
347256.MHO_1280	221
347256.MHO_2210	218
347256.MHO_2000	216
347256.MHO_1060	210
347256.MHO_2790	204
