#id: 2921826257
#name: Trypanosoma cruzi strain CL Brener - Whole organism, Stress30 (Degodoy,proteomics,2012)
#score: 7.2
#description: abundance based on MAPPED_BY_AUTHORS, stress30, Interaction consistency score: 7.2, Coverage: 24
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 24
#link: http://onlinelibrary.wiley.com/doi/10.1002/pmic.201200078/abstract
#publication_year: 2012
#filename: 353153-LFQ_Intensity_Stress30_deGodoy_2012.txt
#
#string_external_id	abundance
353153.Q4DQP2	68888
353153.Q4CLA1	45875
353153.Q4DTM8	21704
353153.Q4CNI1	10400
353153.Q4E4V7	10400
353153.Q4DZ98	9630
353153.Q4E496	9249
353153.Q4DYP5	9249
353153.Q4D5C2	8681
353153.Q4DWV8	8681
353153.Q4DJ07	6526
353153.Q4D5X0	5964
353153.Q4D3T1	5964
353153.Q4CLW8	5580
353153.Q4E3P5	5577
353153.Q4DB58	5577
353153.Q4DA95	5577
353153.Q4DI23	5577
353153.Q4E0Q0	5577
353153.Q4DXL5	5408
353153.Q4D4A0	5408
353153.Q4D3P5	5051
353153.Q4DQ27	5051
353153.Q4CU51	5032
353153.Q4DAE1	5032
353153.Q4E4L9	4773
353153.Q4CWA5	4571
353153.Q4CQS6	4464
353153.Q4CQS5	4464
353153.Q4DCL2	4464
353153.Q4DBM7	4464
353153.Q4CRF6	4212
353153.Q4CXI2	4212
353153.Q4CXI1	4212
353153.Q4DYF9	4212
353153.Q4CU73	4212
353153.Q4E256	4031
353153.Q4DTV8	4028
353153.Q4E5G5	3632
353153.Q4DKI7	3553
353153.Q4D1B8	3420
353153.Q4E349	3362
353153.Q4D0Q0	3333
353153.Q4D620	3301
353153.Q4CK86	3301
353153.Q4DW49	3136
353153.Q4D8V7	3129
353153.Q4DB81	3129
353153.Q4DZW1	3109
353153.Q4DJS7	3080
353153.Q4CTD8	3074
353153.Q4CTD7	3074
353153.Q4E4V0	3058
353153.Q4DD13	3004
353153.Q4D634	2995
353153.Q4CQJ3	2932
353153.Q4DTX7	2932
353153.Q4DCN9	2916
353153.Q4DHF0	2916
353153.Q4DIF6	2856
353153.Q4D9S6	2842
353153.Q4D3F7	2788
353153.Q4DTN2	2754
353153.Q4CYC6	2693
353153.Q4DPV7	2660
353153.Q4E133	2647
353153.Q4CTR7	2617
353153.Q4DU88	2493
353153.Q4DI67	2464
353153.Q4E589	2446
353153.Q4E4N4	2446
353153.Q4E2N6	2422
353153.Q4E2I6	2407
353153.Q4DGX6	2367
353153.Q4DBK5	2367
353153.Q4E2Q2	2326
353153.Q4DKS7	2294
353153.Q4DWL8	2219
353153.Q4E5I9	2212
353153.Q4DY23	2212
353153.Q4CSI2	2173
353153.Q4D455	2123
353153.Q4DNQ7	2123
353153.Q4DWB5	2094
353153.Q4CNR6	2066
353153.Q4E2M9	1984
353153.Q4E093	1965
353153.Q4D1Q4	1949
353153.Q4CR09	1928
353153.Q4CR10	1928
353153.Q4CVR9	1921
353153.Q4CPR7	1921
353153.Q4CL09	1921
353153.Q4CVL7	1921
353153.Q4DXG9	1921
353153.Q4CYQ8	1890
353153.Q4D7A6	1890
353153.Q4D2U4	1872
353153.Q4CYW7	1872
353153.Q4DPG7	1872
353153.Q4DZ84	1872
353153.Q4E4E7	1872
353153.Q4D6N0	1755
353153.Q4D7M6	1749
353153.Q4CPQ6	1714
353153.Q4E355	1705
353153.Q4E4L7	1672
353153.Q4D9G6	1629
353153.Q4DJX1	1620
353153.Q4D193	1616
353153.Q4DNV8	1616
353153.Q4DTP7	1515
353153.Q4DG86	1502
353153.Q4CQW2	1463
353153.Q4CMS3	1463
353153.Q4DRM4	1439
353153.Q4DUG8	1439
353153.Q4DJ68	1434
353153.Q4CVF7	1416
353153.Q4DRT8	1407
353153.Q4CMZ5	1397
353153.Q4CYL3	1389
353153.Q4DYD9	1351
353153.Q4CP51	1344
353153.Q4E162	1316
353153.Q4E0F6	1316
353153.Q4D6I3	1310
353153.Q4DJB6	1303
353153.Q4D066	1288
353153.Q4CYU3	1288
353153.Q4DFP0	1274
353153.Q4D301	1247
353153.Q4D2Z9	1247
353153.Q4CM56	1247
353153.Q4CVR5	1247
353153.Q4D214	1243
353153.Q4CPG3	1237
353153.Q4DDK8	1210
353153.Q4D4S4	1206
353153.Q4E246	1206
353153.Q4DWG6	1198
353153.Q4DG65	1196
353153.Q4CPZ0	1187
353153.Q4E2R7	1171
353153.Q4DNZ7	1156
353153.Q4DQC4	1155
353153.Q4DED4	1155
353153.Q4E4R8	1145
353153.Q4E088	1139
353153.Q4E4N2	1137
353153.Q4E151	1135
353153.Q4D139	1133
353153.Q4D137	1133
353153.Q4CSZ2	1133
353153.Q4D991	1114
353153.Q4CU39	1098
353153.Q4DPR3	1083
353153.Q4E122	1027
353153.Q4DLK5	1023
353153.Q4E3A4	1013
353153.Q4E3A3	1013
353153.Q4DJ92	1012
353153.Q4D7Y4	1011
353153.Q4D3A7	1011
353153.Q4D9Z4	1010
353153.Q4DQZ8	1006
353153.Q4CXB4	988
353153.Q4CT37	963
353153.Q4DI02	963
353153.Q4DIE1	961
353153.Q4E2Q5	950
353153.Q4D112	939
353153.Q4CYI3	929
353153.Q4D832	908
353153.Q4DSV5	902
353153.Q4CTR0	900
353153.Q4CT43	899
353153.Q4CL55	899
353153.Q4DTM9	898
353153.Q4DRH6	895
353153.Q4DHC9	895
353153.Q7Z1V1	894
353153.Q4E2P2	893
353153.Q4E5P5	893
353153.Q4DV43	886
353153.Q4DI66	884
353153.Q4DAS0	878
353153.Q4D6H3	873
353153.Q4CMB9	865
353153.Q4D5X2	865
353153.Q4DJJ9	859
353153.Q4DFS6	847
353153.Q4D6V2	847
353153.Q4DH96	846
353153.Q4DU31	844
353153.Q4DSU0	844
353153.Q4D7J7	841
353153.Q4E2W1	834
353153.Q4DG21	834
353153.Q4CRW9	834
353153.Q4CYV4	834
353153.Q4CRX0	834
