#id: 1047472972
#name: Trypanosoma cruzi strain CL Brener - Whole organism (Integrated)
#score: 9.1
#coverage: 24
#description: integrated dataset: weighted average of all Trypanosoma cruzi strain CL Brener WHOLE_ORGANISM: 9.1, Coverage: 24
#organ: WHOLE_ORGANISM
#integrated: true
#weights: LFQ_Intensity_Epi_deGodoy_2012:0.452;LFQ_Intensity_Stress2h_deGodoy_2012:0.226;LFQ_Intensity_Ade_deGodoy_2012:0.15;LFQ_Intensity_Meta_deGodoy_2012:0.138;LFQ_Intensity_Stress30_deGodoy_2012:0.034;
#publication_year: 2023
#filename: 353153-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
65988162	353153.Q4DQP2	72492
65974632	353153.Q4CLA1	59275
65989181	353153.Q4DTM8	21616
65991108	353153.Q4DZ98	9446
65993031	353153.Q4E4V7	8714
65975401	353153.Q4CNI1	8710
65981191	353153.Q4D5C2	8447
65990288	353153.Q4DWV8	8447
65990909	353153.Q4DYP5	8445
65992826	353153.Q4E496	8445
65985868	353153.Q4DJ07	5824
65978086	353153.Q4CWA5	5749
65980657	353153.Q4D3T1	5592
65981381	353153.Q4D5X0	5592
65982873	353153.Q4DA95	5028
65983180	353153.Q4DB58	5028
65985542	353153.Q4DI23	5028
65991599	353153.Q4E0Q0	5028
65992628	353153.Q4E3P5	5028
65974849	353153.Q4CLW8	4892
65980824	353153.Q4D4A0	4876
65990539	353153.Q4DXL5	4876
65992945	353153.Q4E4L9	4602
65976186	353153.Q4CQS5	4450
65976187	353153.Q4CQS6	4450
65983347	353153.Q4DBM7	4450
65983677	353153.Q4DCL2	4450
65981441	353153.Q4D634	4407
65989254	353153.Q4DTV8	4308
65985671	353153.Q4DIF6	4293
65976408	353153.Q4CRF6	4266
65977365	353153.Q4CU73	4252
65978503	353153.Q4CXI1	4252
65978504	353153.Q4CXI2	4252
65990823	353153.Q4DYF9	4252
65992436	353153.Q4E349	4137
65977080	353153.Q4CTD7	4058
65977081	353153.Q4CTD8	4058
65977344	353153.Q4CU51	3812
65982918	353153.Q4DAE1	3812
65980622	353153.Q4D3P5	3802
65987951	353153.Q4DQ27	3802
65993233	353153.Q4E5G5	3742
65983825	353153.Q4DD13	3460
65986133	353153.Q4DJS7	3449
65993024	353153.Q4E4V0	3330
65980537	353153.Q4D3F7	3325
65986386	353153.Q4DKI7	3265
65992096	353153.Q4E256	3234
65979814	353153.Q4D1B8	3233
65979606	353153.Q4D0Q0	3225
65974270	353153.Q4CK86	3124
65981428	353153.Q4D620	3124
65991318	353153.Q4DZW1	3097
65992223	353153.Q4E2I6	3040
65982705	353153.Q4D9S6	3038
65983704	353153.Q4DCN9	2984
65985324	353153.Q4DHF0	2984
65990033	353153.Q4DW49	2879
65976106	353153.Q4CQJ3	2848
65989273	353153.Q4DTX7	2848
65982398	353153.Q4D8V7	2844
