#id: 738609375
#name: Arabidopsis thaliana - Leaf, SC (Gfeller,plant_physiology,2011)
#score: 8.0
#description: abundance based on Spectral counting control, Interaction consistency score: 8.0, Coverage: 15
#organ: LEAF
#integrated: false
#coverage: 15
#link: http://www.plantphysiol.org/content/early/2011/06/21/pp.111.181008.short?keytype=ref&ijkey=4lFzrQqi1J1v7pY
#publication_year: 2011
#filename: 3702-6.1JasmonateControls_controlLeaves.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
635073	3702.ATCG00490.1	36522	1666
635050	3702.ATCG00120.1	12948	656
635090	3702.ATCG00680.1	12192	634
618258	3702.AT2G39730.1	11443	854
635072	3702.ATCG00480.1	11378	1208
625451	3702.AT4G10340.1	8745	457
635060	3702.ATCG00270.1	8717	311
609430	3702.AT1G15820.1	7873	292
612896	3702.AT1G61520.1	7710	168
628603	3702.AT4G38970.1	6620	274
608442	3702.AT1G06680.1	6241	270
624290	3702.AT3G60750.1	5877	548
635061	3702.ATCG00280.1	5690	319
631599	3702.AT5G35630.1	5473	301
624438	3702.AT3G62030.2	5438	228
613487	3702.AT1G67090.1	5113	165
623688	3702.AT3G54890.1	5095	124
611511	3702.AT1G44575.1	5088	189
630724	3702.AT5G20630.1	4262	100
620823	3702.AT3G16240.1	4060	39
620418	3702.AT3G12780.1	4025	304
622888	3702.AT3G47470.1	3992	171
619229	3702.AT3G01500.2	3934	302
628784	3702.AT5G01530.1	3893	204
624372	3702.AT3G61470.1	3824	133
629604	3702.AT5G09660.4	3682	175
635051	3702.ATCG00130.1	3587	69
635044	3702.ATCG00020.1	3574	123
625377	3702.AT4G09650.1	3481	159
625139	3702.AT4G05180.1	3448	143
616181	3702.AT2G20260.1	3385	54
611014	3702.AT1G32060.1	3292	222
633609	3702.AT5G54270.1	3205	99
635078	3702.ATCG00540.1	3127	194
630907	3702.AT5G23060.1	3113	149
635071	3702.ATCG00470.1	3078	76
620000	3702.AT3G08940.2	3048	163
617999	3702.AT2G37220.1	3045	116
608577	3702.AT1G07940.2	3028	688
634263	3702.AT5G60390.1	3028	688
608576	3702.AT1G07930.1	3028	688
608575	3702.AT1G07920.1	3028	688
617000	3702.AT2G28000.1	3027	261
611429	3702.AT1G42970.1	3001	263
623746	3702.AT3G55440.1	2977	143
626591	3702.AT4G20360.1	2967	277
617296	3702.AT2G30860.1	2962	81
613587	3702.AT1G68010.2	2937	164
630097	3702.AT5G14740.1	2904	224
616310	3702.AT2G21330.1	2885	148
627065	3702.AT4G24770.1	2873	69
610943	3702.AT1G31330.1	2866	115
609886	3702.AT1G20340.1	2810	26
626681	3702.AT4G21280.2	2800	113
631214	3702.AT5G26000.1	2780	302
634370	3702.AT5G61410.1	2725	127
634886	3702.AT5G66190.1	2656	160
623790	3702.AT3G55800.1	2626	149
622823	3702.AT3G46780.1	2589	191
625316	3702.AT4G09010.1	2553	133
608571	3702.AT1G07890.8	2497	82
609914	3702.AT1G20620.1	2438	139
635087	3702.ATCG00650.1	2437	10
618044	3702.AT2G37660.1	2424	106
608027	3702.AT1G02780.1	2416	22
619588	3702.AT3G04790.1	2397	109
612371	3702.AT1G54780.1	2385	65
630734	3702.AT5G20720.3	2372	101
615572	3702.AT2G13360.1	2355	174
627883	3702.AT4G32260.1	2341	77
624981	3702.AT4G03280.1	2329	94
608726	3702.AT1G09340.1	2320	179
616291	3702.AT2G21170.1	2288	110
630431	3702.AT5G17920.1	2272	253
631870	3702.AT5G38430.1	2269	67
627503	3702.AT4G28750.1	2219	51
631212	3702.AT5G25980.2	2195	185
628194	3702.AT4G35090.1	2178	118
628497	3702.AT4G37930.1	2171	179
625072	3702.AT4G04640.1	2165	127
609005	3702.AT1G11860.3	2159	155
613550	3702.AT1G67700.2	2085	38
612508	3702.AT1G56070.1	2071	288
627535	3702.AT4G29060.1	2057	190
621967	3702.AT3G26650.1	2051	113
623398	3702.AT3G52150.1	2033	41
629064	3702.AT5G04140.2	1991	505
631694	3702.AT5G36700.1	1989	220
631704	3702.AT5G36790.1	1989	220
609120	3702.AT1G12900.1	1960	98
608723	3702.AT1G09310.1	1959	45
634925	3702.AT5G66570.1	1911	104
623053	3702.AT3G49010.3	1892	17
617951	3702.AT2G36830.1	1847	16
635102	3702.ATCG00800.1	1846	46
619027	3702.AT2G46820.1	1825	36
620598	3702.AT3G14210.1	1819	104
635117	3702.ATCG01060.1	1810	32
635094	3702.ATCG00720.1	1803	67
635065	3702.ATCG00350.1	1712	134
614707	3702.AT1G78900.2	1690	180
609854	3702.AT1G20020.1	1663	111
617918	3702.AT2G36530.1	1639	130
635064	3702.ATCG00340.1	1635	147
615805	3702.AT2G16600.1	1621	47
626580	3702.AT4G20260.4	1593	40
627968	3702.AT4G33010.1	1577	226
630302	3702.AT5G16710.1	1572	45
623601	3702.AT3G54050.1	1572	111
619119	3702.AT2G47730.1	1568	63
613364	3702.AT1G65930.1	1566	83
612442	3702.AT1G55480.1	1565	83
609811	3702.AT1G19570.1	1565	51
622651	3702.AT3G45140.1	1565	227
612200	3702.AT1G53240.1	1547	67
625964	3702.AT4G14880.4	1526	90
624885	3702.AT4G02450.1	1516	18
621951	3702.AT3G26520.1	1484	15
626947	3702.AT4G23670.1	1479	39
614725	3702.AT1G79040.1	1474	19
624555	3702.AT3G63140.1	1464	101
630690	3702.AT5G20290.1	1437	38
624894	3702.AT4G02520.1	1431	48
613955	3702.AT1G71500.1	1423	84
621631	3702.AT3G23600.1	1415	50
616264	3702.AT2G20890.1	1376	67
615461	3702.AT2G07732.1	1333	35
620218	3702.AT3G10920.1	1327	48
622625	3702.AT3G44890.1	1319	27
618576	3702.AT2G42590.3	1305	39
632890	3702.AT5G47700.1	1297	12
