#id: 459036906
#name: Arabidopsis thaliana - Leaf, SC (Gfeller,plant_physiology,2011)
#score: 8.9
#description: abundance based on Spectral counting wounded, Interaction consistency score: 8.9, Coverage: 16
#organ: LEAF
#integrated: false
#coverage: 16
#link: http://www.plantphysiol.org/content/early/2011/06/21/pp.111.181008.short?keytype=ref&ijkey=4lFzrQqi1J1v7pY
#publication_year: 2011
#filename: 3702-6.2JasmonateControls_woundedLeaves.txt
#
#string_external_id	abundance	raw_spectral_count
3702.ATCG00490.1	41513	1837
3702.ATCG00120.1	13289	639
3702.AT2G39730.1	12764	902
3702.ATCG00480.1	11773	1204
3702.ATCG00680.1	11203	562
3702.AT4G38970.1	7547	296
3702.ATCG00270.1	7460	254
3702.AT4G10340.1	7004	340
3702.AT3G60750.1	6828	617
3702.AT1G06680.1	6761	283
3702.AT1G15820.1	5976	227
3702.AT5G35630.1	5835	307
3702.AT1G61520.1	5710	123
3702.AT3G62030.2	5414	215
3702.AT1G67090.1	5219	163
3702.ATCG00280.1	5117	264
3702.AT1G44575.1	4624	175
3702.AT3G54890.1	4430	104
3702.AT5G09660.4	4286	194
3702.AT3G12780.1	4133	304
3702.AT1G68010.2	3983	215
3702.AT5G01530.1	3869	180
3702.AT4G05180.1	3830	152
3702.AT3G01500.2	3777	288
3702.ATCG00020.1	3518	119
3702.AT2G30860.1	3439	90
3702.AT5G20630.1	3422	79
3702.AT3G55440.1	3336	157
3702.AT4G09650.1	3317	137
3702.AT2G21330.1	3290	152
3702.AT1G07940.2	3264	704
3702.AT5G60390.1	3264	704
3702.AT1G07930.1	3264	704
3702.AT1G07920.1	3264	704
3702.AT1G32060.1	3256	208
3702.AT5G38430.1	3241	92
3702.AT1G42970.1	3235	270
3702.AT5G61410.1	3211	145
3702.AT3G47470.1	3187	135
3702.AT3G16240.1	3174	29
3702.AT2G28000.1	3090	260
3702.AT4G20360.1	3064	264
3702.AT1G20340.1	2903	26
3702.AT2G37220.1	2876	106
3702.AT3G04790.1	2862	122
3702.AT5G20720.3	2858	116
3702.AT4G21280.2	2851	110
3702.AT5G26000.1	2845	290
3702.AT5G14740.1	2829	209
3702.AT2G21170.1	2743	135
3702.AT3G61470.1	2739	92
3702.AT2G20260.1	2738	42
3702.AT1G07890.8	2704	87
3702.AT5G54270.1	2703	87
3702.AT1G19570.1	2676	82
3702.AT3G55800.1	2669	152
3702.AT3G08940.2	2648	132
3702.AT1G20620.1	2610	141
3702.AT4G35090.1	2568	138
3702.ATCG00470.1	2542	57
3702.AT4G24770.1	2540	63
3702.AT2G37660.1	2539	103
3702.AT5G66190.1	2519	139
3702.AT2G13360.1	2508	175
3702.AT1G09340.1	2470	167
3702.AT5G23060.1	2453	113
3702.AT1G02780.1	2437	20
3702.AT1G54780.1	2427	61
3702.AT4G04640.1	2422	134
3702.AT3G46780.1	2406	167
3702.AT4G09010.1	2347	112
3702.AT3G45140.1	2338	322
