#id: 1250747377
#name: Arabidopsis thaliana - Rosette, End of day, SC (Reiland,plant_physiology,2009)
#score: 6.4
#description: abundance based on Spectral counting ED, end of day, Interaction consistency score: 6.4, Coverage: 9
#organ: ROSETTE
#integrated: false
#coverage: 9
#link: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2689975/
#publication_year: 2009
#filename: 3702-7.1Large-scalePhosphoproteome_rosette_ED.txt
#
#string_external_id	abundance	raw_spectral_count
3702.ATCG00490.1	50085	2008
3702.AT1G20340.1	24898	138
3702.AT2G39730.1	10572	509
3702.ATCG00710.1	8709	31
3702.ATCG00480.1	8008	609
3702.AT1G67090.1	7384	199
3702.AT1G06680.1	7149	237
3702.AT1G13930.3	6265	103
3702.AT5G20720.3	6203	178
3702.AT3G47070.1	5959	92
3702.AT4G21280.2	5812	191
3702.AT5G15970.1	5774	57
3702.ATCG00120.1	5578	266
3702.AT2G30860.1	5574	106
3702.AT1G32060.1	5569	284
3702.AT4G05180.1	4685	154
3702.AT4G38970.1	4596	175
3702.AT3G23390.1	4576	24
3702.AT3G01390.2	4479	40
3702.AT3G26060.2	4303	109
3702.AT1G76100.1	4161	21
3702.AT4G37930.1	4151	239
3702.AT5G38430.1	4096	92
3702.AT1G07940.2	4095	616
3702.AT1G07920.1	4095	616
3702.AT5G60390.1	4095	616
3702.AT1G07930.1	4095	616
3702.AT1G07890.8	4071	112
3702.AT3G62030.2	4048	161
3702.AT3G55800.1	4045	183
3702.AT4G29390.1	4037	36
3702.AT5G56670.1	4037	36
3702.AT2G19750.1	4037	36
3702.AT3G49305.1	3922	6
3702.AT3G60750.1	3910	280
3702.AT1G11860.3	3892	211
3702.AT4G20260.4	3817	73
3702.AT5G35630.1	3778	193
3702.AT4G28750.1	3667	46
3702.AT3G52150.1	3608	91
3702.AT2G28000.1	3552	235
3702.AT1G61520.1	3500	47
3702.AT2G38540.1	3441	32
3702.AT2G28190.1	3439	68
3702.AT5G09660.4	3433	98
3702.AT3G14210.1	3322	148
3702.AT1G79040.1	3289	40
3702.AT3G55440.1	3286	116
3702.AT1G33120.1	3232	132
3702.AT1G33140.1	3232	132
3702.AT5G66570.1	3207	116
3702.ATCG00900.1	3198	74
3702.ATCG01240.1	3198	74
3702.AT2G37660.1	3173	98
3702.AT1G09340.1	3142	167
3702.AT5G14740.1	3124	174
3702.AT5G19510.1	3052	54
3702.AT1G42970.1	2913	198
3702.AT3G04790.1	2878	87
3702.AT3G44890.1	2850	45
3702.AT3G01500.2	2824	150
3702.AT1G72610.1	2800	31
3702.AT1G68010.2	2759	157
3702.AT5G20290.1	2746	54
3702.AT4G10340.1	2735	119
3702.AT4G09320.1	2733	65
3702.AT1G78630.1	2726	77
3702.AT1G20620.1	2692	134
3702.AT2G21330.1	2653	103
3702.AT1G04410.1	2628	95
3702.AT1G62480.1	2616	43
3702.AT2G42540.2	2593	42
3702.AT5G17920.1	2520	202
3702.AT5G65220.1	2507	46
3702.AT3G52930.1	2487	106
3702.AT1G20020.1	2405	117
3702.AT1G09310.1	2394	42
3702.AT4G23670.1	2379	50
3702.AT4G09650.1	2361	87
3702.AT3G12780.1	2337	158
3702.AT3G10090.1	2292	16
3702.AT5G03850.1	2292	16
3702.ATCG00780.1	2277	33
3702.AT1G56070.1	2262	252
3702.AT3G51600.1	2243	10
3702.AT1G02780.1	2203	12
3702.AT2G35370.1	2201	43
3702.AT2G42530.1	2198	41
3702.AT2G21170.1	2163	101
3702.AT5G26000.1	2158	189
3702.ATCG00650.1	2155	12
3702.AT1G16880.1	2129	67
3702.AT3G10920.1	2099	46
3702.AT5G08280.1	2097	102
3702.AT3G63490.1	2060	87
