#id: 514570011
#name: Arabidopsis thaliana - Rosette, End of night, SC (Reiland,plant_physiology,2009)
#score: 6.7
#description: abundance based on Spectral counting EN, end of night, Interaction consistency score: 6.7, Coverage: 9
#organ: ROSETTE
#integrated: false
#coverage: 9
#link: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2689975/
#publication_year: 2009
#filename: 3702-7.2Large-scalePhosphoproteome_rosette_EN.txt
#
#string_external_id	abundance	raw_spectral_count
3702.ATCG00490.1	43179	1978
3702.AT1G20340.1	25026	149
3702.AT2G39730.1	11659	621
3702.AT1G67090.1	8011	235
3702.ATCG00480.1	7665	663
3702.AT1G06680.1	7172	257
3702.ATCG00710.1	6471	26
3702.AT5G20720.3	6024	205
3702.AT4G21280.2	5946	212
3702.AT5G15970.1	5908	64
3702.ATCG00120.1	5621	312
3702.AT1G32060.1	5507	316
3702.AT1G13930.3	5482	113
3702.AT3G47070.1	5328	97
3702.AT3G01390.2	5086	49
3702.AT4G05180.1	4766	173
3702.AT1G07940.2	4607	812
3702.AT1G07920.1	4607	812
3702.AT5G60390.1	4607	812
3702.AT1G07930.1	4607	812
3702.AT2G30860.1	4377	98
3702.AT4G38970.1	4341	180
3702.AT3G55800.1	4232	221
3702.AT3G62030.2	4059	186
3702.AT3G60750.1	4029	333
3702.AT4G37930.1	3898	254
3702.AT3G23390.1	3860	22
3702.AT2G28000.1	3850	279
3702.AT4G20260.4	3836	87
3702.AT1G33120.1	3831	172
3702.AT1G33140.1	3831	172
3702.AT3G55440.1	3817	140
3702.AT1G76100.1	3797	21
3702.AT2G38540.1	3735	39
3702.AT5G09660.4	3726	123
3702.AT5G38430.1	3713	87
3702.AT5G35630.1	3703	211
3702.AT4G29390.1	3675	39
3702.AT5G56670.1	3675	39
3702.AT2G19750.1	3675	39
3702.AT3G52150.1	3656	107
3702.AT1G61520.1	3627	56
3702.AT1G07890.8	3624	110
3702.AT2G42540.2	3620	62
3702.AT4G28750.1	3559	49
3702.AT1G11860.3	3475	213
3702.AT3G26060.2	3422	98
3702.AT5G14740.1	3270	204
3702.AT2G37660.1	3257	111
3702.AT2G28190.1	3159	63
3702.AT3G04790.1	3157	101
3702.AT1G02780.1	3130	19
3702.AT1G42970.1	3016	235
3702.AT1G68010.2	2982	181
3702.AT5G19510.1	2953	62
3702.AT2G21330.1	2867	119
3702.AT5G66570.1	2806	118
3702.AT3G01500.2	2784	161
3702.AT1G09340.1	2780	169
3702.ATCG00780.1	2758	46
3702.AT1G72610.1	2745	33
3702.ATCG00900.1	2739	74
3702.ATCG01240.1	2739	74
3702.AT3G12780.1	2708	199
3702.AT3G07230.1	2705	9
3702.AT1G60950.1	2649	20
3702.AT4G09650.1	2635	108
3702.AT1G78630.1	2539	71
3702.AT1G09310.1	2533	52
3702.AT3G14210.1	2531	129
3702.AT1G76180.1	2529	43
3702.AT1G62480.1	2525	42
3702.AT4G09320.1	2476	72
3702.AT4G02450.1	2439	37
3702.AT2G27710.1	2399	26
3702.AT1G05190.1	2370	79
3702.AT3G52930.1	2354	116
3702.AT1G16880.1	2343	83
3702.AT3G54050.1	2339	135
3702.AT1G20620.1	2311	133
3702.AT3G44890.1	2298	41
3702.AT2G37220.1	2268	92
3702.AT5G20290.1	2245	53
3702.ATCG00650.1	2241	14
3702.AT4G10340.1	2220	111
3702.AT3G10920.1	2201	54
3702.AT2G21170.1	2188	107
3702.AT4G23670.1	2182	53
3702.AT5G17920.1	2180	197
3702.AT4G20360.1	2177	171
3702.AT2G42530.1	2171	44
3702.AT3G51600.1	2167	8
3702.AT1G04410.1	2156	86
3702.AT2G21660.1	2150	75
3702.AT1G56070.1	2144	268
3702.AT5G02240.1	2115	54
3702.AT1G20020.1	2108	116
3702.AT2G16600.1	2101	49
3702.AT2G35370.1	2078	47
3702.AT5G26000.1	2075	205
3702.AT3G49910.1	2038	34
3702.AT2G36530.1	2033	134
3702.AT2G47400.1	2015	24
3702.AT1G79040.1	1995	26
3702.AT4G29060.1	1969	179
3702.AT5G08280.1	1959	110
3702.ATCG01020.1	1951	5
3702.ATCG00130.1	1946	42
3702.AT5G20630.1	1928	26
3702.ATCG01120.1	1928	20
3702.AT5G42980.1	1909	50
3702.AT3G17210.1	1886	14
3702.AT2G20260.1	1864	19
3702.AT5G65220.1	1855	37
3702.AT4G26530.2	1843	82
3702.AT1G22780.1	1836	105
3702.AT1G34030.1	1836	105
3702.AT4G09800.1	1836	105
3702.AT5G40950.1	1827	38
3702.AT4G09010.1	1818	85
3702.AT5G61410.1	1805	58
3702.AT3G15360.1	1802	60
3702.AT5G66190.1	1794	99
3702.ATCG00140.1	1788	1
3702.AT4G33010.1	1779	201
3702.AT3G63490.1	1773	88
3702.AT5G54770.1	1761	85
3702.AT3G49010.3	1747	29
3702.AT1G35680.1	1741	42
3702.AT2G43030.1	1741	72
3702.AT3G62410.1	1731	28
3702.AT2G20890.1	1730	57
3702.AT3G26650.1	1728	84
3702.ATCG00470.1	1717	33
3702.AT1G07320.1	1713	61
3702.AT2G27720.2	1672	14
3702.AT4G01310.1	1661	69
3702.AT5G04140.2	1660	340
3702.AT1G08830.1	1644	29
3702.AT1G03680.1	1622	60
3702.AT5G25980.2	1614	130
3702.AT5G13510.1	1609	43
3702.AT3G63140.1	1606	107
3702.AT4G02520.1	1602	47
3702.AT2G38140.1	1600	21
3702.AT3G59540.1	1598	24
3702.AT2G43460.1	1598	24
3702.AT1G31812.1	1588	20
3702.AT3G52960.1	1585	68
3702.ATCG00280.1	1570	68
3702.AT3G11630.1	1568	74
3702.AT2G13360.1	1550	92
3702.AT5G04750.1	1505	1
3702.AT4G34870.1	1502	44
3702.AT1G32470.1	1502	31
3702.AT4G34620.1	1500	21
3702.AT2G45470.1	1488	59
3702.AT1G78380.1	1484	47
3702.ATCG00330.1	1476	11
3702.AT1G74970.1	1474	35
3702.AT5G14320.1	1468	35
3702.AT4G27090.1	1459	23
3702.AT2G33800.1	1453	46
3702.ATCG00800.1	1452	44
3702.AT1G65930.1	1443	87
3702.AT1G79850.1	1430	33
3702.ATCG01310.1	1409	80
3702.ATCG00830.1	1409	80
3702.AT1G79550.2	1408	99
3702.AT5G63310.1	1404	40
3702.AT4G32260.1	1399	48
3702.AT3G16640.1	1397	45
3702.AT2G46820.1	1395	24
3702.AT4G29350.1	1392	17
3702.AT2G40490.1	1390	67
3702.AT1G31330.1	1381	46
3702.AT3G63190.1	1376	53
3702.AT1G53240.1	1372	57
3702.AT3G01480.1	1364	75
3702.AT1G48350.1	1359	31
3702.AT1G78370.1	1346	46
3702.AT1G78900.2	1337	116
3702.AT3G20390.1	1334	52
3702.AT3G61260.1	1332	15
3702.AT5G16710.1	1321	52
3702.ATCG00820.1	1319	16
3702.AT4G09000.2	1315	48
3702.AT3G46780.1	1312	82
3702.ATCG00680.1	1307	57
3702.AT4G03520.1	1305	49
3702.AT3G50820.1	1278	66
3702.AT2G01250.1	1277	33
3702.AT4G35450.5	1274	39
3702.AT4G13930.1	1264	70
3702.AT5G09650.1	1254	61
3702.ATCG00540.1	1252	63
3702.AT1G73230.1	1251	14
3702.AT1G07820.1	1248	112
3702.AT3G45930.1	1248	112
3702.AT2G28740.1	1248	112
3702.AT3G46320.1	1248	112
3702.AT1G07660.1	1248	112
3702.AT5G59690.1	1248	112
3702.AT5G59970.1	1248	112
3702.AT3G53730.1	1248	112
3702.AT3G10090.1	1246	10
3702.AT5G03850.1	1246	10
3702.AT1G22300.1	1237	49
3702.ATCG01060.1	1233	21
3702.AT4G04640.1	1225	81
3702.AT1G55480.1	1218	62
3702.AT5G54600.1	1211	33
3702.AT4G35090.1	1205	63
3702.AT1G43170.8	1184	61
3702.AT5G15200.1	1183	22
3702.AT2G07732.1	1174	27
3702.AT4G02530.1	1164	46
3702.ATCG00270.1	1160	32
3702.AT2G43750.1	1156	71
3702.AT3G23400.1	1155	40
3702.AT1G17880.1	1154	15
3702.AT1G12840.1	1145	52
3702.AT3G44310.1	1125	53
3702.AT5G02500.1	1115	90
3702.AT1G43670.1	1113	40
3702.AT2G43910.2	1103	31
3702.AT3G04920.1	1101	9
3702.AT1G20440.1	1101	20
3702.AT1G23310.1	1097	88
3702.AT1G26630.1	1095	38
3702.AT3G49305.1	1094	2
3702.AT5G30510.1	1087	71
3702.AT1G72370.1	1081	45
3702.AT4G25050.2	1077	15
3702.AT4G39260.1	1069	35
3702.AT5G59870.1	1068	8
3702.ATCG01230.1	1063	27
3702.ATCG00905.1	1063	27
3702.ATCG00065.1	1063	27
3702.AT2G45820.1	1043	16
3702.AT4G14880.4	1042	53
