#id: 3419734874
#name: Arabidopsis thaliana - Cotyledon, SC (Baerenfaller,integrbiol,2011)
#score: 4.7
#description: abundance based on Spectral counting, Interaction consistency score: 4.7, Coverage: 13
#organ: COTYLEDON
#integrated: false
#coverage: 13
#link: http://pubs.rsc.org/en/Content/ArticleLanding/2011/IB/c0ib00078g
#publication_year: 2011
#filename: 3702-Arabidopsis_cotyledon_Baerenfaller_2011_IntegrBiol.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
635073	3702.ATCG00490.1	59556	1953
635050	3702.ATCG00120.1	28119	955
635090	3702.ATCG00680.1	22388	798
618258	3702.AT2G39730.1	15164	806
635072	3702.ATCG00480.1	13992	1011
625451	3702.AT4G10340.1	10836	329
635061	3702.ATCG00280.1	10346	398
620418	3702.AT3G12780.1	9074	426
620823	3702.AT3G16240.1	8393	68
628603	3702.AT4G38970.1	8207	214
635044	3702.ATCG00020.1	7847	184
625072	3702.AT4G04640.1	7413	261
624290	3702.AT3G60750.1	7371	522
635060	3702.ATCG00270.1	7033	179
626591	3702.AT4G20360.1	6969	385
631599	3702.AT5G35630.1	6856	256
608442	3702.AT1G06680.1	6402	199
612896	3702.AT1G61520.1	6222	106
613487	3702.AT1G67090.1	6104	131
611511	3702.AT1G44575.1	6010	157
611429	3702.AT1G42970.1	5806	340
624438	3702.AT3G62030.2	5640	142
627065	3702.AT4G24770.1	5429	103
635051	3702.ATCG00130.1	5142	54
626580	3702.AT4G20260.4	5130	59
629604	3702.AT5G09660.4	4871	177
609430	3702.AT1G15820.1	4388	126
608726	3702.AT1G09340.1	4344	210
621951	3702.AT3G26520.1	4338	30
628784	3702.AT5G01530.1	4161	148
623790	3702.AT3G55800.1	4107	136
627503	3702.AT4G28750.1	4094	57
635078	3702.ATCG00540.1	3826	178
619229	3702.AT3G01500.2	3774	210
635064	3702.ATCG00340.1	3660	210
633609	3702.AT5G54270.1	3474	73
635093	3702.ATCG00710.1	3441	6
614013	3702.AT1G72150.1	3426	128
623688	3702.AT3G54890.1	3406	63
630907	3702.AT5G23060.1	3364	105
635052	3702.ATCG00140.1	3277	9
609005	3702.AT1G11860.3	3276	166
613587	3702.AT1G68010.2	3242	121
611014	3702.AT1G32060.1	3229	154
616291	3702.AT2G21170.1	3191	86
619588	3702.AT3G04790.1	3178	92
634886	3702.AT5G66190.1	3137	112
626681	3702.AT4G21280.2	3087	84
635114	3702.ATCG01020.1	3063	2
609886	3702.AT1G20340.1	2991	19
622888	3702.AT3G47470.1	2893	91
617000	3702.AT2G28000.1	2887	172
621967	3702.AT3G26650.1	2852	95
622651	3702.AT3G45140.1	2814	286
609854	3702.AT1G20020.1	2753	117
635053	3702.ATCG00150.1	2717	35
635071	3702.ATCG00470.1	2714	37
615572	3702.AT2G13360.1	2684	147
635065	3702.ATCG00350.1	2680	152
619963	3702.AT3G08580.2	2660	76
617951	3702.AT2G36830.1	2658	17
617999	3702.AT2G37220.1	2634	70
634370	3702.AT5G61410.1	2587	89
615461	3702.AT2G07732.1	2551	45
624350	3702.AT3G61260.1	2533	16
625377	3702.AT4G09650.1	2514	74
617021	3702.AT2G28190.1	2477	28
632638	3702.AT5G45390.1	2453	60
625139	3702.AT4G05180.1	2439	67
631870	3702.AT5G38430.1	2428	46
629064	3702.AT5G04140.2	2412	444
620000	3702.AT3G08940.2	2364	93
627968	3702.AT4G33010.1	2338	235
608027	3702.AT1G02780.1	2283	14
614707	3702.AT1G78900.2	2250	149
625316	3702.AT4G09010.1	2248	93
624372	3702.AT3G61470.1	2237	63
609536	3702.AT1G16880.1	2205	48
622823	3702.AT3G46780.1	2163	102
627259	3702.AT4G26530.2	2126	85
623746	3702.AT3G55440.1	2108	71
610943	3702.AT1G31330.1	2049	55
616310	3702.AT2G21330.1	2043	69
612508	3702.AT1G56070.1	2029	208
622854	3702.AT3G47070.1	2024	18
630913	3702.AT5G23120.1	2022	108
632323	3702.AT5G42650.1	2005	135
609914	3702.AT1G20620.1	1944	76
628194	3702.AT4G35090.1	1943	78
628497	3702.AT4G37930.1	1935	117
624555	3702.AT3G63140.1	1931	83
631214	3702.AT5G26000.1	1930	132
624590	3702.AT3G63490.1	1920	68
618918	3702.AT2G45820.1	1882	11
612371	3702.AT1G54780.1	1849	35
623053	3702.AT3G49010.3	1836	12
619227	3702.AT3G01480.1	1824	81
624582	3702.AT3G63410.1	1777	69
608195	3702.AT1G04410.1	1775	64
617918	3702.AT2G36530.1	1760	99
620623	3702.AT3G14420.1	1749	75
612200	3702.AT1G53240.1	1731	53
611465	3702.AT1G43670.1	1671	53
630431	3702.AT5G17920.1	1652	131
627883	3702.AT4G32260.1	1644	36
625034	3702.AT4G04020.1	1620	65
630026	3702.AT5G14040.1	1606	70
623254	3702.AT3G50820.1	1566	65
616181	3702.AT2G20260.1	1562	18
630097	3702.AT5G14740.1	1556	83
635095	3702.ATCG00730.1	1555	10
630724	3702.AT5G20630.1	1544	39
621115	3702.AT3G18890.1	1452	73
612522	3702.AT1G56190.1	1423	65
608571	3702.AT1G07890.8	1421	36
627535	3702.AT4G29060.1	1418	90
624981	3702.AT4G03280.1	1415	29
618883	3702.AT2G45470.1	1392	43
610245	3702.AT1G23740.1	1392	58
623601	3702.AT3G54050.1	1385	65
617697	3702.AT2G34460.1	1364	34
634925	3702.AT5G66570.1	1360	53
609120	3702.AT1G12900.1	1339	48
612442	3702.AT1G55480.1	1335	47
630607	3702.AT5G19510.1	1330	15
635087	3702.ATCG00650.1	1317	3
619119	3702.AT2G47730.1	1308	36
621899	3702.AT3G26060.2	1308	34
626864	3702.AT4G22890.1	1303	41
618044	3702.AT2G37660.1	1302	41
617296	3702.AT2G30860.1	1300	37
621613	3702.AT3G23400.1	1299	41
608908	3702.AT1G10960.1	1297	7
608506	3702.AT1G07320.1	1290	34
614772	3702.AT1G79550.2	1283	55
620622	3702.AT3G14415.2	1269	59
613291	3702.AT1G65260.1	1268	32
614559	3702.AT1G77490.1	1254	40
618577	3702.AT2G42600.1	1252	119
633246	3702.AT5G50920.1	1246	91
635102	3702.ATCG00800.1	1243	18
622844	3702.AT3G46970.1	1243	127
635094	3702.ATCG00720.1	1229	36
613364	3702.AT1G65930.1	1226	43
619593	3702.AT3G04840.1	1218	22
620841	3702.AT3G16420.1	1218	39
625964	3702.AT4G14880.4	1212	45
613022	3702.AT1G62750.1	1179	109
628231	3702.AT4G35450.5	1177	22
623398	3702.AT3G52150.1	1136	16
626790	3702.AT4G22240.1	1126	38
624885	3702.AT4G02450.1	1113	8
611016	3702.AT1G32080.1	1112	50
629035	3702.AT5G03880.1	1107	38
631876	3702.AT5G38480.1	1100	25
629603	3702.AT5G09650.1	1088	27
627568	3702.AT4G29350.1	1082	16
618700	3702.AT2G43750.1	1081	50
624894	3702.AT4G02520.1	1081	24
609415	3702.AT1G15690.1	1075	69
630690	3702.AT5G20290.1	1067	16
617804	3702.AT2G35490.1	1064	32
623483	3702.AT3G52960.1	1060	36
609811	3702.AT1G19570.1	1047	23
617542	3702.AT2G33040.1	1045	31
630302	3702.AT5G16710.1	1039	19
624895	3702.AT4G02530.1	1036	27
620866	3702.AT3G16640.1	1012	15
627096	3702.AT4G25050.2	1010	11
631064	3702.AT5G24490.1	1006	21
616264	3702.AT2G20890.1	1003	26
632280	3702.AT5G42270.1	993	59
617308	3702.AT2G30950.1	992	70
611974	3702.AT1G51110.1	988	29
