#id: 834106614
#name: A.thaliana - Juvenile leaf, SC (Baerenfaller,integrbiol,2011)
#score: 4.1
#weight:  10%
#description: abundance based on Spectral counting, Interaction consistency score: 4.1, Coverage: 14
#organ: JUVENILE_LEAF
#integrated: false
#coverage: 14
#link: http://pubs.rsc.org/en/Content/ArticleLanding/2011/IB/c0ib00078g
#publication_year: 2011
#filename: 3702-Arabidopsis_juvenileLeaf_Baerenfaller_2011_IntegrBiol.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
635073	3702.ATCG00490.1	58267	1984
635050	3702.ATCG00120.1	24334	857
635090	3702.ATCG00680.1	21801	816
635072	3702.ATCG00480.1	13103	980
618258	3702.AT2G39730.1	12745	723
620823	3702.AT3G16240.1	10446	87
625451	3702.AT4G10340.1	10043	320
635061	3702.ATCG00280.1	8066	307
624290	3702.AT3G60750.1	7718	573
628603	3702.AT4G38970.1	7679	203
611511	3702.AT1G44575.1	6923	180
626591	3702.AT4G20360.1	6821	395
624438	3702.AT3G62030.2	6795	170
635060	3702.ATCG00270.1	6739	175
625072	3702.AT4G04640.1	6316	229
620418	3702.AT3G12780.1	6301	299
612896	3702.AT1G61520.1	6169	101
635044	3702.ATCG00020.1	5702	134
613487	3702.AT1G67090.1	5509	120
617000	3702.AT2G28000.1	5013	295
631599	3702.AT5G35630.1	4813	191
611429	3702.AT1G42970.1	4661	279
628784	3702.AT5G01530.1	4448	161
635052	3702.ATCG00140.1	4324	10
627065	3702.AT4G24770.1	4289	86
609430	3702.AT1G15820.1	4148	122
608442	3702.AT1G06680.1	4145	135
608726	3702.AT1G09340.1	4116	205
626580	3702.AT4G20260.4	4049	43
621951	3702.AT3G26520.1	4032	28
630431	3702.AT5G17920.1	3975	326
635051	3702.ATCG00130.1	3901	42
617999	3702.AT2G37220.1	3862	104
609886	3702.AT1G20340.1	3674	25
635078	3702.ATCG00540.1	3559	160
629604	3702.AT5G09660.4	3544	131
635064	3702.ATCG00340.1	3533	214
623790	3702.AT3G55800.1	3425	118
631214	3702.AT5G26000.1	3396	256
621967	3702.AT3G26650.1	3257	117
617951	3702.AT2G36830.1	3156	22
622888	3702.AT3G47470.1	3145	99
633609	3702.AT5G54270.1	3050	70
613587	3702.AT1G68010.2	2904	103
622651	3702.AT3G45140.1	2888	294
625377	3702.AT4G09650.1	2862	90
626681	3702.AT4G21280.2	2851	82
612508	3702.AT1G56070.1	2810	307
627503	3702.AT4G28750.1	2789	41
627535	3702.AT4G29060.1	2761	178
623688	3702.AT3G54890.1	2752	51
615461	3702.AT2G07732.1	2741	51
611014	3702.AT1G32060.1	2730	137
634886	3702.AT5G66190.1	2620	97
616974	3702.AT2G27710.1	2520	28
629064	3702.AT5G04140.2	2483	510
625139	3702.AT4G05180.1	2442	70
625316	3702.AT4G09010.1	2404	101
630907	3702.AT5G23060.1	2358	77
620000	3702.AT3G08940.2	2335	90
619229	3702.AT3G01500.2	2333	132
635053	3702.ATCG00150.1	2324	31
616310	3702.AT2G21330.1	2319	78
619963	3702.AT3G08580.2	2297	70
635065	3702.ATCG00350.1	2257	138
615572	3702.AT2G13360.1	2223	126
609005	3702.AT1G11860.3	2189	114
609854	3702.AT1G20020.1	2166	94
622823	3702.AT3G46780.1	2153	107
622854	3702.AT3G47070.1	2144	19
