#id: 1306183972
#name: Arabidopsis thaliana - Pollen, SC (Grobei,genome_research,2009)
#score: 5.7
#description: abundance based on Spectral counting, Interaction consistency score: 5.7, Coverage: 13
#organ: POLLEN
#integrated: false
#coverage: 13
#link: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2765272/
#publication_year: 2009
#filename: 3702-Arabidopsis_pollen_Grobei_2009_GenomeRes.txt
#
#string_external_id	abundance	raw_spectral_count
3702.AT3G28830.1	18698	2284
3702.AT3G28980.1	18111	1331
3702.AT3G28790.1	17289	2075
3702.AT5G07510.1	14745	126
3702.AT5G07530.1	11726	1181
3702.AT5G61720.1	10324	981
3702.AT1G75910.1	9349	695
3702.AT4G13560.1	7389	194
3702.AT1G07890.8	6406	457
3702.AT5G17920.1	6105	1390
3702.AT3G28780.1	5637	300
3702.AT1G56070.1	5565	1550
3702.AT3G49010.3	5317	100
3702.AT2G36530.1	5244	819
3702.AT3G23810.1	5155	621
3702.AT3G28840.1	4886	364
3702.AT3G05930.1	4875	231
3702.AT1G02780.1	4708	106
3702.AT3G08580.2	4459	401
3702.AT3G03780.1	4374	1006
3702.AT1G20130.1	4268	671
3702.AT4G15000.1	4211	27
3702.AT1G23240.1	4054	243
3702.AT3G13390.1	4026	613
3702.AT2G47730.1	3815	306
3702.AT5G20230.1	3799	245
3702.AT2G07560.1	3635	1055
3702.AT5G65690.1	3629	808
3702.AT2G33150.1	3527	579
3702.AT5G62750.1	3485	26
3702.AT1G67290.1	3468	861
3702.AT4G24640.1	3445	178
3702.AT3G04840.1	3409	168
3702.AT3G02090.2	3357	466
3702.AT1G47980.1	3313	281
3702.AT1G26480.1	3313	252
3702.AT5G43330.1	3269	358
3702.AT4G13930.1	3264	516
3702.AT3G03250.1	3255	475
3702.AT2G47470.1	3230	290
3702.AT5G14040.1	3214	379
3702.AT1G75930.1	3181	369
3702.AT3G58750.1	3160	263
3702.AT5G13450.1	3114	169
3702.AT2G36880.2	3077	410
3702.AT5G20290.1	3053	129
3702.AT1G55570.1	3029	398
3702.AT5G19510.1	3028	71
3702.AT4G10260.1	3006	320
3702.AT2G19730.3	2979	40
3702.AT3G55440.1	2924	252
3702.AT1G78900.2	2920	525
3702.AT1G65930.1	2910	263
3702.AT3G17760.2	2894	450
3702.AT5G15490.1	2869	382
3702.AT5G57655.2	2792	469
3702.AT1G21750.1	2657	393
3702.AT5G09550.1	2496	331
3702.AT4G29130.1	2445	408
3702.AT5G15090.2	2439	193
3702.AT3G52600.1	2417	433
3702.AT4G34670.1	2408	118
3702.AT1G79550.2	2368	320
3702.AT1G43170.8	2344	150
3702.AT3G62170.1	2342	492
3702.AT1G23190.1	2258	396
3702.AT1G30350.1	2251	245
3702.AT2G31425.1	2241	90
3702.AT3G49910.1	2235	43
3702.AT2G33040.1	2204	208
3702.AT1G72370.1	2201	136
3702.AT3G02480.1	2170	42
3702.AT4G39200.1	2158	24
3702.AT2G22780.1	2145	264
3702.AT5G07420.1	2135	260
3702.AT1G07750.1	2132	219
3702.AT5G07520.1	2097	46
3702.AT2G30970.1	2086	288
3702.AT3G22200.2	2073	307
3702.AT1G35720.1	2057	159
3702.AT1G78300.1	2054	170
3702.AT5G19760.1	2047	206
3702.AT5G03620.1	2041	382
3702.AT5G23900.1	2034	41
3702.AT5G19580.1	2032	427
3702.AT5G13420.1	2024	213
3702.AT4G02450.1	2011	31
3702.AT5G40040.1	1988	40
3702.AT4G13230.1	1976	25
3702.AT2G21870.1	1973	96
3702.AT3G28810.1	1949	207
3702.AT3G14040.1	1934	257
3702.AT4G24190.1	1923	423
3702.AT2G47040.1	1912	355
3702.AT5G61790.1	1905	244
3702.AT3G02230.1	1899	271
3702.AT1G51980.1	1895	268
3702.AT3G06860.1	1882	393
3702.AT4G29340.1	1865	49
3702.AT3G28820.1	1862	155
3702.AT5G15200.1	1855	39
3702.AT1G50310.1	1851	282
3702.AT4G32470.1	1846	27
3702.AT5G03690.1	1839	202
3702.AT4G38740.1	1824	70
3702.AT5G28060.1	1809	22
3702.AT2G21160.1	1808	61
3702.AT2G16730.1	1797	472
3702.AT1G52570.1	1781	457
3702.AT3G59480.1	1772	158
3702.AT5G11520.1	1768	197
3702.AT3G04920.1	1747	22
3702.AT3G15020.1	1743	132
3702.AT2G28680.1	1716	187
3702.AT4G15530.5	1715	485
3702.AT3G46040.1	1709	32
3702.AT1G02790.1	1707	263
3702.AT4G34450.1	1683	489
3702.AT5G16510.2	1672	213
3702.AT1G20630.1	1669	207
3702.AT3G52300.1	1665	35
3702.AT2G20420.1	1648	161
3702.AT3G52880.2	1635	240
3702.AT5G64140.1	1626	7
3702.AT3G17820.1	1624	154
3702.AT3G61200.1	1624	106
3702.AT1G18280.1	1612	107
3702.AT5G25880.1	1607	254
3702.AT1G23800.1	1605	222
3702.AT3G07830.1	1602	237
3702.AT5G38480.1	1597	117
3702.AT5G15650.1	1581	194
3702.AT2G05710.1	1576	403
3702.AT4G09000.2	1546	108
3702.AT3G29360.1	1545	199
3702.AT1G23730.1	1530	107
3702.AT3G52810.1	1524	195
3702.AT1G24180.1	1500	139
3702.AT1G30230.2	1499	68
3702.AT2G46140.1	1497	69
